,X,Y
0,645,410
1,645,411
2,646,408
3,646,409
4,646,410
5,646,411
6,647,407
7,647,408
8,647,409
9,647,410
10,647,411
11,647,412
12,648,407
13,648,408
14,648,409
15,648,410
16,648,411
17,648,412
18,648,413
19,649,408
20,649,409
21,649,410
22,649,411
23,649,412
24,650,408
25,650,409
26,650,410
27,650,411
28,650,412
29,651,408
30,651,409
31,651,410
32,651,411
33,651,412
34,652,409
35,652,410
36,652,411
37,652,412
38,652,413
39,653,409
40,653,410
41,653,411
42,653,412
43,653,413
44,654,411
45,654,412
