,X,Y
0,671,406
1,672,399
2,672,405
3,672,406
4,673,399
5,673,400
6,673,401
7,673,402
8,673,403
9,673,404
10,673,405
11,673,406
12,674,399
13,674,400
14,674,401
15,674,402
16,674,403
17,674,404
18,674,405
19,675,399
20,675,400
21,675,401
22,675,402
23,675,403
24,675,404
25,675,405
26,675,406
27,675,407
28,676,399
29,676,400
30,676,401
31,676,402
32,676,403
33,676,404
34,676,405
35,676,406
36,676,407
37,676,408
38,677,396
39,677,397
40,677,398
41,677,399
42,677,400
43,677,401
44,677,402
45,677,403
46,677,404
47,677,405
48,677,406
49,677,407
50,677,408
51,678,396
52,678,397
53,678,398
54,678,399
55,678,400
56,678,401
57,678,402
58,678,403
59,678,404
60,678,405
61,678,406
62,678,407
63,678,408
64,679,396
65,679,397
66,679,398
67,679,399
68,679,400
69,679,401
70,679,402
71,679,403
72,679,404
73,679,405
74,679,406
75,679,407
76,679,408
77,680,396
78,680,397
79,680,398
80,680,399
81,680,400
82,680,401
83,680,402
84,680,403
85,680,404
86,680,405
87,680,406
88,680,407
89,680,408
90,681,397
91,681,398
92,681,399
93,681,400
94,681,401
95,681,402
96,681,403
97,681,404
98,681,405
99,681,406
100,681,407
101,681,408
102,681,409
103,682,398
104,682,399
105,682,400
106,682,401
107,682,402
108,682,403
109,682,404
110,682,405
111,682,406
112,682,407
113,682,408
114,682,409
115,683,398
116,683,399
117,683,400
118,683,401
119,683,402
120,683,403
121,683,404
122,683,405
123,683,406
124,683,407
125,683,408
126,683,409
127,684,399
128,684,400
129,684,401
130,684,402
131,684,403
132,684,404
133,684,405
134,684,406
135,684,407
136,684,408
137,684,409
138,685,399
139,685,400
140,685,401
141,685,402
142,685,403
143,685,404
144,685,405
145,685,406
146,685,407
147,685,408
148,686,400
149,686,401
150,686,402
151,686,403
152,686,404
