,X,Y
0,637,389
1,637,390
2,637,391
3,637,392
4,637,394
5,637,395
6,638,388
7,638,389
8,638,390
9,638,391
10,638,392
11,638,393
12,638,394
13,638,395
14,638,396
15,638,397
16,639,388
17,639,389
18,639,390
19,639,391
20,639,392
21,639,393
22,639,394
23,639,395
24,639,396
25,639,397
26,639,398
27,639,399
28,640,389
29,640,390
30,640,391
31,640,392
32,640,393
33,640,394
34,640,395
35,640,396
36,640,397
37,640,398
38,640,399
39,640,400
40,640,401
41,640,402
42,641,390
43,641,391
44,641,397
45,641,398
46,641,399
47,641,400
48,641,401
49,641,402
50,642,397
51,642,398
52,642,399
53,642,400
54,642,401
55,643,398
56,643,399
57,643,400
58,644,398
59,644,399
60,644,400
61,645,398
62,645,399
63,645,400
64,645,401
65,646,399
66,646,400
67,646,401
