,X,Y
0,2660,1597
1,2660,1598
2,2661,1597
3,2661,1598
4,2662,1589
5,2662,1590
6,2662,1591
7,2662,1592
8,2662,1593
9,2662,1594
10,2662,1595
11,2662,1596
12,2662,1597
13,2662,1598
14,2662,1599
15,2663,1589
16,2663,1590
17,2663,1591
18,2663,1592
19,2663,1593
20,2663,1594
21,2663,1595
22,2663,1596
23,2663,1597
24,2663,1598
25,2663,1599
26,2663,1600
27,2663,1601
28,2664,1589
29,2664,1590
30,2664,1591
31,2664,1592
32,2664,1593
33,2664,1594
34,2664,1595
35,2664,1596
36,2664,1597
37,2664,1598
38,2664,1599
39,2664,1600
40,2664,1601
41,2665,1589
42,2665,1590
43,2665,1591
44,2665,1592
45,2665,1593
46,2665,1594
47,2665,1595
48,2665,1596
49,2665,1597
50,2665,1598
51,2665,1599
52,2665,1600
53,2665,1601
54,2666,1589
55,2666,1590
56,2666,1591
57,2666,1592
58,2666,1593
59,2666,1594
60,2666,1595
61,2666,1596
62,2666,1597
63,2666,1598
64,2666,1599
65,2666,1600
66,2666,1601
67,2667,1588
68,2667,1589
69,2667,1590
70,2667,1591
71,2667,1592
72,2667,1593
73,2667,1594
74,2667,1595
75,2667,1596
76,2667,1597
77,2667,1598
78,2667,1599
79,2667,1600
80,2667,1601
81,2668,1587
82,2668,1588
83,2668,1589
84,2668,1590
85,2668,1591
86,2668,1592
87,2668,1593
88,2668,1594
89,2668,1595
90,2668,1596
91,2668,1597
92,2668,1598
93,2668,1599
94,2668,1600
95,2668,1601
96,2669,1587
97,2669,1588
98,2669,1589
99,2669,1590
100,2669,1591
101,2669,1592
102,2669,1593
103,2669,1594
104,2669,1595
105,2669,1596
106,2669,1597
107,2669,1598
108,2669,1599
109,2669,1600
110,2670,1587
111,2670,1588
112,2670,1589
113,2670,1590
114,2670,1591
115,2670,1592
116,2670,1593
117,2670,1594
118,2670,1595
119,2670,1596
120,2670,1597
121,2670,1598
122,2670,1599
123,2671,1583
124,2671,1584
125,2671,1585
126,2671,1586
127,2671,1587
128,2671,1588
129,2671,1589
130,2671,1590
131,2671,1591
132,2671,1592
133,2671,1593
134,2671,1594
135,2671,1595
136,2671,1596
137,2671,1597
138,2671,1598
139,2671,1599
140,2672,1583
141,2672,1584
142,2672,1585
143,2672,1586
144,2672,1587
145,2672,1588
146,2672,1589
147,2672,1590
148,2672,1591
149,2672,1592
150,2672,1593
151,2672,1594
152,2672,1595
153,2672,1596
154,2672,1597
155,2672,1598
156,2672,1599
157,2673,1582
