,X,Y
0,2617,1627
1,2617,1628
2,2618,1624
3,2618,1625
4,2618,1626
5,2618,1627
6,2618,1628
7,2618,1629
8,2619,1624
9,2619,1625
10,2619,1626
11,2619,1627
12,2619,1628
13,2619,1629
14,2619,1630
15,2620,1625
16,2620,1626
17,2620,1627
18,2620,1628
19,2620,1629
20,2620,1630
21,2620,1631
22,2621,1625
23,2621,1626
24,2621,1627
25,2621,1628
26,2621,1629
27,2621,1630
28,2621,1631
29,2621,1632
30,2621,1633
31,2622,1624
32,2622,1625
33,2622,1626
34,2622,1627
35,2622,1628
36,2622,1629
37,2622,1630
38,2622,1631
39,2622,1632
40,2622,1633
41,2623,1624
42,2623,1625
43,2623,1626
44,2623,1627
45,2623,1628
46,2623,1629
47,2623,1630
48,2623,1631
49,2623,1632
50,2623,1633
51,2624,1621
52,2624,1622
53,2624,1623
54,2624,1624
55,2624,1625
56,2624,1626
57,2624,1627
58,2624,1628
59,2624,1629
60,2624,1630
61,2624,1631
62,2624,1632
63,2624,1633
64,2625,1620
65,2625,1621
66,2625,1622
67,2625,1623
68,2625,1624
69,2625,1625
70,2625,1626
71,2625,1627
72,2625,1628
73,2625,1629
74,2625,1630
75,2625,1631
76,2625,1632
77,2625,1633
78,2626,1620
79,2626,1621
80,2626,1622
81,2626,1623
82,2626,1624
83,2626,1625
84,2626,1626
85,2626,1627
86,2626,1628
87,2626,1629
88,2626,1630
89,2626,1631
90,2626,1632
91,2626,1633
92,2627,1620
93,2627,1621
94,2627,1622
95,2627,1623
96,2627,1624
97,2627,1625
98,2627,1626
99,2627,1627
100,2627,1628
101,2627,1629
102,2627,1630
103,2627,1631
104,2627,1632
105,2627,1633
106,2627,1634
107,2628,1620
108,2628,1621
109,2628,1622
110,2628,1623
111,2628,1624
112,2628,1625
113,2628,1626
114,2628,1627
115,2628,1628
116,2628,1629
117,2628,1630
118,2628,1631
119,2628,1632
120,2628,1633
121,2629,1619
122,2629,1620
123,2629,1621
124,2629,1622
125,2629,1623
126,2629,1624
127,2629,1625
128,2629,1626
129,2629,1627
130,2629,1628
131,2629,1629
132,2629,1630
133,2630,1619
134,2630,1620
135,2630,1621
136,2630,1622
137,2630,1623
138,2630,1624
139,2630,1625
140,2630,1626
141,2630,1627
142,2630,1628
143,2630,1629
144,2630,1630
145,2631,1620
146,2631,1621
147,2631,1622
148,2631,1623
149,2631,1624
150,2631,1625
151,2631,1626
152,2631,1627
153,2631,1628
154,2631,1629
155,2631,1630
156,2632,1620
157,2632,1621
158,2632,1622
159,2632,1623
160,2632,1624
161,2632,1625
162,2632,1626
163,2632,1627
164,2632,1628
165,2632,1629
166,2632,1630
167,2633,1620
168,2633,1621
169,2633,1622
170,2633,1623
171,2633,1624
172,2633,1625
173,2633,1626
174,2633,1627
175,2633,1628
176,2633,1629
177,2634,1621
178,2634,1622
179,2634,1623
180,2634,1624
181,2634,1625
182,2634,1626
183,2634,1627
184,2634,1628
185,2634,1629
186,2635,1622
187,2635,1623
188,2635,1624
189,2635,1625
190,2635,1626
191,2635,1627
192,2635,1628
193,2635,1629
194,2636,1622
195,2636,1623
196,2636,1624
197,2636,1625
198,2636,1626
199,2636,1627
200,2636,1628
201,2636,1629
202,2637,1622
203,2637,1623
204,2637,1624
205,2637,1625
206,2637,1626
207,2637,1627
208,2637,1628
209,2637,1629
210,2638,1623
211,2638,1624
212,2638,1625
213,2638,1626
214,2638,1627
215,2638,1628
216,2639,1624
217,2639,1625
