,X,Y
0,5121,3150
1,5122,3148
2,5122,3149
3,5122,3150
4,5122,3151
5,5122,3152
6,5123,3148
7,5123,3149
8,5123,3150
9,5123,3151
10,5123,3152
11,5124,3147
12,5124,3148
13,5124,3149
14,5124,3150
15,5124,3151
16,5124,3152
17,5125,3135
18,5125,3136
19,5125,3139
20,5125,3140
21,5125,3141
22,5125,3142
23,5125,3147
24,5125,3148
25,5125,3149
26,5125,3150
27,5125,3151
28,5125,3152
29,5126,3134
30,5126,3135
31,5126,3136
32,5126,3137
33,5126,3138
34,5126,3139
35,5126,3140
36,5126,3141
37,5126,3142
38,5126,3143
39,5126,3144
40,5126,3146
41,5126,3147
42,5126,3148
43,5126,3149
44,5126,3150
45,5126,3151
46,5126,3152
47,5127,3133
48,5127,3134
49,5127,3135
50,5127,3136
51,5127,3137
52,5127,3138
53,5127,3139
54,5127,3140
55,5127,3141
56,5127,3142
57,5127,3143
58,5127,3144
59,5127,3145
60,5127,3146
61,5127,3147
62,5127,3148
63,5127,3149
64,5127,3150
65,5127,3151
66,5127,3152
67,5128,3131
68,5128,3132
69,5128,3133
70,5128,3134
71,5128,3135
72,5128,3136
73,5128,3137
74,5128,3138
75,5128,3139
76,5128,3140
77,5128,3141
78,5128,3142
79,5128,3143
80,5128,3144
81,5128,3145
82,5128,3146
83,5128,3147
84,5128,3148
85,5128,3149
86,5128,3150
87,5128,3151
88,5128,3152
89,5128,3153
90,5129,3131
91,5129,3132
92,5129,3133
93,5129,3134
94,5129,3135
95,5129,3136
96,5129,3137
97,5129,3138
98,5129,3139
99,5129,3140
100,5129,3141
101,5129,3142
102,5129,3143
103,5129,3144
104,5129,3145
105,5129,3146
106,5129,3147
107,5129,3148
108,5129,3149
109,5129,3150
110,5129,3151
111,5129,3152
112,5129,3153
113,5129,3162
114,5129,3163
115,5129,3164
116,5129,3165
117,5129,3166
118,5130,3131
119,5130,3132
120,5130,3133
121,5130,3134
122,5130,3135
123,5130,3136
124,5130,3137
125,5130,3138
126,5130,3139
127,5130,3140
128,5130,3141
129,5130,3142
130,5130,3143
131,5130,3144
132,5130,3145
133,5130,3146
134,5130,3147
135,5130,3148
136,5130,3149
137,5130,3150
138,5130,3151
139,5130,3152
140,5130,3153
141,5130,3154
142,5130,3155
143,5130,3161
144,5130,3162
145,5130,3163
146,5130,3164
147,5130,3165
148,5130,3166
149,5130,3167
150,5131,3131
151,5131,3132
152,5131,3133
153,5131,3134
154,5131,3135
155,5131,3136
156,5131,3137
157,5131,3138
158,5131,3139
159,5131,3140
160,5131,3141
161,5131,3142
162,5131,3143
163,5131,3144
164,5131,3145
165,5131,3146
166,5131,3147
167,5131,3148
168,5131,3149
169,5131,3150
170,5131,3151
171,5131,3152
172,5131,3153
173,5131,3154
174,5131,3155
175,5131,3156
176,5131,3158
177,5131,3159
178,5131,3160
179,5131,3161
180,5131,3162
181,5131,3163
182,5131,3164
183,5131,3165
184,5131,3166
185,5131,3167
186,5132,3131
187,5132,3132
188,5132,3133
189,5132,3134
190,5132,3135
191,5132,3136
192,5132,3137
193,5132,3138
194,5132,3139
195,5132,3140
196,5132,3141
197,5132,3142
198,5132,3143
199,5132,3144
200,5132,3145
201,5132,3146
202,5132,3147
203,5132,3148
204,5132,3149
205,5132,3150
206,5132,3151
207,5132,3152
208,5132,3153
209,5132,3154
210,5132,3155
211,5132,3156
212,5132,3157
213,5132,3158
214,5132,3159
215,5132,3160
216,5132,3161
217,5132,3162
218,5132,3163
219,5132,3164
220,5132,3165
221,5132,3166
222,5133,3131
223,5133,3132
224,5133,3133
225,5133,3134
226,5133,3135
227,5133,3136
228,5133,3137
229,5133,3138
230,5133,3139
231,5133,3140
232,5133,3141
233,5133,3142
234,5133,3143
235,5133,3144
236,5133,3145
237,5133,3146
238,5133,3147
239,5133,3148
240,5133,3149
241,5133,3150
242,5133,3151
243,5133,3152
244,5133,3153
245,5133,3154
246,5133,3155
247,5133,3156
248,5133,3157
249,5133,3158
250,5133,3159
251,5133,3160
252,5133,3161
253,5133,3162
254,5133,3163
255,5133,3164
256,5133,3165
257,5133,3166
258,5134,3132
259,5134,3133
260,5134,3134
261,5134,3135
262,5134,3136
263,5134,3137
264,5134,3138
265,5134,3139
266,5134,3140
267,5134,3141
268,5134,3142
269,5134,3143
270,5134,3144
271,5134,3145
272,5134,3146
273,5134,3147
274,5134,3148
275,5134,3149
276,5134,3150
277,5134,3151
278,5134,3152
279,5134,3153
280,5134,3154
281,5134,3155
282,5134,3156
283,5134,3157
284,5134,3158
285,5134,3159
286,5134,3160
287,5134,3161
288,5134,3162
289,5134,3163
290,5134,3164
291,5134,3165
292,5134,3166
293,5135,3132
294,5135,3133
295,5135,3134
296,5135,3135
297,5135,3136
298,5135,3137
299,5135,3138
300,5135,3139
301,5135,3140
302,5135,3141
303,5135,3142
304,5135,3143
305,5135,3144
306,5135,3145
307,5135,3146
308,5135,3147
309,5135,3148
310,5135,3149
311,5135,3150
312,5135,3151
313,5135,3152
314,5135,3153
315,5135,3154
316,5135,3155
317,5135,3156
318,5135,3157
319,5135,3158
320,5135,3159
321,5135,3160
322,5135,3161
323,5135,3162
324,5135,3163
325,5135,3164
326,5135,3165
327,5135,3166
328,5135,3167
329,5135,3170
330,5135,3171
331,5136,3132
332,5136,3133
333,5136,3134
334,5136,3135
335,5136,3136
336,5136,3137
337,5136,3138
338,5136,3139
339,5136,3140
