,X,Y
0,5275,3256
1,5275,3257
2,5275,3258
3,5276,3236
4,5276,3237
5,5276,3238
6,5276,3254
7,5276,3255
8,5276,3256
9,5276,3257
10,5276,3258
11,5276,3259
12,5277,3229
13,5277,3230
14,5277,3231
15,5277,3232
16,5277,3233
17,5277,3234
18,5277,3235
19,5277,3236
20,5277,3237
21,5277,3238
22,5277,3239
23,5277,3240
24,5277,3250
25,5277,3251
26,5277,3252
27,5277,3253
28,5277,3254
29,5277,3255
30,5277,3256
31,5277,3257
32,5277,3258
33,5277,3259
34,5278,3228
35,5278,3229
36,5278,3230
37,5278,3231
38,5278,3232
39,5278,3233
40,5278,3234
41,5278,3235
42,5278,3236
43,5278,3237
44,5278,3238
45,5278,3239
46,5278,3240
47,5278,3241
48,5278,3247
49,5278,3248
50,5278,3249
51,5278,3250
52,5278,3251
53,5278,3252
54,5278,3253
55,5278,3254
56,5278,3255
57,5278,3256
58,5278,3257
59,5278,3258
60,5278,3259
61,5278,3260
62,5279,3228
63,5279,3229
64,5279,3230
65,5279,3231
66,5279,3232
67,5279,3233
68,5279,3234
69,5279,3235
70,5279,3236
71,5279,3237
72,5279,3238
73,5279,3239
74,5279,3240
75,5279,3241
76,5279,3242
77,5279,3245
78,5279,3246
79,5279,3247
80,5279,3248
81,5279,3249
82,5279,3250
83,5279,3251
84,5279,3252
85,5279,3253
86,5279,3254
87,5279,3255
88,5279,3256
89,5279,3257
90,5279,3258
91,5279,3259
92,5279,3260
93,5280,3230
94,5280,3231
95,5280,3232
96,5280,3233
97,5280,3234
98,5280,3235
99,5280,3236
100,5280,3237
101,5280,3238
102,5280,3239
103,5280,3240
104,5280,3241
105,5280,3242
106,5280,3243
107,5280,3244
108,5280,3245
109,5280,3246
110,5280,3247
111,5280,3248
112,5280,3249
113,5280,3250
114,5280,3251
115,5280,3252
116,5280,3253
117,5280,3254
118,5280,3255
119,5280,3256
120,5280,3257
121,5280,3258
122,5280,3259
123,5280,3260
124,5281,3231
125,5281,3232
126,5281,3233
127,5281,3234
128,5281,3235
129,5281,3236
130,5281,3237
131,5281,3238
132,5281,3239
133,5281,3240
134,5281,3241
135,5281,3242
136,5281,3243
137,5281,3244
138,5281,3245
139,5281,3246
140,5281,3247
141,5281,3248
142,5281,3249
143,5281,3250
144,5281,3251
145,5281,3252
146,5281,3253
147,5281,3254
148,5281,3255
149,5281,3256
150,5281,3257
151,5281,3258
152,5281,3259
153,5281,3260
154,5281,3261
155,5282,3231
156,5282,3232
157,5282,3233
158,5282,3234
159,5282,3235
160,5282,3236
161,5282,3237
162,5282,3238
163,5282,3239
164,5282,3240
165,5282,3241
166,5282,3242
167,5282,3243
168,5282,3244
169,5282,3245
170,5282,3246
171,5282,3247
172,5282,3248
173,5282,3249
174,5282,3250
175,5282,3251
176,5282,3252
177,5282,3253
178,5282,3254
179,5282,3255
180,5282,3256
181,5282,3257
182,5282,3258
183,5282,3259
184,5282,3260
185,5282,3261
186,5283,3232
187,5283,3233
188,5283,3234
189,5283,3235
190,5283,3236
191,5283,3237
192,5283,3238
193,5283,3239
194,5283,3240
195,5283,3241
196,5283,3242
197,5283,3243
198,5283,3244
199,5283,3245
200,5283,3246
201,5283,3247
202,5283,3248
203,5283,3249
204,5283,3250
205,5283,3251
206,5283,3252
207,5283,3253
208,5283,3254
209,5283,3255
210,5283,3256
211,5283,3257
212,5283,3258
213,5283,3259
214,5283,3260
215,5283,3261
216,5284,3232
217,5284,3233
218,5284,3234
219,5284,3235
220,5284,3236
221,5284,3237
222,5284,3238
223,5284,3239
224,5284,3240
225,5284,3241
226,5284,3242
227,5284,3243
228,5284,3244
229,5284,3245
230,5284,3246
231,5284,3247
232,5284,3248
233,5284,3249
234,5284,3250
235,5284,3251
236,5284,3252
237,5284,3253
238,5284,3254
239,5284,3255
240,5284,3256
241,5284,3257
242,5284,3258
243,5284,3259
244,5284,3260
245,5284,3261
246,5285,3232
247,5285,3233
248,5285,3234
249,5285,3235
250,5285,3236
251,5285,3237
252,5285,3238
253,5285,3239
254,5285,3240
255,5285,3241
256,5285,3242
257,5285,3243
258,5285,3244
259,5285,3245
260,5285,3246
261,5285,3247
262,5285,3248
263,5285,3249
264,5285,3250
265,5285,3251
266,5285,3252
267,5285,3253
268,5285,3254
269,5285,3255
270,5285,3256
271,5285,3257
272,5285,3258
273,5285,3259
274,5285,3260
275,5285,3261
276,5286,3233
277,5286,3234
278,5286,3235
279,5286,3236
280,5286,3237
281,5286,3238
282,5286,3239
283,5286,3240
284,5286,3241
285,5286,3242
286,5286,3243
287,5286,3244
288,5286,3245
289,5286,3246
290,5286,3247
291,5286,3248
292,5286,3249
293,5286,3250
294,5286,3251
295,5286,3252
296,5286,3253
297,5286,3254
298,5286,3255
299,5286,3256
300,5286,3257
301,5286,3258
302,5286,3259
303,5286,3260
304,5286,3261
305,5287,3234
306,5287,3235
307,5287,3236
308,5287,3237
309,5287,3238
310,5287,3239
311,5287,3240
312,5287,3241
313,5287,3242
314,5287,3243
315,5287,3244
316,5287,3245
317,5287,3246
318,5287,3247
319,5287,3248
320,5287,3249
321,5287,3250
322,5287,3251
323,5287,3252
324,5287,3253
325,5287,3254
326,5287,3255
327,5287,3256
328,5287,3257
329,5287,3258
330,5287,3259
331,5287,3260
332,5288,3234
333,5288,3235
334,5288,3236
335,5288,3237
336,5288,3238
337,5288,3239
338,5288,3240
339,5288,3241
340,5288,3242
341,5288,3243
342,5288,3244
343,5288,3245
344,5288,3246
345,5288,3247
346,5288,3248
347,5288,3249
348,5288,3250
349,5288,3251
350,5288,3252
351,5288,3253
352,5288,3254
353,5288,3255
354,5288,3256
355,5288,3257
356,5288,3258
357,5288,3259
358,5288,3260
359,5289,3234
360,5289,3235
361,5289,3236
362,5289,3237
363,5289,3238
364,5289,3239
365,5289,3240
366,5289,3241
367,5289,3242
368,5289,3243
369,5289,3244
370,5289,3245
371,5289,3246
372,5289,3247
373,5289,3248
374,5289,3249
375,5289,3250
376,5289,3251
377,5289,3252
378,5289,3253
379,5289,3254
380,5289,3255
381,5289,3256
382,5289,3257
383,5289,3258
384,5289,3259
385,5289,3260
386,5290,3233
387,5290,3234
388,5290,3235
389,5290,3236
390,5290,3237
391,5290,3238
392,5290,3239
393,5290,3240
394,5290,3241
395,5290,3242
396,5290,3243
397,5290,3244
398,5290,3245
399,5290,3246
400,5290,3247
401,5290,3248
402,5290,3249
403,5290,3250
404,5290,3251
405,5290,3252
406,5290,3253
407,5290,3254
408,5290,3255
409,5290,3256
410,5290,3257
411,5290,3258
412,5290,3259
413,5290,3260
414,5290,3261
415,5291,3233
416,5291,3234
417,5291,3235
418,5291,3236
419,5291,3237
420,5291,3238
421,5291,3239
422,5291,3240
423,5291,3241
424,5291,3242
425,5291,3243
426,5291,3244
427,5291,3245
428,5291,3246
429,5291,3247
430,5291,3248
431,5291,3249
432,5291,3250
433,5291,3251
434,5291,3252
435,5291,3253
436,5291,3254
437,5291,3255
438,5291,3256
439,5291,3257
440,5291,3258
441,5291,3259
442,5291,3260
443,5291,3261
444,5292,3232
445,5292,3233
446,5292,3234
447,5292,3235
448,5292,3236
449,5292,3237
450,5292,3238
451,5292,3239
452,5292,3240
453,5292,3241
454,5292,3242
455,5292,3243
456,5292,3244
457,5292,3245
458,5292,3246
