,X,Y
0,5297,3340
1,5298,3340
2,5298,3341
3,5298,3347
4,5298,3348
5,5298,3349
6,5299,3340
7,5299,3341
8,5299,3342
9,5299,3347
10,5299,3348
11,5299,3349
12,5299,3350
13,5300,3340
14,5300,3341
15,5300,3342
16,5300,3343
17,5300,3346
18,5300,3347
19,5300,3348
20,5300,3349
21,5300,3350
22,5300,3351
23,5300,3352
24,5301,3340
25,5301,3341
26,5301,3342
27,5301,3343
28,5301,3344
29,5301,3345
30,5301,3346
31,5301,3347
32,5301,3348
33,5301,3349
34,5301,3350
35,5301,3351
36,5301,3352
37,5301,3353
38,5302,3312
39,5302,3313
40,5302,3314
41,5302,3325
42,5302,3326
43,5302,3327
44,5302,3328
45,5302,3329
46,5302,3330
47,5302,3331
48,5302,3332
49,5302,3333
50,5302,3339
51,5302,3340
52,5302,3341
53,5302,3342
54,5302,3343
55,5302,3344
56,5302,3345
57,5302,3346
58,5302,3347
59,5302,3348
60,5302,3349
61,5302,3350
62,5302,3351
63,5302,3352
64,5302,3353
65,5303,3311
66,5303,3312
67,5303,3313
68,5303,3314
69,5303,3315
70,5303,3316
71,5303,3317
72,5303,3318
73,5303,3319
74,5303,3320
75,5303,3321
76,5303,3322
77,5303,3323
78,5303,3324
79,5303,3325
80,5303,3326
81,5303,3327
82,5303,3328
83,5303,3329
84,5303,3330
85,5303,3331
86,5303,3332
87,5303,3333
88,5303,3334
89,5303,3339
90,5303,3340
91,5303,3341
92,5303,3342
93,5303,3343
94,5303,3344
95,5303,3345
96,5303,3346
97,5303,3347
98,5303,3348
99,5303,3349
100,5303,3350
101,5303,3351
102,5303,3352
103,5303,3353
104,5303,3354
105,5304,3311
106,5304,3312
107,5304,3313
108,5304,3314
109,5304,3315
110,5304,3316
111,5304,3317
112,5304,3318
113,5304,3319
114,5304,3320
115,5304,3321
116,5304,3322
117,5304,3323
118,5304,3324
119,5304,3325
120,5304,3326
121,5304,3327
122,5304,3328
123,5304,3329
124,5304,3330
125,5304,3331
126,5304,3332
127,5304,3333
128,5304,3334
129,5304,3335
130,5304,3339
131,5304,3340
132,5304,3341
133,5304,3342
134,5304,3343
135,5304,3344
136,5304,3345
137,5304,3346
138,5304,3347
139,5304,3348
140,5304,3349
141,5304,3350
142,5304,3351
143,5304,3352
144,5304,3353
145,5304,3354
146,5305,3310
147,5305,3311
148,5305,3312
149,5305,3313
150,5305,3314
151,5305,3315
152,5305,3316
153,5305,3317
154,5305,3318
155,5305,3319
156,5305,3320
157,5305,3321
158,5305,3322
159,5305,3323
160,5305,3324
161,5305,3325
162,5305,3326
163,5305,3327
164,5305,3328
165,5305,3329
166,5305,3330
167,5305,3331
168,5305,3332
169,5305,3333
170,5305,3334
171,5305,3335
172,5305,3336
173,5305,3338
174,5305,3339
175,5305,3340
176,5305,3341
177,5305,3342
178,5305,3343
179,5305,3344
180,5305,3345
181,5305,3346
182,5305,3347
183,5305,3348
184,5305,3349
185,5305,3350
186,5305,3351
187,5305,3352
188,5305,3353
189,5305,3354
190,5305,3355
191,5306,3309
192,5306,3310
193,5306,3311
194,5306,3312
195,5306,3313
196,5306,3314
197,5306,3315
198,5306,3316
199,5306,3317
200,5306,3318
201,5306,3319
202,5306,3320
203,5306,3321
204,5306,3322
205,5306,3323
206,5306,3324
207,5306,3325
208,5306,3326
209,5306,3327
210,5306,3328
211,5306,3329
212,5306,3330
213,5306,3331
214,5306,3332
215,5306,3333
216,5306,3334
217,5306,3335
218,5306,3336
219,5306,3337
220,5306,3338
221,5306,3339
222,5306,3340
223,5306,3341
224,5306,3342
225,5306,3343
226,5306,3344
227,5306,3345
228,5306,3346
229,5306,3347
230,5306,3348
231,5306,3349
232,5306,3350
233,5306,3351
234,5306,3352
235,5306,3353
236,5306,3354
237,5306,3355
238,5306,3356
239,5307,3309
240,5307,3310
241,5307,3311
242,5307,3312
243,5307,3313
244,5307,3314
245,5307,3315
246,5307,3316
247,5307,3317
248,5307,3318
249,5307,3319
250,5307,3320
251,5307,3321
252,5307,3322
253,5307,3323
254,5307,3324
255,5307,3325
256,5307,3326
257,5307,3327
258,5307,3328
259,5307,3329
260,5307,3330
261,5307,3331
262,5307,3332
263,5307,3333
264,5307,3334
265,5307,3335
266,5307,3336
267,5307,3337
268,5307,3338
269,5307,3339
270,5307,3340
271,5307,3341
272,5307,3342
273,5307,3343
274,5307,3344
275,5307,3345
276,5307,3346
277,5307,3347
278,5307,3348
279,5307,3349
280,5307,3350
281,5307,3351
282,5307,3352
283,5307,3353
284,5307,3354
285,5307,3355
286,5307,3356
287,5308,3309
288,5308,3310
289,5308,3311
290,5308,3312
291,5308,3313
292,5308,3314
293,5308,3315
294,5308,3316
295,5308,3317
296,5308,3318
297,5308,3319
298,5308,3320
299,5308,3321
300,5308,3322
301,5308,3323
302,5308,3324
303,5308,3325
304,5308,3326
305,5308,3327
306,5308,3328
307,5308,3329
308,5308,3330
309,5308,3331
310,5308,3332
311,5308,3333
312,5308,3334
313,5308,3335
314,5308,3336
315,5308,3337
316,5308,3338
317,5308,3339
318,5308,3340
319,5308,3341
320,5308,3342
321,5308,3343
322,5308,3344
323,5308,3345
324,5308,3346
325,5308,3347
326,5308,3348
327,5308,3349
328,5308,3350
329,5308,3351
330,5308,3352
