,X,Y
0,10474,6455
1,10475,6454
2,10475,6455
3,10475,6456
4,10475,6457
5,10476,6454
6,10476,6455
7,10476,6456
8,10476,6457
9,10476,6458
10,10477,6454
11,10477,6455
12,10477,6456
13,10477,6457
14,10477,6458
15,10477,6459
16,10478,6444
17,10478,6445
18,10478,6446
19,10478,6447
20,10478,6448
21,10478,6449
22,10478,6450
23,10478,6451
24,10478,6452
25,10478,6453
26,10478,6454
27,10478,6455
28,10478,6456
29,10478,6457
30,10478,6458
31,10478,6459
32,10479,6444
33,10479,6445
34,10479,6446
35,10479,6447
36,10479,6448
37,10479,6449
38,10479,6450
39,10479,6451
40,10479,6452
41,10479,6453
42,10479,6454
43,10479,6455
44,10479,6456
45,10479,6457
46,10479,6458
47,10479,6459
48,10480,6443
49,10480,6444
50,10480,6445
51,10480,6446
52,10480,6447
53,10480,6448
54,10480,6449
55,10480,6450
56,10480,6451
57,10480,6452
58,10480,6453
59,10480,6454
60,10480,6455
61,10480,6456
62,10480,6457
63,10480,6458
64,10481,6442
65,10481,6443
66,10481,6444
67,10481,6445
68,10481,6446
69,10481,6447
70,10481,6448
71,10481,6449
72,10481,6450
73,10481,6451
74,10481,6452
75,10481,6453
76,10481,6454
77,10481,6455
78,10481,6456
79,10481,6457
80,10481,6458
81,10482,6441
82,10482,6442
83,10482,6443
84,10482,6444
85,10482,6445
86,10482,6446
87,10482,6447
88,10482,6448
89,10482,6449
90,10482,6450
91,10482,6451
92,10482,6452
93,10482,6453
94,10482,6454
95,10482,6455
96,10482,6456
97,10482,6457
98,10482,6458
99,10483,6440
100,10483,6441
101,10483,6442
102,10483,6443
103,10483,6444
104,10483,6445
105,10483,6446
106,10483,6447
107,10483,6448
108,10483,6449
109,10483,6450
110,10483,6451
111,10483,6452
112,10483,6453
113,10483,6454
114,10483,6455
115,10483,6456
116,10483,6457
117,10484,6438
118,10484,6439
119,10484,6440
120,10484,6441
121,10484,6442
122,10484,6443
123,10484,6444
124,10484,6445
125,10484,6446
126,10484,6447
127,10484,6448
128,10484,6449
129,10484,6450
130,10484,6451
131,10484,6452
132,10484,6453
133,10484,6454
134,10484,6455
135,10484,6456
136,10484,6457
137,10485,6435
138,10485,6436
139,10485,6437
140,10485,6438
141,10485,6439
142,10485,6440
143,10485,6441
144,10485,6442
145,10485,6443
146,10485,6444
147,10485,6445
148,10485,6446
149,10485,6447
150,10485,6448
151,10485,6449
152,10485,6450
153,10485,6451
154,10485,6452
155,10485,6453
156,10485,6454
157,10486,6415
158,10486,6416
159,10486,6417
160,10486,6418
161,10486,6433
162,10486,6434
163,10486,6435
164,10486,6436
165,10486,6437
166,10486,6438
167,10486,6439
168,10486,6440
169,10486,6441
170,10486,6442
171,10486,6443
172,10486,6444
173,10486,6445
174,10486,6446
175,10486,6447
176,10486,6448
177,10486,6449
178,10486,6450
179,10486,6451
180,10486,6452
181,10486,6453
182,10487,6414
183,10487,6415
184,10487,6416
185,10487,6417
186,10487,6418
187,10487,6419
188,10487,6420
189,10487,6433
190,10487,6434
191,10487,6435
192,10487,6436
193,10487,6437
194,10487,6438
195,10487,6439
196,10487,6440
197,10487,6441
198,10487,6442
199,10487,6443
200,10487,6444
201,10487,6445
202,10487,6446
203,10487,6447
204,10487,6448
205,10487,6449
206,10487,6450
207,10487,6451
208,10487,6452
209,10487,6453
210,10488,6414
211,10488,6415
212,10488,6416
213,10488,6417
214,10488,6418
215,10488,6419
216,10488,6420
217,10488,6421
218,10488,6433
219,10488,6434
220,10488,6435
221,10488,6436
222,10488,6437
223,10488,6438
224,10488,6439
225,10488,6440
226,10488,6441
227,10488,6442
228,10488,6443
229,10488,6444
230,10488,6445
231,10488,6446
232,10488,6447
233,10488,6448
234,10488,6449
235,10488,6450
236,10488,6451
237,10488,6452
238,10488,6453
239,10489,6414
240,10489,6415
241,10489,6416
242,10489,6417
243,10489,6418
244,10489,6419
245,10489,6420
246,10489,6421
247,10489,6433
248,10489,6434
249,10489,6435
250,10489,6436
251,10489,6437
252,10489,6438
253,10489,6439
254,10489,6440
255,10489,6441
256,10489,6442
257,10489,6443
258,10489,6444
259,10489,6445
260,10489,6446
261,10489,6447
262,10489,6448
263,10489,6449
264,10489,6450
265,10489,6451
266,10489,6452
267,10489,6453
268,10490,6414
269,10490,6415
270,10490,6416
271,10490,6417
272,10490,6418
273,10490,6419
274,10490,6420
275,10490,6421
276,10490,6422
277,10490,6433
278,10490,6434
279,10490,6435
280,10490,6436
281,10490,6437
282,10490,6438
283,10490,6439
284,10490,6440
285,10490,6441
286,10490,6442
287,10490,6443
288,10490,6444
289,10490,6445
290,10490,6446
291,10490,6447
292,10490,6448
293,10490,6449
294,10490,6450
295,10490,6451
296,10490,6452
297,10490,6453
298,10491,6414
299,10491,6415
300,10491,6416
301,10491,6417
302,10491,6418
303,10491,6419
304,10491,6420
305,10491,6421
306,10491,6422
307,10491,6423
308,10491,6432
309,10491,6433
310,10491,6434
311,10491,6435
312,10491,6436
313,10491,6437
314,10491,6438
315,10491,6439
316,10491,6440
317,10491,6441
318,10491,6442
319,10491,6443
320,10491,6444
321,10491,6445
322,10491,6446
323,10491,6447
324,10491,6448
325,10491,6449
326,10491,6450
327,10491,6451
328,10491,6452
329,10492,6414
330,10492,6415
331,10492,6416
332,10492,6417
333,10492,6418
334,10492,6419
335,10492,6420
336,10492,6421
