,X,Y
0,10472,6751
1,10472,6752
2,10473,6750
3,10473,6751
4,10473,6752
5,10473,6753
6,10473,6754
7,10473,6755
8,10474,6748
9,10474,6749
10,10474,6750
11,10474,6751
12,10474,6752
13,10474,6753
14,10474,6754
15,10474,6755
16,10474,6756
17,10474,6757
18,10474,6758
19,10474,6759
20,10474,6760
21,10474,6761
22,10474,6762
23,10474,6763
24,10475,6746
25,10475,6747
26,10475,6748
27,10475,6749
28,10475,6750
29,10475,6751
30,10475,6752
31,10475,6753
32,10475,6754
33,10475,6755
34,10475,6756
35,10475,6757
36,10475,6758
37,10475,6759
38,10475,6760
39,10475,6761
40,10475,6762
41,10475,6763
42,10476,6744
43,10476,6745
44,10476,6746
45,10476,6747
46,10476,6748
47,10476,6749
48,10476,6750
49,10476,6751
50,10476,6752
51,10476,6753
52,10476,6754
53,10476,6755
54,10476,6756
55,10476,6757
56,10476,6758
57,10476,6759
58,10476,6760
59,10476,6761
60,10476,6762
61,10476,6763
62,10476,6764
63,10476,6765
64,10477,6744
65,10477,6745
66,10477,6746
67,10477,6747
68,10477,6748
69,10477,6749
70,10477,6750
71,10477,6751
72,10477,6752
73,10477,6753
74,10477,6754
75,10477,6755
76,10477,6756
77,10477,6757
78,10477,6758
79,10477,6759
80,10477,6760
81,10477,6761
82,10477,6762
83,10477,6763
84,10477,6764
85,10477,6765
86,10478,6745
87,10478,6746
88,10478,6747
89,10478,6748
90,10478,6749
91,10478,6750
92,10478,6751
93,10478,6752
94,10478,6753
95,10478,6754
96,10478,6755
97,10478,6756
98,10478,6757
99,10478,6758
100,10478,6759
101,10478,6760
102,10478,6761
103,10478,6762
104,10478,6763
105,10478,6764
106,10478,6765
107,10478,6766
108,10478,6767
109,10479,6745
110,10479,6746
111,10479,6747
112,10479,6748
113,10479,6749
114,10479,6750
115,10479,6751
116,10479,6752
117,10479,6753
118,10479,6754
119,10479,6755
120,10479,6756
121,10479,6757
122,10479,6758
123,10479,6759
124,10479,6760
125,10479,6761
126,10479,6762
127,10479,6763
128,10479,6764
129,10479,6765
130,10479,6766
131,10479,6767
132,10479,6768
133,10479,6769
134,10480,6746
135,10480,6747
136,10480,6748
137,10480,6749
138,10480,6750
139,10480,6751
140,10480,6752
141,10480,6753
142,10480,6754
143,10480,6755
144,10480,6756
145,10480,6757
146,10480,6758
147,10480,6759
148,10480,6760
149,10480,6761
150,10480,6762
151,10480,6763
152,10480,6764
153,10480,6765
154,10480,6766
155,10480,6767
156,10480,6768
157,10480,6769
158,10480,6770
159,10480,6771
160,10480,6797
161,10480,6798
162,10480,6799
163,10481,6747
164,10481,6748
165,10481,6749
166,10481,6750
167,10481,6751
168,10481,6752
169,10481,6753
170,10481,6754
171,10481,6755
172,10481,6756
173,10481,6757
174,10481,6758
175,10481,6759
176,10481,6760
177,10481,6761
178,10481,6762
179,10481,6763
180,10481,6764
181,10481,6765
182,10481,6766
183,10481,6767
184,10481,6768
185,10481,6769
186,10481,6770
187,10481,6771
188,10481,6772
189,10481,6797
190,10481,6798
191,10481,6799
192,10481,6800
193,10481,6801
194,10482,6747
195,10482,6748
196,10482,6749
197,10482,6750
198,10482,6751
199,10482,6752
200,10482,6753
201,10482,6754
202,10482,6755
203,10482,6756
204,10482,6757
205,10482,6758
206,10482,6759
207,10482,6760
208,10482,6761
209,10482,6762
210,10482,6763
211,10482,6764
212,10482,6765
213,10482,6766
214,10482,6767
215,10482,6768
216,10482,6769
217,10482,6770
218,10482,6771
219,10482,6772
220,10482,6773
221,10482,6774
222,10482,6795
223,10482,6796
224,10482,6798
225,10482,6799
226,10482,6800
227,10482,6801
228,10483,6748
229,10483,6749
230,10483,6750
231,10483,6751
232,10483,6752
233,10483,6753
234,10483,6754
235,10483,6755
236,10483,6756
237,10483,6757
238,10483,6758
239,10483,6759
240,10483,6760
241,10483,6761
242,10483,6762
243,10483,6763
244,10483,6764
245,10483,6765
246,10483,6766
247,10483,6767
248,10483,6768
249,10483,6769
250,10483,6770
251,10483,6771
252,10483,6772
253,10483,6773
254,10483,6774
255,10483,6775
256,10483,6794
257,10483,6795
258,10483,6796
259,10484,6748
260,10484,6749
261,10484,6750
262,10484,6751
263,10484,6752
264,10484,6753
265,10484,6754
266,10484,6755
267,10484,6756
268,10484,6757
269,10484,6758
270,10484,6759
271,10484,6760
272,10484,6761
273,10484,6762
274,10484,6763
275,10484,6764
276,10484,6765
277,10484,6766
278,10484,6767
279,10484,6768
280,10484,6769
281,10484,6770
282,10484,6771
283,10484,6772
284,10484,6773
285,10484,6774
286,10484,6775
287,10484,6776
288,10485,6749
289,10485,6750
290,10485,6751
291,10485,6752
292,10485,6753
293,10485,6754
294,10485,6755
295,10485,6756
296,10485,6757
297,10485,6758
298,10485,6759
299,10485,6760
300,10485,6761
301,10485,6762
302,10485,6763
303,10485,6764
304,10485,6765
305,10485,6766
306,10485,6767
307,10485,6768
308,10485,6769
309,10485,6770
310,10485,6771
311,10485,6772
312,10485,6773
313,10485,6774
314,10485,6775
315,10485,6776
316,10485,6777
317,10486,6749
318,10486,6750
319,10486,6751
320,10486,6752
321,10486,6753
322,10486,6754
323,10486,6755
324,10486,6756
325,10486,6757
326,10486,6758
327,10486,6759
328,10486,6760
329,10486,6761
330,10486,6762
331,10486,6763
332,10486,6764
333,10486,6765
334,10486,6766
335,10486,6767
336,10486,6768
337,10486,6769
338,10486,6770
339,10486,6771
340,10486,6772
341,10486,6773
342,10486,6774
343,10486,6775
344,10486,6776
345,10486,6777
346,10486,6778
347,10487,6750
348,10487,6751
349,10487,6752
350,10487,6753
351,10487,6754
352,10487,6755
353,10487,6756
354,10487,6757
355,10487,6758
356,10487,6759
357,10487,6760
358,10487,6761
359,10487,6762
360,10487,6763
361,10487,6764
362,10487,6765
363,10487,6766
364,10487,6767
365,10487,6768
366,10487,6769
367,10487,6770
368,10487,6771
369,10487,6772
370,10487,6773
371,10487,6774
372,10487,6775
373,10487,6776
374,10487,6777
375,10487,6778
376,10488,6750
377,10488,6751
378,10488,6752
379,10488,6753
380,10488,6754
381,10488,6755
382,10488,6756
383,10488,6757
384,10488,6758
385,10488,6759
386,10488,6760
387,10488,6761
388,10488,6762
389,10488,6763
390,10488,6764
391,10488,6765
392,10488,6766
393,10488,6767
394,10488,6768
395,10488,6769
396,10488,6770
397,10488,6771
398,10488,6772
399,10488,6773
400,10488,6774
401,10488,6775
402,10488,6776
403,10488,6777
404,10488,6778
405,10488,6779
406,10489,6750
407,10489,6751
408,10489,6752
409,10489,6753
410,10489,6754
411,10489,6755
412,10489,6756
413,10489,6757
414,10489,6758
415,10489,6759
416,10489,6760
417,10489,6761
418,10489,6762
419,10489,6763
420,10489,6764
421,10489,6765
422,10489,6766
423,10489,6767
424,10489,6768
425,10489,6769
426,10489,6770
427,10489,6771
428,10489,6772
429,10489,6773
430,10489,6774
431,10489,6775
432,10489,6776
433,10489,6777
434,10489,6778
435,10489,6779
436,10489,6780
437,10490,6750
438,10490,6751
439,10490,6752
440,10490,6753
441,10490,6754
442,10490,6755
443,10490,6756
444,10490,6757
445,10490,6758
446,10490,6759
447,10490,6760
448,10490,6761
449,10490,6762
450,10490,6763
451,10490,6764
452,10490,6765
453,10490,6766
454,10490,6767
455,10490,6768
456,10490,6769
457,10490,6770
458,10490,6771
459,10490,6772
460,10490,6773
461,10490,6774
462,10490,6775
463,10490,6776
464,10490,6777
465,10490,6778
466,10490,6779
467,10490,6780
468,10490,6781
469,10490,6782
470,10491,6751
471,10491,6752
472,10491,6753
473,10491,6754
474,10491,6755
475,10491,6756
476,10491,6757
477,10491,6758
478,10491,6759
479,10491,6760
480,10491,6761
481,10491,6762
482,10491,6763
483,10491,6764
484,10491,6765
485,10491,6766
486,10491,6767
487,10491,6768
488,10491,6769
489,10491,6770
490,10491,6771
491,10491,6772
