,X,Y
0,10367,6497
1,10367,6498
2,10367,6499
3,10368,6497
4,10368,6498
5,10368,6499
6,10368,6500
7,10368,6501
8,10369,6497
9,10369,6498
10,10369,6499
11,10369,6500
12,10369,6501
13,10369,6502
14,10369,6503
15,10369,6507
16,10369,6508
17,10370,6457
18,10370,6458
19,10370,6459
20,10370,6460
21,10370,6496
22,10370,6497
23,10370,6498
24,10370,6499
25,10370,6500
26,10370,6501
27,10370,6502
28,10370,6503
29,10370,6504
30,10370,6505
31,10370,6506
32,10370,6507
33,10370,6508
34,10370,6509
35,10370,6510
36,10371,6457
37,10371,6458
38,10371,6459
39,10371,6460
40,10371,6461
41,10371,6462
42,10371,6463
43,10371,6496
44,10371,6497
45,10371,6498
46,10371,6499
47,10371,6500
48,10371,6501
49,10371,6502
50,10371,6503
51,10371,6504
52,10371,6505
53,10371,6506
54,10371,6507
55,10371,6508
56,10371,6509
57,10371,6510
58,10371,6529
59,10371,6530
60,10371,6531
61,10372,6457
62,10372,6458
63,10372,6459
64,10372,6460
65,10372,6461
66,10372,6462
67,10372,6463
68,10372,6464
69,10372,6465
70,10372,6492
71,10372,6493
72,10372,6494
73,10372,6495
74,10372,6496
75,10372,6497
76,10372,6498
77,10372,6499
78,10372,6500
79,10372,6501
80,10372,6502
81,10372,6503
82,10372,6504
83,10372,6505
84,10372,6506
85,10372,6507
86,10372,6508
87,10372,6509
88,10372,6510
89,10372,6528
90,10372,6529
91,10372,6530
92,10372,6531
93,10373,6457
94,10373,6458
95,10373,6459
96,10373,6460
97,10373,6461
98,10373,6462
99,10373,6463
100,10373,6464
101,10373,6465
102,10373,6466
103,10373,6467
104,10373,6491
105,10373,6492
106,10373,6493
107,10373,6494
108,10373,6495
109,10373,6496
110,10373,6497
111,10373,6498
112,10373,6499
113,10373,6500
114,10373,6501
115,10373,6502
116,10373,6503
117,10373,6504
118,10373,6505
119,10373,6506
120,10373,6507
121,10373,6508
122,10373,6509
123,10373,6510
124,10373,6526
125,10373,6527
126,10373,6528
127,10373,6529
128,10373,6530
129,10373,6531
130,10374,6457
131,10374,6458
132,10374,6459
133,10374,6460
134,10374,6461
135,10374,6462
136,10374,6463
137,10374,6464
138,10374,6465
139,10374,6466
140,10374,6467
141,10374,6468
142,10374,6491
143,10374,6492
144,10374,6493
145,10374,6494
146,10374,6495
147,10374,6496
148,10374,6497
149,10374,6498
150,10374,6499
151,10374,6500
152,10374,6501
153,10374,6502
154,10374,6503
155,10374,6504
156,10374,6505
157,10374,6506
158,10374,6507
159,10374,6508
160,10374,6509
161,10374,6510
162,10374,6511
163,10374,6525
164,10374,6526
165,10374,6527
166,10374,6528
167,10374,6529
168,10374,6530
169,10374,6531
170,10374,6532
171,10375,6457
172,10375,6458
173,10375,6459
174,10375,6460
175,10375,6461
176,10375,6462
177,10375,6463
178,10375,6464
179,10375,6465
180,10375,6466
181,10375,6467
182,10375,6468
183,10375,6469
184,10375,6491
185,10375,6492
186,10375,6493
