,X,Y
0,10409,6446
1,10409,6447
2,10409,6448
3,10409,6449
4,10410,6443
5,10410,6444
6,10410,6445
7,10410,6446
8,10410,6447
9,10410,6448
10,10410,6449
11,10411,6441
12,10411,6442
13,10411,6443
14,10411,6444
15,10411,6445
16,10411,6446
17,10411,6447
18,10411,6448
19,10412,6439
20,10412,6440
21,10412,6441
22,10412,6442
23,10412,6443
24,10412,6444
25,10412,6445
26,10412,6446
27,10412,6447
28,10412,6448
29,10412,6449
30,10413,6438
31,10413,6439
32,10413,6440
33,10413,6441
34,10413,6442
35,10413,6443
36,10413,6444
37,10413,6445
38,10413,6446
39,10413,6447
40,10413,6448
41,10413,6449
42,10413,6450
43,10414,6437
44,10414,6438
45,10414,6439
46,10414,6440
47,10414,6441
48,10414,6442
49,10414,6443
50,10414,6444
51,10414,6445
52,10414,6446
53,10414,6447
54,10414,6448
55,10414,6449
56,10414,6450
57,10415,6436
58,10415,6437
59,10415,6438
60,10415,6439
61,10415,6440
62,10415,6441
63,10415,6442
64,10415,6443
65,10415,6444
66,10415,6445
67,10415,6446
68,10415,6447
69,10415,6448
70,10415,6449
71,10415,6450
72,10416,6435
73,10416,6436
74,10416,6437
75,10416,6438
76,10416,6439
77,10416,6440
78,10416,6441
79,10416,6442
80,10416,6443
81,10416,6444
82,10416,6445
83,10416,6446
84,10416,6447
85,10416,6448
86,10416,6449
87,10416,6450
88,10417,6434
89,10417,6435
90,10417,6436
91,10417,6437
92,10417,6438
93,10417,6439
94,10417,6440
95,10417,6441
96,10417,6442
97,10417,6443
98,10417,6444
99,10417,6445
100,10417,6446
101,10417,6447
102,10417,6448
103,10417,6449
104,10417,6450
105,10417,6451
106,10418,6435
107,10418,6436
108,10418,6437
109,10418,6438
110,10418,6439
111,10418,6440
112,10418,6441
113,10418,6442
114,10418,6443
115,10418,6444
116,10418,6445
117,10418,6446
118,10418,6447
119,10418,6448
120,10418,6449
121,10418,6450
122,10418,6451
123,10418,6452
124,10419,6437
125,10419,6438
126,10419,6439
127,10419,6440
128,10419,6441
129,10419,6442
130,10419,6443
131,10419,6444
132,10419,6445
133,10419,6446
134,10419,6447
135,10419,6448
136,10419,6449
137,10419,6450
138,10419,6451
139,10419,6452
140,10420,6401
141,10420,6402
142,10420,6438
143,10420,6439
144,10420,6440
145,10420,6441
146,10420,6442
147,10420,6443
148,10420,6444
149,10420,6445
150,10420,6446
151,10420,6447
152,10420,6448
153,10420,6449
154,10420,6450
155,10420,6451
156,10420,6452
157,10420,6453
158,10421,6399
159,10421,6400
160,10421,6401
161,10421,6402
162,10421,6403
163,10421,6438
164,10421,6439
165,10421,6440
166,10421,6441
167,10421,6442
168,10421,6443
169,10421,6444
170,10421,6445
171,10421,6446
172,10421,6447
173,10421,6448
174,10421,6449
175,10421,6450
176,10421,6451
177,10421,6452
178,10421,6453
179,10421,6454
180,10422,6396
181,10422,6397
182,10422,6398
183,10422,6399
184,10422,6400
185,10422,6401
186,10422,6402
187,10422,6403
188,10422,6404
189,10422,6438
190,10422,6439
191,10422,6440
192,10422,6441
193,10422,6442
194,10422,6443
195,10422,6444
196,10422,6445
197,10422,6446
198,10422,6447
199,10422,6448
200,10422,6449
201,10422,6450
202,10422,6451
203,10422,6452
204,10422,6453
205,10422,6454
206,10423,6395
207,10423,6396
208,10423,6397
209,10423,6398
210,10423,6399
211,10423,6400
212,10423,6401
213,10423,6402
214,10423,6403
215,10423,6404
216,10423,6405
217,10423,6439
218,10423,6440
219,10423,6441
220,10423,6442
221,10423,6443
222,10423,6444
223,10423,6445
224,10423,6446
225,10423,6447
226,10423,6448
227,10423,6449
228,10423,6450
229,10423,6451
230,10423,6452
231,10423,6453
232,10423,6454
233,10423,6455
234,10424,6393
235,10424,6394
236,10424,6395
237,10424,6396
238,10424,6397
239,10424,6398
240,10424,6399
241,10424,6400
242,10424,6401
243,10424,6402
244,10424,6403
245,10424,6404
246,10424,6405
247,10424,6406
248,10424,6440
249,10424,6441
250,10424,6442
251,10424,6443
252,10424,6444
253,10424,6445
254,10424,6446
255,10424,6447
256,10424,6448
257,10424,6449
258,10424,6450
259,10424,6451
260,10424,6452
261,10424,6453
262,10424,6454
263,10424,6455
264,10424,6456
265,10425,6391
266,10425,6392
267,10425,6393
268,10425,6394
269,10425,6395
270,10425,6396
271,10425,6397
272,10425,6398
273,10425,6399
274,10425,6400
275,10425,6401
276,10425,6402
277,10425,6403
278,10425,6404
279,10425,6405
280,10425,6406
281,10425,6407
282,10425,6437
283,10425,6438
284,10425,6439
285,10425,6440
286,10425,6441
287,10425,6442
288,10425,6443
289,10425,6444
290,10425,6445
291,10425,6446
292,10425,6447
293,10425,6448
294,10425,6449
295,10425,6450
296,10425,6451
297,10425,6452
298,10425,6453
299,10425,6454
300,10425,6455
301,10425,6456
302,10426,6389
303,10426,6390
304,10426,6391
305,10426,6392
306,10426,6393
307,10426,6394
308,10426,6395
309,10426,6396
310,10426,6397
311,10426,6398
312,10426,6399
313,10426,6400
314,10426,6401
315,10426,6402
316,10426,6403
317,10426,6404
318,10426,6405
319,10426,6406
320,10426,6407
321,10426,6408
