,X,Y
0,20990,13523
1,20990,13524
2,20990,13525
3,20991,13522
4,20991,13523
5,20991,13524
6,20991,13525
7,20992,13522
8,20992,13523
9,20992,13524
10,20992,13525
11,20993,13521
12,20993,13522
13,20993,13523
14,20993,13524
15,20993,13525
16,20993,13526
17,20993,13537
18,20993,13538
19,20994,13521
20,20994,13522
21,20994,13523
22,20994,13524
23,20994,13525
24,20994,13526
25,20994,13527
26,20994,13536
27,20994,13537
28,20994,13538
29,20994,13539
30,20995,13521
31,20995,13522
32,20995,13523
33,20995,13524
34,20995,13525
35,20995,13526
36,20995,13527
37,20995,13528
38,20995,13535
39,20995,13536
40,20995,13537
41,20995,13538
42,20995,13539
43,20996,13520
44,20996,13521
45,20996,13522
46,20996,13523
47,20996,13524
48,20996,13525
49,20996,13526
50,20996,13527
51,20996,13528
52,20996,13529
53,20996,13530
54,20996,13533
55,20996,13534
56,20996,13535
57,20996,13536
58,20996,13537
59,20996,13538
60,20996,13539
61,20996,13540
62,20997,13519
63,20997,13520
64,20997,13521
65,20997,13522
66,20997,13523
67,20997,13524
68,20997,13525
69,20997,13526
70,20997,13527
71,20997,13528
72,20997,13529
73,20997,13530
74,20997,13533
75,20997,13534
76,20997,13535
77,20997,13536
78,20997,13537
79,20997,13538
80,20997,13539
81,20997,13540
82,20998,13519
83,20998,13520
84,20998,13521
85,20998,13522
86,20998,13523
87,20998,13524
88,20998,13525
89,20998,13526
90,20998,13527
91,20998,13528
92,20998,13529
93,20998,13530
94,20998,13531
95,20998,13533
96,20998,13534
97,20998,13535
98,20998,13536
99,20998,13537
100,20998,13538
101,20998,13539
102,20998,13540
103,20998,13541
104,20999,13519
105,20999,13520
106,20999,13521
107,20999,13522
108,20999,13523
109,20999,13524
110,20999,13525
111,20999,13526
112,20999,13527
113,20999,13528
114,20999,13529
115,20999,13530
116,20999,13531
117,20999,13532
118,20999,13533
119,20999,13534
120,20999,13535
121,20999,13536
122,20999,13537
123,20999,13538
124,20999,13539
125,20999,13540
126,20999,13541
127,21000,13519
128,21000,13520
129,21000,13521
130,21000,13522
131,21000,13523
132,21000,13524
133,21000,13525
134,21000,13526
135,21000,13527
136,21000,13528
137,21000,13529
138,21000,13530
139,21000,13531
140,21000,13532
141,21000,13533
142,21000,13534
143,21000,13535
144,21000,13536
145,21000,13537
146,21000,13538
147,21000,13539
148,21000,13540
149,21000,13541
150,21001,13519
151,21001,13520
152,21001,13521
153,21001,13522
154,21001,13523
155,21001,13524
156,21001,13525
157,21001,13526
158,21001,13527
159,21001,13528
160,21001,13529
161,21001,13530
162,21001,13531
163,21001,13532
164,21001,13533
165,21001,13534
166,21001,13535
167,21001,13536
168,21001,13537
169,21001,13538
170,21001,13539
171,21001,13540
172,21001,13541
173,21002,13520
174,21002,13521
175,21002,13522
176,21002,13523
177,21002,13524
178,21002,13525
179,21002,13526
180,21002,13527
181,21002,13528
182,21002,13529
183,21002,13530
184,21002,13531
185,21002,13532
186,21002,13533
187,21002,13534
188,21002,13535
189,21002,13536
190,21002,13537
191,21002,13538
192,21002,13539
193,21002,13540
194,21002,13541
195,21002,13542
196,21003,13520
197,21003,13521
198,21003,13522
199,21003,13523
200,21003,13524
201,21003,13525
202,21003,13526
203,21003,13527
204,21003,13528
205,21003,13529
206,21003,13530
207,21003,13531
208,21003,13532
209,21003,13533
210,21003,13534
211,21003,13535
212,21003,13536
213,21003,13537
214,21003,13538
215,21003,13539
216,21003,13540
217,21003,13541
218,21003,13542
219,21004,13520
220,21004,13521
221,21004,13522
222,21004,13523
223,21004,13524
224,21004,13525
225,21004,13526
226,21004,13527
227,21004,13528
228,21004,13529
229,21004,13530
230,21004,13531
231,21004,13532
232,21004,13533
233,21004,13534
234,21004,13535
235,21004,13536
236,21004,13537
237,21004,13538
238,21004,13539
239,21004,13540
240,21004,13541
241,21004,13542
242,21005,13520
243,21005,13521
244,21005,13522
245,21005,13523
246,21005,13524
247,21005,13525
248,21005,13526
249,21005,13527
250,21005,13528
251,21005,13529
252,21005,13530
253,21005,13531
254,21005,13532
255,21005,13533
256,21005,13534
257,21005,13535
258,21005,13536
259,21005,13537
260,21005,13538
261,21005,13539
262,21005,13540
263,21005,13541
264,21005,13542
265,21006,13520
266,21006,13521
267,21006,13522
268,21006,13523
269,21006,13524
270,21006,13525
271,21006,13526
272,21006,13527
273,21006,13528
274,21006,13529
275,21006,13530
276,21006,13531
277,21006,13532
278,21006,13533
279,21006,13534
280,21006,13535
281,21006,13536
282,21006,13537
283,21006,13538
284,21006,13539
285,21006,13540
286,21006,13541
287,21006,13542
288,21007,13521
289,21007,13522
290,21007,13523
291,21007,13524
292,21007,13525
293,21007,13526
294,21007,13527
295,21007,13528
296,21007,13529
297,21007,13530
298,21007,13531
299,21007,13532
300,21007,13533
301,21007,13534
302,21007,13535
303,21007,13536
304,21007,13537
305,21007,13538
306,21007,13539
307,21007,13540
308,21007,13541
309,21007,13542
310,21008,13521
311,21008,13522
312,21008,13523
313,21008,13524
314,21008,13525
315,21008,13526
316,21008,13527
317,21008,13528
318,21008,13529
319,21008,13530
320,21008,13531
321,21008,13532
322,21008,13533
