,X,Y
0,21184,13801
1,21184,13802
2,21185,13800
3,21185,13801
4,21185,13802
5,21186,13799
6,21186,13800
7,21186,13801
8,21186,13802
9,21186,13803
10,21187,13798
11,21187,13799
12,21187,13800
13,21187,13801
14,21187,13802
15,21187,13803
16,21187,13804
17,21188,13798
18,21188,13799
19,21188,13800
20,21188,13801
21,21188,13802
22,21188,13803
23,21188,13804
24,21189,13797
25,21189,13798
26,21189,13799
27,21189,13800
28,21189,13801
29,21189,13802
30,21189,13803
31,21189,13804
32,21189,13805
33,21189,13806
34,21190,13797
35,21190,13798
36,21190,13799
37,21190,13800
38,21190,13801
39,21190,13802
40,21190,13803
41,21190,13804
42,21190,13805
43,21190,13806
44,21190,13807
45,21191,13796
46,21191,13797
47,21191,13798
48,21191,13799
49,21191,13800
50,21191,13801
51,21191,13802
52,21191,13803
53,21191,13804
54,21191,13805
55,21191,13806
56,21191,13807
57,21191,13808
58,21192,13796
59,21192,13797
60,21192,13798
61,21192,13799
62,21192,13800
63,21192,13801
64,21192,13802
65,21192,13803
66,21192,13804
67,21192,13805
68,21192,13806
69,21192,13807
70,21192,13808
71,21192,13809
72,21193,13797
73,21193,13798
74,21193,13799
75,21193,13800
76,21193,13801
77,21193,13802
78,21193,13803
79,21193,13804
80,21193,13805
81,21193,13806
82,21193,13807
83,21193,13808
84,21193,13809
85,21194,13798
86,21194,13799
87,21194,13800
88,21194,13801
89,21194,13802
90,21194,13803
91,21194,13804
92,21194,13805
93,21194,13806
94,21194,13807
95,21194,13808
96,21194,13809
97,21194,13810
98,21195,13798
99,21195,13799
100,21195,13800
101,21195,13801
102,21195,13802
103,21195,13803
104,21195,13804
105,21195,13805
106,21195,13806
107,21195,13807
108,21195,13808
109,21195,13809
110,21195,13810
111,21196,13799
112,21196,13800
113,21196,13801
114,21196,13802
115,21196,13803
116,21196,13804
117,21196,13805
118,21196,13806
119,21196,13807
120,21196,13808
121,21196,13809
122,21196,13810
123,21196,13811
124,21197,13799
125,21197,13800
126,21197,13801
127,21197,13802
128,21197,13803
129,21197,13804
130,21197,13805
131,21197,13806
132,21197,13807
133,21197,13808
134,21197,13809
135,21197,13810
136,21197,13811
137,21198,13798
138,21198,13799
139,21198,13800
140,21198,13801
141,21198,13802
142,21198,13803
143,21198,13804
144,21198,13805
145,21198,13806
146,21198,13807
147,21198,13808
148,21198,13809
149,21198,13810
150,21198,13811
151,21198,13812
152,21199,13798
153,21199,13799
154,21199,13800
155,21199,13801
156,21199,13802
157,21199,13803
158,21199,13804
159,21199,13805
160,21199,13806
161,21199,13807
162,21199,13808
163,21199,13809
164,21199,13810
165,21199,13811
166,21199,13812
167,21200,13797
168,21200,13798
169,21200,13799
170,21200,13800
171,21200,13801
172,21200,13802
173,21200,13803
174,21200,13804
175,21200,13805
176,21200,13806
177,21200,13807
178,21200,13808
179,21200,13809
180,21200,13810
181,21200,13811
182,21200,13812
183,21200,13813
184,21201,13796
185,21201,13797
186,21201,13798
187,21201,13799
188,21201,13800
189,21201,13801
190,21201,13802
191,21201,13803
192,21201,13804
193,21201,13805
194,21201,13806
195,21201,13807
196,21201,13808
197,21201,13809
198,21201,13810
199,21201,13811
200,21201,13812
201,21201,13813
202,21201,13814
203,21202,13796
204,21202,13797
