,X,Y
0,20543,13123
1,20543,13124
2,20543,13125
3,20544,13123
4,20544,13124
5,20544,13125
6,20544,13126
7,20545,13122
8,20545,13123
9,20545,13124
10,20545,13125
11,20545,13126
12,20545,13127
13,20546,13122
14,20546,13123
15,20546,13124
16,20546,13125
17,20546,13126
18,20546,13127
19,20547,13122
20,20547,13123
21,20547,13124
22,20547,13125
23,20547,13126
24,20547,13127
25,20547,13128
26,20548,13122
27,20548,13123
28,20548,13124
29,20548,13125
30,20548,13126
31,20548,13127
32,20548,13128
33,20548,13132
34,20548,13133
35,20548,13134
36,20549,13121
37,20549,13122
38,20549,13123
39,20549,13124
40,20549,13125
41,20549,13126
42,20549,13127
43,20549,13128
44,20549,13129
45,20549,13131
46,20549,13132
47,20549,13133
48,20549,13134
49,20550,13120
50,20550,13121
51,20550,13122
52,20550,13123
53,20550,13124
54,20550,13125
55,20550,13126
56,20550,13127
57,20550,13128
58,20550,13129
59,20550,13130
60,20550,13131
61,20550,13132
62,20550,13133
63,20551,13119
64,20551,13120
65,20551,13121
66,20551,13122
67,20551,13123
68,20551,13124
69,20551,13125
70,20551,13126
71,20551,13127
72,20551,13128
73,20551,13129
74,20551,13130
75,20551,13131
76,20551,13132
77,20551,13133
78,20552,13119
79,20552,13120
80,20552,13121
81,20552,13122
82,20552,13123
83,20552,13124
84,20552,13125
85,20552,13126
86,20552,13127
87,20552,13128
88,20552,13129
89,20552,13130
90,20552,13131
91,20552,13132
92,20553,13117
93,20553,13118
94,20553,13119
95,20553,13120
96,20553,13121
97,20553,13122
98,20553,13123
99,20553,13124
100,20553,13125
101,20553,13126
102,20553,13127
103,20553,13128
104,20553,13129
105,20553,13130
106,20553,13131
107,20553,13132
108,20554,13115
109,20554,13116
110,20554,13117
111,20554,13118
112,20554,13119
113,20554,13120
114,20554,13121
115,20554,13122
116,20554,13123
117,20554,13124
118,20554,13125
119,20554,13126
120,20554,13127
121,20554,13128
122,20554,13129
123,20554,13130
124,20555,13114
125,20555,13115
126,20555,13116
127,20555,13117
128,20555,13118
129,20555,13119
130,20555,13120
131,20555,13121
132,20555,13122
133,20555,13123
134,20555,13124
135,20555,13125
136,20555,13126
137,20555,13127
138,20555,13128
139,20555,13129
140,20555,13130
141,20556,13094
142,20556,13095
143,20556,13112
144,20556,13113
145,20556,13114
146,20556,13115
147,20556,13116
148,20556,13117
149,20556,13118
150,20556,13119
151,20556,13120
152,20556,13121
153,20556,13122
154,20556,13123
155,20556,13124
156,20556,13125
157,20556,13126
158,20556,13127
159,20556,13128
160,20556,13129
161,20556,13130
162,20557,13092
163,20557,13093
164,20557,13094
165,20557,13095
166,20557,13096
167,20557,13097
168,20557,13098
169,20557,13107
170,20557,13108
171,20557,13109
172,20557,13110
173,20557,13111
174,20557,13112
175,20557,13113
176,20557,13114
177,20557,13115
178,20557,13116
179,20557,13117
180,20557,13118
181,20557,13119
182,20557,13120
183,20557,13121
184,20557,13122
185,20557,13123
186,20557,13124
187,20557,13125
188,20557,13126
189,20557,13127
190,20557,13128
191,20557,13129
192,20557,13130
193,20558,13090
194,20558,13091
195,20558,13092
196,20558,13093
197,20558,13094
198,20558,13095
199,20558,13096
200,20558,13097
201,20558,13098
202,20558,13106
203,20558,13107
204,20558,13108
205,20558,13109
206,20558,13110
207,20558,13111
208,20558,13112
209,20558,13113
210,20558,13114
211,20558,13115
212,20558,13116
213,20558,13117
214,20558,13118
215,20558,13119
216,20558,13120
217,20558,13121
218,20558,13122
219,20558,13123
220,20558,13124
221,20558,13125
222,20558,13126
223,20558,13127
224,20558,13128
225,20558,13129
226,20558,13130
227,20558,13144
228,20558,13145
229,20559,13090
230,20559,13091
231,20559,13092
232,20559,13093
233,20559,13094
234,20559,13095
235,20559,13096
236,20559,13097
237,20559,13098
238,20559,13099
239,20559,13106
240,20559,13107
241,20559,13108
242,20559,13109
243,20559,13110
244,20559,13111
245,20559,13112
246,20559,13113
247,20559,13114
248,20559,13115
249,20559,13116
250,20559,13117
251,20559,13118
252,20559,13119
253,20559,13120
254,20559,13121
255,20559,13122
256,20559,13123
257,20559,13124
258,20559,13125
259,20559,13126
260,20559,13127
261,20559,13128
262,20559,13129
263,20559,13144
264,20559,13145
265,20560,13091
266,20560,13092
267,20560,13093
268,20560,13094
269,20560,13095
270,20560,13096
271,20560,13097
272,20560,13098
273,20560,13099
274,20560,13100
275,20560,13106
276,20560,13107
277,20560,13108
278,20560,13109
279,20560,13110
280,20560,13111
281,20560,13112
282,20560,13113
283,20560,13114
284,20560,13115
285,20560,13116
286,20560,13117
287,20560,13118
288,20560,13119
289,20560,13120
290,20560,13121
291,20560,13122
292,20560,13123
293,20560,13124
