,X,Y
0,20517,13092
1,20517,13093
2,20518,13090
3,20518,13091
4,20518,13092
5,20518,13093
6,20518,13094
7,20519,13090
8,20519,13091
9,20519,13092
10,20519,13093
11,20519,13094
12,20519,13095
13,20520,13038
14,20520,13039
15,20520,13040
16,20520,13041
17,20520,13089
18,20520,13090
19,20520,13091
20,20520,13092
21,20520,13093
22,20520,13094
23,20520,13095
24,20521,13037
25,20521,13038
26,20521,13039
27,20521,13040
28,20521,13041
29,20521,13042
30,20521,13043
31,20521,13044
32,20521,13045
33,20521,13088
34,20521,13089
35,20521,13090
36,20521,13091
37,20521,13092
38,20521,13093
39,20521,13094
40,20521,13095
41,20522,13037
42,20522,13038
43,20522,13039
44,20522,13040
45,20522,13041
46,20522,13042
47,20522,13043
48,20522,13044
49,20522,13045
50,20522,13046
51,20522,13047
52,20522,13048
53,20522,13081
54,20522,13082
55,20522,13083
56,20522,13085
57,20522,13086
58,20522,13087
59,20522,13088
60,20522,13089
61,20522,13090
62,20522,13091
63,20522,13092
64,20522,13093
65,20522,13094
66,20522,13095
67,20523,13037
68,20523,13038
69,20523,13039
70,20523,13040
71,20523,13041
72,20523,13042
73,20523,13043
74,20523,13044
75,20523,13045
76,20523,13046
77,20523,13047
78,20523,13048
79,20523,13049
80,20523,13050
81,20523,13080
82,20523,13081
83,20523,13082
84,20523,13083
85,20523,13084
86,20523,13085
87,20523,13086
88,20523,13087
89,20523,13088
90,20523,13089
91,20523,13090
92,20523,13091
93,20523,13092
94,20523,13093
95,20523,13094
96,20523,13095
97,20524,13037
98,20524,13038
99,20524,13039
100,20524,13040
101,20524,13041
102,20524,13042
103,20524,13043
104,20524,13044
105,20524,13045
106,20524,13046
107,20524,13047
108,20524,13048
109,20524,13049
110,20524,13050
111,20524,13051
112,20524,13052
113,20524,13079
114,20524,13080
115,20524,13081
116,20524,13082
117,20524,13083
118,20524,13084
119,20524,13085
120,20524,13086
121,20524,13087
122,20524,13088
123,20524,13089
124,20524,13090
125,20524,13091
126,20524,13092
127,20524,13093
128,20524,13094
129,20524,13095
130,20525,13037
131,20525,13038
132,20525,13039
133,20525,13040
134,20525,13041
135,20525,13042
136,20525,13043
137,20525,13044
138,20525,13045
139,20525,13046
140,20525,13047
141,20525,13048
142,20525,13049
143,20525,13050
144,20525,13051
145,20525,13052
146,20525,13078
147,20525,13079
148,20525,13080
149,20525,13081
150,20525,13082
151,20525,13083
152,20525,13084
153,20525,13085
154,20525,13086
155,20525,13087
156,20525,13088
157,20525,13089
158,20525,13090
159,20525,13091
160,20525,13092
161,20525,13093
162,20525,13094
163,20525,13095
164,20526,13028
165,20526,13029
166,20526,13037
167,20526,13038
168,20526,13039
169,20526,13040
170,20526,13041
171,20526,13042
172,20526,13043
173,20526,13044
174,20526,13045
175,20526,13046
176,20526,13047
177,20526,13048
178,20526,13049
179,20526,13050
180,20526,13051
181,20526,13077
182,20526,13078
183,20526,13079
184,20526,13080
185,20526,13081
186,20526,13082
187,20526,13083
188,20526,13084
189,20526,13085
190,20526,13086
191,20526,13087
192,20526,13088
193,20526,13089
194,20526,13090
195,20526,13091
196,20526,13092
197,20526,13093
198,20526,13094
199,20526,13095
200,20526,13096
201,20526,13097
202,20527,13025
203,20527,13026
204,20527,13027
205,20527,13028
206,20527,13029
207,20527,13030
208,20527,13031
209,20527,13032
210,20527,13033
211,20527,13034
212,20527,13035
213,20527,13036
214,20527,13037
215,20527,13038
216,20527,13039
217,20527,13040
218,20527,13041
219,20527,13042
220,20527,13043
221,20527,13044
222,20527,13045
223,20527,13046
224,20527,13047
225,20527,13048
226,20527,13049
227,20527,13050
228,20527,13051
229,20527,13076
230,20527,13077
231,20527,13078
232,20527,13079
233,20527,13080
234,20527,13081
235,20527,13082
236,20527,13083
237,20527,13084
238,20527,13085
239,20527,13086
240,20527,13087
241,20527,13088
242,20527,13089
243,20527,13090
244,20527,13091
245,20527,13092
246,20527,13093
247,20527,13094
248,20527,13095
249,20527,13096
250,20527,13097
251,20527,13098
252,20528,13023
253,20528,13024
254,20528,13025
255,20528,13026
256,20528,13027
257,20528,13028
258,20528,13029
259,20528,13030
260,20528,13031
261,20528,13032
262,20528,13033
263,20528,13034
264,20528,13035
265,20528,13036
266,20528,13037
267,20528,13038
268,20528,13039
269,20528,13040
270,20528,13041
271,20528,13042
272,20528,13043
273,20528,13044
274,20528,13045
275,20528,13046
276,20528,13047
277,20528,13048
278,20528,13049
279,20528,13050
280,20528,13051
281,20528,13076
282,20528,13077
283,20528,13078
284,20528,13079
285,20528,13080
286,20528,13081
287,20528,13082
288,20528,13083
289,20528,13084
290,20528,13085
291,20528,13086
292,20528,13087
293,20528,13088
294,20528,13089
295,20528,13090
296,20528,13091
297,20528,13092
298,20528,13093
299,20528,13094
300,20528,13095
301,20528,13096
302,20528,13097
303,20528,13098
304,20528,13099
305,20528,13100
306,20529,13024
307,20529,13025
308,20529,13026
309,20529,13027
310,20529,13028
311,20529,13029
312,20529,13030
313,20529,13031
314,20529,13032
315,20529,13033
316,20529,13034
317,20529,13035
318,20529,13036
319,20529,13037
320,20529,13038
321,20529,13039
322,20529,13040
323,20529,13041
324,20529,13042
325,20529,13043
326,20529,13044
327,20529,13045
328,20529,13046
329,20529,13047
330,20529,13048
331,20529,13049
332,20529,13050
333,20529,13051
334,20529,13052
335,20529,13075
336,20529,13076
337,20529,13077
338,20529,13078
339,20529,13079
340,20529,13080
