,X,Y
0,20722,13301
1,20722,13302
2,20723,13300
3,20723,13301
4,20723,13302
5,20723,13303
6,20724,13300
7,20724,13301
8,20724,13302
9,20724,13303
10,20724,13304
11,20724,13305
12,20724,13369
13,20724,13370
14,20724,13371
15,20724,13372
16,20724,13373
17,20724,13374
18,20724,13375
19,20724,13376
20,20724,13377
21,20724,13378
22,20724,13379
23,20724,13380
24,20724,13381
25,20724,13382
26,20724,13383
27,20724,13384
28,20724,13385
29,20724,13386
30,20724,13387
31,20724,13388
32,20724,13389
33,20724,13390
34,20724,13391
35,20724,13392
36,20724,13393
37,20724,13394
38,20724,13395
39,20724,13396
40,20724,13397
41,20724,13398
42,20724,13399
43,20724,13400
44,20724,13401
45,20724,13402
46,20724,13403
47,20724,13404
48,20724,13405
49,20724,13406
50,20724,13407
51,20724,13408
52,20724,13409
53,20724,13410
54,20724,13411
55,20724,13412
56,20724,13413
57,20725,13299
58,20725,13300
59,20725,13301
60,20725,13302
61,20725,13303
62,20725,13304
63,20725,13305
64,20725,13367
65,20725,13368
66,20725,13369
67,20725,13370
68,20725,13371
69,20725,13372
70,20725,13373
71,20725,13374
72,20725,13375
73,20725,13376
74,20725,13377
75,20725,13378
76,20725,13379
77,20725,13380
78,20725,13381
79,20725,13382
80,20725,13383
81,20725,13384
82,20725,13385
83,20725,13386
84,20725,13387
85,20725,13388
86,20725,13389
87,20725,13390
88,20725,13391
89,20725,13392
90,20725,13393
91,20725,13394
92,20725,13395
93,20725,13396
94,20725,13397
95,20725,13398
96,20725,13399
97,20725,13400
98,20725,13401
99,20725,13402
100,20725,13403
101,20725,13404
102,20725,13405
103,20725,13406
104,20725,13407
105,20725,13408
106,20725,13409
107,20725,13410
108,20725,13411
109,20725,13412
110,20725,13413
111,20726,13299
112,20726,13300
113,20726,13301
114,20726,13302
115,20726,13303
116,20726,13304
117,20726,13305
118,20726,13306
119,20726,13307
120,20726,13309
121,20726,13310
122,20726,13364
123,20726,13365
124,20726,13366
125,20726,13367
126,20726,13368
127,20726,13369
