,X,Y
0,20924,13416
1,20924,13417
2,20924,13418
3,20925,13416
4,20925,13417
5,20925,13418
6,20926,13415
7,20926,13416
8,20926,13417
9,20926,13418
10,20926,13419
11,20927,13415
12,20927,13416
13,20927,13417
14,20927,13418
15,20927,13419
16,20927,13420
17,20928,13414
18,20928,13415
19,20928,13416
20,20928,13417
21,20928,13418
22,20928,13419
23,20928,13420
24,20928,13421
25,20929,13414
26,20929,13415
27,20929,13416
28,20929,13417
29,20929,13418
30,20929,13419
31,20929,13420
32,20930,13391
33,20930,13392
34,20930,13393
35,20930,13405
36,20930,13406
37,20930,13413
38,20930,13414
39,20930,13415
40,20930,13416
41,20930,13417
42,20930,13418
43,20930,13419
44,20930,13420
45,20930,13421
46,20930,13422
47,20930,13423
48,20930,13424
49,20930,13425
50,20930,13426
51,20931,13391
52,20931,13392
53,20931,13393
54,20931,13394
55,20931,13395
56,20931,13404
57,20931,13405
58,20931,13406
59,20931,13407
60,20931,13408
61,20931,13409
62,20931,13410
63,20931,13413
64,20931,13414
65,20931,13415
66,20931,13416
67,20931,13417
68,20931,13418
69,20931,13419
70,20931,13420
71,20931,13421
72,20931,13422
73,20931,13423
74,20931,13424
75,20931,13425
76,20931,13426
77,20932,13390
78,20932,13391
79,20932,13392
80,20932,13393
81,20932,13394
82,20932,13395
83,20932,13396
84,20932,13397
85,20932,13403
86,20932,13404
87,20932,13405
88,20932,13406
89,20932,13407
90,20932,13408
91,20932,13409
92,20932,13410
93,20932,13411
94,20932,13412
95,20932,13413
96,20932,13414
97,20932,13415
98,20932,13416
99,20932,13417
100,20932,13418
101,20932,13419
102,20932,13420
103,20932,13421
104,20932,13422
105,20932,13423
106,20932,13424
107,20932,13425
108,20932,13426
109,20933,13389
110,20933,13390
111,20933,13391
112,20933,13392
113,20933,13393
114,20933,13394
115,20933,13395
116,20933,13396
117,20933,13397
118,20933,13398
119,20933,13399
120,20933,13401
121,20933,13402
122,20933,13403
123,20933,13404
124,20933,13405
125,20933,13406
126,20933,13407
127,20933,13408
128,20933,13409
129,20933,13410
130,20933,13411
131,20933,13412
132,20933,13413
133,20933,13414
134,20933,13415
135,20933,13416
136,20933,13417
137,20933,13418
138,20933,13419
139,20933,13420
140,20933,13421
141,20933,13422
142,20933,13423
143,20933,13424
144,20933,13425
145,20933,13426
146,20934,13388
147,20934,13389
148,20934,13390
149,20934,13391
150,20934,13392
151,20934,13393
152,20934,13394
153,20934,13395
154,20934,13396
155,20934,13397
156,20934,13398
157,20934,13399
158,20934,13400
159,20934,13401
160,20934,13402
161,20934,13403
162,20934,13404
163,20934,13405
164,20934,13406
165,20934,13407
166,20934,13408
167,20934,13409
168,20934,13410
169,20934,13411
170,20934,13412
171,20934,13413
172,20934,13414
173,20934,13415
174,20934,13416
175,20934,13417
176,20934,13418
177,20934,13419
178,20934,13420
179,20934,13421
180,20934,13422
181,20934,13423
182,20934,13424
183,20934,13425
184,20934,13426
185,20935,13388
186,20935,13389
187,20935,13390
188,20935,13391
189,20935,13392
190,20935,13393
191,20935,13394
192,20935,13395
193,20935,13396
194,20935,13397
195,20935,13398
196,20935,13399
197,20935,13400
198,20935,13401
199,20935,13402
200,20935,13403
201,20935,13404
202,20935,13405
203,20935,13406
204,20935,13407
205,20935,13408
206,20935,13409
207,20935,13410
208,20935,13411
209,20935,13412
210,20935,13413
211,20935,13414
212,20935,13415
213,20935,13416
214,20935,13417
215,20935,13418
216,20935,13419
217,20935,13420
218,20935,13421
219,20935,13422
220,20935,13423
221,20935,13424
222,20935,13425
223,20935,13426
224,20935,13427
225,20936,13389
226,20936,13390
227,20936,13391
228,20936,13392
229,20936,13393
230,20936,13394
231,20936,13395
232,20936,13396
233,20936,13397
234,20936,13398
235,20936,13399
236,20936,13400
237,20936,13401
238,20936,13402
239,20936,13403
240,20936,13404
241,20936,13405
242,20936,13406
243,20936,13407
244,20936,13408
245,20936,13409
246,20936,13410
247,20936,13411
248,20936,13412
249,20936,13413
250,20936,13414
251,20936,13415
252,20936,13416
253,20936,13417
254,20936,13418
255,20936,13419
256,20936,13420
257,20936,13421
258,20936,13422
259,20936,13423
260,20936,13424
261,20936,13425
262,20936,13426
263,20936,13427
264,20937,13389
265,20937,13390
266,20937,13391
267,20937,13392
268,20937,13393
269,20937,13394
270,20937,13395
271,20937,13396
272,20937,13397
273,20937,13398
274,20937,13399
275,20937,13400
276,20937,13401
277,20937,13402
278,20937,13403
279,20937,13404
280,20937,13405
281,20937,13406
282,20937,13407
283,20937,13408
284,20937,13409
285,20937,13410
286,20937,13411
287,20937,13412
288,20937,13413
289,20937,13414
290,20937,13415
291,20937,13416
292,20937,13417
293,20937,13418
294,20937,13419
295,20937,13420
296,20937,13421
297,20937,13422
298,20937,13423
299,20937,13424
300,20937,13425
301,20937,13426
302,20937,13427
303,20938,13388
304,20938,13389
305,20938,13390
306,20938,13391
307,20938,13392
308,20938,13393
309,20938,13394
310,20938,13395
311,20938,13396
312,20938,13397
313,20938,13398
314,20938,13399
315,20938,13400
316,20938,13401
317,20938,13402
318,20938,13403
319,20938,13404
320,20938,13405
321,20938,13406
322,20938,13407
323,20938,13408
324,20938,13409
325,20938,13410
326,20938,13411
327,20938,13412
328,20938,13413
329,20938,13414
330,20938,13415
331,20938,13416
332,20938,13417
333,20938,13418
334,20938,13419
335,20938,13420
336,20938,13421
337,20938,13422
338,20938,13423
339,20938,13424
340,20938,13425
341,20938,13426
342,20938,13427
343,20938,13428
344,20939,13388
345,20939,13389
346,20939,13390
347,20939,13391
348,20939,13392
349,20939,13393
350,20939,13394
351,20939,13395
352,20939,13396
353,20939,13397
354,20939,13398
355,20939,13399
356,20939,13400
357,20939,13401
358,20939,13402
359,20939,13403
360,20939,13404
361,20939,13405
362,20939,13406
363,20939,13407
364,20939,13408
365,20939,13409
366,20939,13410
367,20939,13411
368,20939,13412
369,20939,13413
370,20939,13414
371,20939,13415
372,20939,13416
373,20939,13417
374,20939,13418
375,20939,13419
376,20939,13420
377,20939,13421
378,20939,13422
379,20939,13423
380,20939,13424
381,20939,13425
382,20939,13426
383,20939,13427
384,20939,13428
385,20939,13429
386,20940,13387
387,20940,13388
388,20940,13389
389,20940,13390
390,20940,13391
391,20940,13392
392,20940,13393
393,20940,13394
394,20940,13395
395,20940,13396
396,20940,13397
397,20940,13398
398,20940,13399
399,20940,13400
400,20940,13401
401,20940,13402
402,20940,13403
403,20940,13404
404,20940,13405
405,20940,13406
406,20940,13407
407,20940,13408
408,20940,13409
409,20940,13410
410,20940,13411
411,20940,13412
412,20940,13413
413,20940,13414
414,20940,13415
415,20940,13416
416,20940,13417
417,20940,13418
418,20940,13419
419,20940,13420
420,20940,13421
421,20940,13422
422,20940,13423
423,20940,13424
424,20940,13425
425,20940,13426
426,20940,13427
427,20940,13428
428,20940,13429
429,20940,13430
430,20940,13431
431,20941,13387
432,20941,13388
433,20941,13389
434,20941,13390
435,20941,13391
436,20941,13392
437,20941,13393
438,20941,13394
439,20941,13395
440,20941,13396
441,20941,13397
442,20941,13398
443,20941,13399
444,20941,13400
445,20941,13401
446,20941,13402
447,20941,13403
448,20941,13404
449,20941,13405
450,20941,13406
451,20941,13407
452,20941,13408
453,20941,13409
454,20941,13410
455,20941,13411
456,20941,13412
457,20941,13413
458,20941,13414
459,20941,13415
460,20941,13416
461,20941,13417
462,20941,13418
463,20941,13419
464,20941,13420
465,20941,13421
466,20941,13422
467,20941,13423
468,20941,13424
469,20941,13425
470,20941,13426
471,20941,13427
472,20941,13428
473,20941,13429
474,20941,13430
475,20941,13431
476,20942,13386
477,20942,13387
478,20942,13388
479,20942,13389
480,20942,13390
481,20942,13391
482,20942,13392
483,20942,13393
484,20942,13394
485,20942,13395
486,20942,13396
487,20942,13397
488,20942,13398
489,20942,13399
490,20942,13400
491,20942,13401
492,20942,13402
493,20942,13403
494,20942,13404
495,20942,13405
496,20942,13406
497,20942,13407
498,20942,13408
499,20942,13409
500,20942,13410
501,20942,13411
502,20942,13412
503,20942,13413
504,20942,13414
505,20942,13415
506,20942,13416
507,20942,13417
508,20942,13418
509,20942,13419
510,20942,13420
511,20942,13421
512,20942,13422
513,20942,13423
514,20942,13424
515,20942,13425
516,20942,13426
517,20942,13427
518,20942,13428
519,20942,13429
520,20942,13430
521,20942,13431
522,20943,13386
523,20943,13387
524,20943,13388
525,20943,13389
526,20943,13390
527,20943,13391
528,20943,13392
529,20943,13393
530,20943,13394
531,20943,13395
532,20943,13396
533,20943,13397
534,20943,13398
535,20943,13399
536,20943,13400
537,20943,13401
538,20943,13402
539,20943,13403
540,20943,13404
541,20943,13405
542,20943,13406
543,20943,13407
544,20943,13408
545,20943,13409
546,20943,13410
547,20943,13411
548,20943,13412
549,20943,13413
550,20943,13414
551,20943,13415
552,20943,13416
553,20943,13417
554,20943,13418
555,20943,13419
556,20943,13420
557,20943,13421
558,20943,13422
559,20943,13423
560,20943,13424
561,20943,13425
562,20943,13426
563,20943,13427
564,20943,13428
565,20943,13429
566,20943,13430
567,20944,13386
568,20944,13387
569,20944,13388
570,20944,13389
571,20944,13390
572,20944,13391
573,20944,13392
574,20944,13393
575,20944,13394
576,20944,13395
577,20944,13396
578,20944,13397
579,20944,13398
580,20944,13399
581,20944,13400
582,20944,13401
583,20944,13402
584,20944,13403
585,20944,13404
586,20944,13405
587,20944,13406
588,20944,13407
589,20944,13408
590,20944,13409
591,20944,13410
592,20944,13411
593,20944,13412
594,20944,13413
595,20944,13414
596,20944,13415
597,20944,13416
598,20944,13417
599,20944,13418
600,20944,13419
601,20944,13420
602,20944,13421
603,20944,13422
604,20944,13423
605,20944,13424
606,20944,13425
607,20944,13426
608,20944,13427
609,20944,13428
610,20944,13429
611,20945,13386
612,20945,13387
613,20945,13388
614,20945,13389
615,20945,13390
616,20945,13391
617,20945,13392
618,20945,13393
619,20945,13394
620,20945,13395
621,20945,13396
622,20945,13397
623,20945,13398
624,20945,13399
625,20945,13400
626,20945,13401
627,20945,13402
628,20945,13403
629,20945,13404
630,20945,13405
631,20945,13406
632,20945,13407
633,20945,13408
634,20945,13409
635,20945,13410
636,20945,13411
637,20945,13412
638,20945,13413
639,20945,13414
640,20945,13415
641,20945,13416
642,20945,13417
643,20945,13418
644,20945,13419
645,20945,13420
646,20945,13421
647,20945,13422
648,20945,13423
649,20945,13424
650,20945,13425
651,20945,13426
652,20945,13427
653,20945,13428
654,20946,13386
655,20946,13387
656,20946,13388
657,20946,13389
658,20946,13390
659,20946,13391
660,20946,13392
661,20946,13393
662,20946,13394
663,20946,13395
664,20946,13396
665,20946,13397
666,20946,13398
667,20946,13399
668,20946,13400
669,20946,13401
670,20946,13402
671,20946,13403
672,20946,13404
673,20946,13405
674,20946,13406
675,20946,13407
676,20946,13408
677,20946,13409
678,20946,13410
679,20946,13411
680,20946,13412
681,20946,13413
682,20946,13414
683,20946,13415
684,20946,13416
685,20946,13417
686,20946,13418
687,20946,13419
688,20946,13420
689,20946,13421
690,20946,13422
691,20946,13423
692,20946,13424
693,20946,13425
694,20946,13426
695,20946,13427
696,20947,13386
697,20947,13387
698,20947,13388
699,20947,13389
700,20947,13390
701,20947,13391
702,20947,13392
703,20947,13393
704,20947,13394
705,20947,13395
706,20947,13396
707,20947,13397
708,20947,13398
709,20947,13399
710,20947,13400
711,20947,13401
712,20947,13402
713,20947,13403
714,20947,13404
715,20947,13405
716,20947,13406
717,20947,13407
718,20947,13408
719,20947,13409
720,20947,13410
721,20947,13411
722,20947,13412
723,20947,13413
724,20947,13414
725,20947,13415
726,20947,13416
727,20947,13417
728,20947,13418
729,20947,13419
730,20947,13420
731,20947,13421
732,20947,13422
733,20947,13423
734,20947,13424
735,20947,13425
736,20947,13426
737,20948,13386
738,20948,13387
739,20948,13388
740,20948,13389
741,20948,13390
742,20948,13391
743,20948,13392
744,20948,13393
745,20948,13394
746,20948,13395
747,20948,13396
748,20948,13397
749,20948,13398
750,20948,13399
751,20948,13400
752,20948,13401
753,20948,13402
754,20948,13403
755,20948,13404
756,20948,13405
757,20948,13406
758,20948,13407
759,20948,13408
760,20948,13409
761,20948,13410
762,20948,13411
763,20948,13412
764,20948,13413
765,20948,13414
766,20948,13415
767,20948,13416
768,20948,13417
769,20948,13418
770,20948,13419
771,20948,13420
772,20948,13421
773,20948,13422
774,20948,13423
775,20948,13424
776,20948,13425
777,20949,13386
778,20949,13387
779,20949,13388
780,20949,13389
781,20949,13390
782,20949,13391
783,20949,13392
784,20949,13393
785,20949,13394
786,20949,13395
787,20949,13396
788,20949,13397
789,20949,13398
790,20949,13399
791,20949,13400
792,20949,13401
793,20949,13402
794,20949,13403
795,20949,13404
796,20949,13405
797,20949,13406
798,20949,13407
799,20949,13408
800,20949,13409
801,20949,13410
802,20949,13411
803,20949,13412
804,20949,13413
805,20949,13414
806,20949,13415
807,20949,13416
808,20949,13417
809,20949,13418
810,20949,13419
811,20949,13420
812,20949,13421
813,20949,13422
814,20949,13423
815,20949,13424
816,20950,13385
817,20950,13386
818,20950,13387
819,20950,13388
820,20950,13389
821,20950,13390
822,20950,13391
823,20950,13392
824,20950,13393
825,20950,13394
826,20950,13395
827,20950,13396
828,20950,13397
829,20950,13398
830,20950,13399
831,20950,13400
832,20950,13401
833,20950,13402
834,20950,13403
835,20950,13404
836,20950,13405
837,20950,13406
838,20950,13407
839,20950,13408
840,20950,13409
841,20950,13410
842,20950,13411
843,20950,13412
844,20950,13413
845,20950,13414
846,20950,13415
847,20950,13416
848,20950,13417
849,20950,13418
850,20950,13419
851,20950,13420
852,20950,13421
853,20950,13422
854,20950,13423
855,20951,13384
856,20951,13385
857,20951,13386
858,20951,13387
859,20951,13388
860,20951,13389
861,20951,13390
862,20951,13391
863,20951,13392
864,20951,13393
865,20951,13394
866,20951,13395
867,20951,13396
868,20951,13397
869,20951,13398
870,20951,13399
871,20951,13400
872,20951,13401
873,20951,13402
874,20951,13403
875,20951,13404
876,20951,13405
877,20951,13406
878,20951,13407
879,20951,13408
880,20951,13409
881,20951,13410
882,20951,13411
883,20951,13412
884,20951,13413
885,20951,13414
886,20951,13415
887,20951,13416
888,20951,13417
889,20951,13418
890,20951,13419
891,20951,13420
892,20951,13421
893,20951,13422
894,20952,13384
895,20952,13385
896,20952,13386
897,20952,13387
898,20952,13388
899,20952,13389
900,20952,13390
901,20952,13391
902,20952,13392
903,20952,13393
904,20952,13394
905,20952,13395
906,20952,13396
907,20952,13397
908,20952,13398
909,20952,13399
910,20952,13400
911,20952,13401
912,20952,13402
913,20952,13403
914,20952,13404
915,20952,13405
916,20952,13406
917,20952,13407
918,20952,13408
919,20952,13409
920,20952,13410
921,20952,13411
922,20952,13412
923,20952,13413
924,20952,13414
925,20952,13415
926,20952,13416
927,20952,13417
928,20952,13418
929,20952,13419
930,20952,13420
931,20952,13421
932,20952,13422
933,20953,13383
934,20953,13384
935,20953,13385
936,20953,13386
937,20953,13387
938,20953,13388
939,20953,13389
940,20953,13390
941,20953,13391
942,20953,13392
943,20953,13393
944,20953,13394
945,20953,13395
