,X,Y
0,20839,13045
1,20839,13046
2,20839,13047
3,20840,13044
4,20840,13045
5,20840,13046
6,20840,13047
7,20840,13094
8,20840,13095
9,20840,13096
10,20840,13097
11,20840,13098
12,20840,13099
13,20840,13100
14,20841,13043
15,20841,13044
16,20841,13045
17,20841,13046
18,20841,13047
19,20841,13093
20,20841,13094
21,20841,13095
22,20841,13096
23,20841,13097
24,20841,13098
25,20841,13099
26,20841,13100
27,20841,13107
28,20842,13043
29,20842,13044
30,20842,13045
31,20842,13046
32,20842,13047
33,20842,13092
34,20842,13093
35,20842,13094
36,20842,13095
37,20842,13096
38,20842,13097
39,20842,13098
40,20842,13099
41,20842,13105
42,20842,13106
43,20842,13107
44,20842,13110
45,20842,13111
46,20842,13112
47,20842,13113
48,20843,13043
49,20843,13044
50,20843,13045
51,20843,13046
52,20843,13047
53,20843,13092
54,20843,13093
55,20843,13094
56,20843,13095
57,20843,13096
58,20843,13097
59,20843,13098
60,20843,13099
61,20843,13101
62,20843,13102
63,20843,13103
64,20843,13104
65,20843,13105
66,20843,13106
67,20843,13107
68,20843,13108
69,20843,13109
70,20843,13110
71,20843,13111
72,20843,13112
73,20843,13113
74,20844,13023
75,20844,13024
76,20844,13025
77,20844,13037
78,20844,13038
79,20844,13039
80,20844,13041
81,20844,13042
82,20844,13043
83,20844,13044
84,20844,13045
85,20844,13046
86,20844,13047
87,20844,13049
88,20844,13050
89,20844,13053
90,20844,13054
91,20844,13091
92,20844,13092
93,20844,13093
94,20844,13094
95,20844,13095
96,20844,13096
97,20844,13097
98,20844,13098
99,20844,13099
100,20844,13100
101,20844,13101
102,20844,13102
103,20844,13103
104,20844,13104
105,20844,13105
106,20844,13106
107,20844,13107
108,20844,13108
109,20844,13109
110,20844,13110
111,20844,13111
112,20844,13112
113,20844,13113
114,20844,13114
115,20844,13116
116,20844,13117
117,20844,13118
118,20845,13022
119,20845,13023
120,20845,13024
121,20845,13025
122,20845,13026
123,20845,13027
124,20845,13036
125,20845,13037
126,20845,13038
127,20845,13039
128,20845,13040
129,20845,13041
130,20845,13042
131,20845,13043
132,20845,13044
133,20845,13045
134,20845,13046
135,20845,13047
136,20845,13048
137,20845,13049
138,20845,13050
139,20845,13051
140,20845,13052
141,20845,13053
142,20845,13054
143,20845,13055
144,20845,13091
145,20845,13092
146,20845,13093
147,20845,13094
148,20845,13095
149,20845,13096
150,20845,13097
151,20845,13098
152,20845,13099
153,20845,13100
154,20845,13101
155,20845,13102
156,20845,13103
157,20845,13104
158,20845,13105
159,20845,13106
160,20845,13107
161,20845,13108
162,20845,13109
163,20845,13110
164,20845,13111
165,20845,13112
166,20845,13113
167,20845,13114
168,20845,13115
169,20845,13116
170,20845,13117
171,20845,13118
172,20845,13119
173,20845,13120
174,20845,13121
175,20845,13122
176,20845,13123
177,20846,13022
178,20846,13023
179,20846,13024
180,20846,13025
181,20846,13026
182,20846,13027
183,20846,13028
184,20846,13029
185,20846,13035
186,20846,13036
187,20846,13037
188,20846,13038
189,20846,13039
190,20846,13040
191,20846,13041
192,20846,13042
193,20846,13043
194,20846,13044
195,20846,13045
196,20846,13046
197,20846,13047
198,20846,13048
199,20846,13049
200,20846,13050
201,20846,13051
202,20846,13052
203,20846,13053
204,20846,13054
205,20846,13055
206,20846,13056
207,20846,13091
208,20846,13092
209,20846,13093
210,20846,13094
211,20846,13095
212,20846,13096
213,20846,13097
214,20846,13098
215,20846,13099
216,20846,13100
217,20846,13101
218,20846,13102
219,20846,13103
220,20846,13104
221,20846,13105
222,20846,13106
223,20846,13107
224,20846,13108
225,20846,13109
226,20846,13110
227,20846,13111
228,20846,13112
229,20846,13113
230,20846,13114
231,20846,13115
232,20846,13116
233,20846,13117
234,20846,13118
235,20846,13119
236,20846,13120
237,20846,13121
238,20846,13122
239,20846,13123
