,X,Y
0,41779,26458
1,41779,26459
2,41779,26460
3,41779,26461
4,41779,26462
5,41779,26463
6,41780,26458
7,41780,26459
8,41780,26460
9,41780,26461
10,41780,26462
11,41780,26463
12,41780,26464
13,41781,26457
14,41781,26458
15,41781,26459
16,41781,26460
17,41781,26461
18,41781,26462
19,41781,26463
20,41781,26464
21,41781,26465
22,41782,26456
23,41782,26457
24,41782,26458
25,41782,26459
26,41782,26460
27,41782,26461
28,41782,26462
29,41782,26463
30,41782,26464
31,41782,26465
32,41782,26466
33,41782,26467
34,41783,26456
35,41783,26457
36,41783,26458
37,41783,26459
38,41783,26460
39,41783,26461
40,41783,26462
41,41783,26463
42,41783,26464
43,41783,26465
44,41783,26466
45,41783,26467
46,41783,26468
47,41784,26456
48,41784,26457
49,41784,26458
50,41784,26459
51,41784,26460
52,41784,26461
53,41784,26462
54,41784,26463
55,41784,26464
56,41784,26465
57,41784,26466
58,41784,26467
59,41784,26468
60,41784,26469
61,41785,26455
62,41785,26456
63,41785,26457
64,41785,26458
65,41785,26459
66,41785,26460
67,41785,26461
68,41785,26462
69,41785,26463
70,41785,26464
71,41785,26465
72,41785,26466
73,41785,26467
74,41785,26468
75,41785,26469
76,41785,26470
77,41786,26455
78,41786,26456
79,41786,26457
80,41786,26458
81,41786,26459
82,41786,26460
83,41786,26461
84,41786,26462
85,41786,26463
86,41786,26464
87,41786,26465
88,41786,26466
89,41786,26467
90,41786,26468
91,41786,26469
92,41786,26470
93,41786,26471
94,41787,26455
95,41787,26456
96,41787,26457
97,41787,26458
98,41787,26459
99,41787,26460
100,41787,26461
101,41787,26462
102,41787,26463
103,41787,26464
104,41787,26465
105,41787,26466
106,41787,26467
107,41787,26468
108,41787,26469
109,41787,26470
110,41787,26471
111,41787,26472
112,41788,26455
113,41788,26456
114,41788,26457
115,41788,26458
116,41788,26459
117,41788,26460
118,41788,26461
119,41788,26462
120,41788,26463
121,41788,26464
122,41788,26465
123,41788,26466
124,41788,26467
125,41788,26468
126,41788,26469
127,41788,26470
128,41788,26471
129,41788,26472
130,41788,26473
131,41789,26455
132,41789,26456
133,41789,26457
134,41789,26458
135,41789,26459
136,41789,26460
137,41789,26461
138,41789,26462
139,41789,26463
140,41789,26464
141,41789,26465
142,41789,26466
143,41789,26467
144,41789,26468
145,41789,26469
146,41789,26470
147,41789,26471
148,41789,26472
149,41789,26473
150,41789,26474
151,41789,26475
152,41790,26455
153,41790,26456
154,41790,26457
155,41790,26458
156,41790,26459
157,41790,26460
158,41790,26461
159,41790,26462
160,41790,26463
161,41790,26464
162,41790,26465
163,41790,26466
164,41790,26467
165,41790,26468
166,41790,26469
167,41790,26470
168,41790,26471
169,41790,26472
170,41790,26473
171,41790,26474
172,41790,26475
173,41790,26476
174,41791,26454
175,41791,26455
176,41791,26456
177,41791,26457
178,41791,26458
179,41791,26459
180,41791,26460
181,41791,26461
182,41791,26462
183,41791,26463
184,41791,26464
185,41791,26465
186,41791,26466
187,41791,26467
188,41791,26468
189,41791,26469
190,41791,26470
191,41791,26471
192,41791,26472
193,41791,26473
194,41791,26474
195,41791,26475
196,41791,26476
197,41791,26477
198,41792,26454
199,41792,26455
200,41792,26456
201,41792,26457
202,41792,26458
203,41792,26459
204,41792,26460
205,41792,26461
206,41792,26462
207,41792,26463
208,41792,26464
209,41792,26465
210,41792,26466
211,41792,26467
212,41792,26468
213,41792,26469
214,41792,26470
215,41792,26471
216,41792,26472
217,41792,26473
218,41792,26474
219,41792,26475
220,41792,26476
221,41792,26477
222,41792,26478
223,41792,26479
224,41793,26447
225,41793,26448
