,X,Y
0,41355,25555
1,41355,25556
2,41356,25555
3,41356,25556
4,41356,25557
5,41356,25558
6,41357,25555
7,41357,25556
8,41357,25557
9,41357,25558
10,41357,25559
11,41358,25555
12,41358,25556
13,41358,25557
14,41358,25558
15,41358,25559
16,41358,25560
17,41359,25554
18,41359,25555
19,41359,25556
20,41359,25557
21,41359,25558
22,41359,25559
23,41359,25560
24,41359,25561
25,41359,25562
26,41360,25553
27,41360,25554
28,41360,25555
29,41360,25556
30,41360,25557
31,41360,25558
32,41360,25559
33,41360,25560
34,41360,25561
35,41360,25562
36,41360,25563
37,41360,25564
38,41360,25565
39,41360,25566
40,41361,25551
41,41361,25552
42,41361,25553
43,41361,25554
44,41361,25555
45,41361,25556
46,41361,25557
47,41361,25558
48,41361,25559
49,41361,25560
50,41361,25561
51,41361,25562
52,41361,25563
53,41361,25564
54,41361,25565
55,41361,25566
56,41361,25567
57,41361,25568
58,41362,25550
59,41362,25551
60,41362,25552
61,41362,25553
62,41362,25554
63,41362,25555
64,41362,25556
65,41362,25557
66,41362,25558
67,41362,25559
68,41362,25560
69,41362,25561
70,41362,25562
71,41362,25563
72,41362,25564
73,41362,25565
74,41362,25566
75,41362,25567
76,41362,25568
77,41362,25569
78,41363,25549
79,41363,25550
80,41363,25551
81,41363,25552
82,41363,25553
83,41363,25554
84,41363,25555
85,41363,25556
86,41363,25557
87,41363,25558
88,41363,25559
89,41363,25560
90,41363,25561
91,41363,25562
92,41363,25563
93,41363,25564
94,41363,25565
95,41363,25566
96,41363,25567
97,41363,25568
98,41363,25569
99,41363,25570
100,41364,25548
101,41364,25549
102,41364,25550
103,41364,25551
104,41364,25552
105,41364,25553
106,41364,25554
107,41364,25555
108,41364,25556
109,41364,25557
110,41364,25558
111,41364,25559
112,41364,25560
113,41364,25561
114,41364,25562
115,41364,25563
116,41364,25564
117,41364,25565
118,41364,25566
119,41364,25567
120,41364,25568
121,41364,25569
122,41364,25570
123,41365,25547
124,41365,25548
125,41365,25549
126,41365,25550
127,41365,25551
128,41365,25552
129,41365,25553
130,41365,25554
131,41365,25555
132,41365,25556
133,41365,25557
134,41365,25558
135,41365,25559
136,41365,25560
137,41365,25561
138,41365,25562
139,41365,25563
140,41365,25564
141,41365,25565
142,41365,25566
143,41365,25567
144,41365,25568
145,41365,25569
146,41365,25570
147,41365,25571
148,41366,25546
149,41366,25547
150,41366,25548
151,41366,25549
152,41366,25550
153,41366,25551
154,41366,25552
155,41366,25553
156,41366,25554
157,41366,25555
158,41366,25556
159,41366,25557
160,41366,25558
161,41366,25559
162,41366,25560
163,41366,25561
164,41366,25562
165,41366,25563
166,41366,25564
167,41366,25565
