,X,Y
0,83868,51660
1,83868,51661
2,83868,51662
3,83869,51659
4,83869,51660
5,83869,51661
6,83869,51662
7,83870,51658
8,83870,51659
9,83870,51660
10,83870,51661
11,83870,51662
12,83871,51657
13,83871,51658
14,83871,51659
15,83871,51660
16,83871,51661
17,83871,51662
18,83872,51657
19,83872,51658
20,83872,51659
21,83872,51660
22,83872,51661
23,83872,51662
24,83873,51656
25,83873,51657
26,83873,51658
27,83873,51659
28,83873,51660
29,83873,51661
30,83873,51662
31,83874,51655
32,83874,51656
33,83874,51657
34,83874,51658
35,83874,51659
36,83874,51660
37,83874,51661
38,83874,51662
39,83874,51663
40,83875,51641
41,83875,51642
42,83875,51643
43,83875,51644
44,83875,51645
45,83875,51646
46,83875,51647
47,83875,51648
48,83875,51649
49,83875,51650
50,83875,51651
51,83875,51653
52,83875,51654
53,83875,51655
54,83875,51656
55,83875,51657
56,83875,51658
57,83875,51659
58,83875,51660
59,83875,51661
60,83875,51662
61,83875,51663
62,83876,51640
63,83876,51641
64,83876,51642
65,83876,51643
66,83876,51644
67,83876,51645
68,83876,51646
69,83876,51647
70,83876,51648
71,83876,51649
72,83876,51650
73,83876,51651
74,83876,51652
75,83876,51653
76,83876,51654
77,83876,51655
78,83876,51656
79,83876,51657
80,83876,51658
81,83876,51659
82,83876,51660
83,83876,51661
84,83876,51662
85,83876,51663
86,83877,51638
87,83877,51639
88,83877,51640
89,83877,51641
90,83877,51642
91,83877,51643
92,83877,51644
93,83877,51645
94,83877,51646
95,83877,51647
96,83877,51648
97,83877,51649
98,83877,51650
99,83877,51651
100,83877,51652
101,83877,51653
102,83877,51654
103,83877,51655
104,83877,51656
105,83877,51657
106,83877,51658
107,83877,51659
108,83877,51660
109,83877,51661
110,83877,51662
111,83877,51663
112,83878,51637
113,83878,51638
114,83878,51639
115,83878,51640
116,83878,51641
117,83878,51642
118,83878,51643
119,83878,51644
120,83878,51645
121,83878,51646
122,83878,51647
123,83878,51648
124,83878,51649
125,83878,51650
126,83878,51651
