,X,Y
0,334,204
1,334,205
2,335,203
3,335,204
4,335,205
5,335,206
6,336,202
7,336,203
8,336,204
9,336,205
10,336,206
11,336,207
12,336,208
13,337,202
14,337,203
15,337,204
16,337,205
17,337,206
18,337,207
19,337,208
20,338,202
21,338,203
22,338,204
23,338,205
24,338,206
25,338,207
26,338,208
27,339,204
28,339,205
29,339,206
30,339,207
31,339,208
32,339,209
33,340,204
34,340,205
35,340,206
36,340,207
37,340,208
38,340,209
39,340,210
40,341,204
41,341,205
42,341,206
43,341,207
44,341,208
45,341,209
46,341,210
47,342,204
48,342,205
49,342,206
50,342,207
51,342,208
52,342,209
