,X,Y
0,20688,12600
1,20688,12601
2,20688,12602
3,20688,12603
4,20688,12604
5,20689,12600
6,20689,12601
7,20689,12602
8,20689,12603
9,20689,12604
10,20689,12605
11,20690,12599
12,20690,12600
13,20690,12601
14,20690,12602
15,20690,12603
16,20690,12604
17,20690,12605
18,20691,12599
19,20691,12600
20,20691,12601
21,20691,12602
22,20691,12603
23,20691,12604
24,20691,12605
25,20691,12606
26,20692,12598
27,20692,12599
28,20692,12600
29,20692,12601
30,20692,12602
31,20692,12603
32,20692,12604
33,20692,12605
34,20692,12606
35,20693,12597
36,20693,12598
37,20693,12599
38,20693,12600
39,20693,12601
40,20693,12602
41,20693,12603
42,20693,12604
43,20693,12605
44,20693,12606
45,20693,12607
46,20694,12596
47,20694,12597
48,20694,12598
49,20694,12599
50,20694,12600
51,20694,12601
52,20694,12602
53,20694,12603
54,20694,12604
55,20694,12605
56,20694,12606
57,20694,12607
58,20694,12608
59,20694,12609
60,20695,12471
61,20695,12472
62,20695,12473
63,20695,12474
64,20695,12594
65,20695,12595
66,20695,12596
67,20695,12597
68,20695,12598
69,20695,12599
70,20695,12600
71,20695,12601
72,20695,12602
73,20695,12603
74,20695,12604
75,20695,12605
76,20695,12606
77,20695,12607
78,20695,12608
79,20695,12609
80,20695,12610
81,20696,12469
82,20696,12470
83,20696,12471
84,20696,12472
85,20696,12473
86,20696,12474
87,20696,12475
88,20696,12476
89,20696,12593
90,20696,12594
91,20696,12595
92,20696,12596
93,20696,12597
94,20696,12598
95,20696,12599
96,20696,12600
97,20696,12601
98,20696,12602
99,20696,12603
100,20696,12604
101,20696,12605
102,20696,12606
103,20696,12607
104,20696,12608
105,20696,12609
106,20696,12610
107,20696,12611
108,20697,12468
109,20697,12469
110,20697,12470
111,20697,12471
112,20697,12472
113,20697,12473
114,20697,12474
115,20697,12475
116,20697,12476
117,20697,12477
118,20697,12478
119,20697,12592
120,20697,12593
121,20697,12594
122,20697,12595
123,20697,12596
124,20697,12597
125,20697,12598
126,20697,12599
127,20697,12600
128,20697,12601
129,20697,12602
130,20697,12603
131,20697,12604
132,20697,12605
133,20697,12606
134,20697,12607
135,20697,12608
136,20697,12609
137,20697,12610
138,20697,12611
139,20698,12468
140,20698,12469
141,20698,12470
142,20698,12471
143,20698,12472
144,20698,12473
145,20698,12474
146,20698,12475
147,20698,12476
148,20698,12477
149,20698,12478
150,20698,12479
151,20698,12480
152,20698,12592
153,20698,12593
154,20698,12594
155,20698,12595
156,20698,12596
157,20698,12597
158,20698,12598
159,20698,12599
160,20698,12600
161,20698,12601
162,20698,12602
163,20698,12603
164,20698,12604
165,20698,12605
166,20698,12606
167,20698,12607
168,20698,12608
169,20698,12609
170,20698,12610
171,20698,12611
172,20698,12612
173,20699,12468
174,20699,12469
175,20699,12470
176,20699,12471
177,20699,12472
178,20699,12473
179,20699,12474
180,20699,12475
181,20699,12476
182,20699,12477
183,20699,12478
184,20699,12479
185,20699,12480
186,20699,12481
187,20699,12591
188,20699,12592
189,20699,12593
190,20699,12594
191,20699,12595
192,20699,12596
193,20699,12597
194,20699,12598
195,20699,12599
196,20699,12600
197,20699,12601
198,20699,12602
199,20699,12603
200,20699,12604
201,20699,12605
202,20699,12606
203,20699,12607
204,20699,12608
205,20699,12609
206,20699,12610
207,20699,12611
208,20699,12612
209,20700,12468
210,20700,12469
211,20700,12470
212,20700,12471
213,20700,12472
214,20700,12473
215,20700,12474
216,20700,12475
217,20700,12476
218,20700,12477
219,20700,12478
220,20700,12479
221,20700,12480
222,20700,12481
223,20700,12482
224,20700,12552
225,20700,12553
226,20700,12554
227,20700,12555
228,20700,12589
229,20700,12590
230,20700,12591
231,20700,12592
232,20700,12593
233,20700,12594
234,20700,12595
235,20700,12596
236,20700,12597
237,20700,12598
238,20700,12599
239,20700,12600
240,20700,12601
241,20700,12602
242,20700,12603
243,20700,12604
244,20700,12605
245,20700,12606
246,20700,12607
247,20700,12608
248,20700,12609
249,20700,12610
250,20700,12611
251,20700,12612
252,20701,12467
253,20701,12468
254,20701,12469
255,20701,12470
256,20701,12471
257,20701,12472
258,20701,12473
259,20701,12474
260,20701,12475
261,20701,12476
262,20701,12477
263,20701,12478
264,20701,12479
265,20701,12480
266,20701,12481
267,20701,12482
268,20701,12483
269,20701,12484
270,20701,12485
271,20701,12486
272,20701,12551
273,20701,12552
274,20701,12553
275,20701,12554
276,20701,12555
277,20701,12556
278,20701,12557
279,20701,12558
280,20701,12587
281,20701,12588
282,20701,12589
283,20701,12590
284,20701,12591
285,20701,12592
286,20701,12593
287,20701,12594
288,20701,12595
289,20701,12596
290,20701,12597
291,20701,12598
292,20701,12599
293,20701,12600
294,20701,12601
295,20701,12602
296,20701,12603
297,20701,12604
298,20701,12605
299,20701,12606
300,20701,12607
301,20701,12608
302,20701,12609
303,20701,12610
304,20701,12611
305,20702,12466
306,20702,12467
307,20702,12468
308,20702,12469
309,20702,12470
310,20702,12471
311,20702,12472
312,20702,12473
313,20702,12474
314,20702,12475
315,20702,12476
316,20702,12477
317,20702,12478
318,20702,12479
319,20702,12480
320,20702,12481
321,20702,12482
322,20702,12483
323,20702,12484
324,20702,12485
325,20702,12486
326,20702,12549
327,20702,12550
328,20702,12551
329,20702,12552
330,20702,12553
331,20702,12554
332,20702,12555
333,20702,12556
334,20702,12557
335,20702,12558
336,20702,12586
337,20702,12587
338,20702,12588
339,20702,12589
340,20702,12590
341,20702,12591
342,20702,12592
343,20702,12593
344,20702,12594
345,20702,12595
346,20702,12596
347,20702,12597
348,20702,12598
349,20702,12599
350,20702,12600
351,20702,12601
352,20702,12602
353,20702,12603
354,20702,12604
355,20702,12605
356,20702,12606
357,20702,12607
358,20702,12608
359,20702,12609
360,20702,12610
361,20702,12611
362,20703,12466
363,20703,12467
364,20703,12468
365,20703,12469
366,20703,12470
367,20703,12471
368,20703,12472
369,20703,12473
370,20703,12474
371,20703,12475
372,20703,12476
373,20703,12477
374,20703,12478
375,20703,12479
376,20703,12480
377,20703,12481
378,20703,12482
379,20703,12483
380,20703,12484
381,20703,12485
382,20703,12486
383,20703,12548
384,20703,12549
385,20703,12550
386,20703,12551
387,20703,12552
388,20703,12553
389,20703,12554
390,20703,12555
391,20703,12556
392,20703,12557
393,20703,12558
394,20703,12559
395,20703,12584
396,20703,12585
397,20703,12586
398,20703,12587
399,20703,12588
400,20703,12589
401,20703,12590
402,20703,12591
403,20703,12592
404,20703,12593
405,20703,12594
406,20703,12595
407,20703,12596
408,20703,12597
409,20703,12598
410,20703,12599
411,20703,12600
412,20703,12601
413,20703,12602
414,20703,12603
415,20703,12604
416,20703,12605
417,20703,12606
418,20703,12607
419,20703,12608
420,20703,12609
421,20703,12610
422,20704,12466
423,20704,12467
424,20704,12468
425,20704,12469
426,20704,12470
427,20704,12471
428,20704,12472
429,20704,12473
430,20704,12474
431,20704,12475
432,20704,12476
433,20704,12477
434,20704,12478
435,20704,12479
436,20704,12480
437,20704,12481
438,20704,12482
439,20704,12483
440,20704,12484
441,20704,12485
442,20704,12486
443,20704,12487
444,20704,12547
445,20704,12548
446,20704,12549
447,20704,12550
448,20704,12551
449,20704,12552
450,20704,12553
451,20704,12554
452,20704,12555
453,20704,12556
454,20704,12557
455,20704,12558
456,20704,12559
457,20704,12581
458,20704,12582
459,20704,12583
460,20704,12584
461,20704,12585
462,20704,12586
463,20704,12587
464,20704,12588
465,20704,12589
466,20704,12590
467,20704,12591
468,20704,12592
469,20704,12593
470,20704,12594
471,20704,12595
472,20704,12596
473,20704,12597
474,20704,12598
475,20704,12599
476,20704,12600
477,20704,12601
478,20704,12602
479,20704,12603
480,20704,12604
481,20704,12605
482,20704,12606
483,20704,12607
484,20704,12608
485,20704,12609
486,20704,12610
487,20705,12465
488,20705,12466
489,20705,12467
490,20705,12468
491,20705,12469
492,20705,12470
493,20705,12471
494,20705,12472
495,20705,12473
496,20705,12474
497,20705,12475
498,20705,12476
499,20705,12477
500,20705,12478
501,20705,12479
502,20705,12480
503,20705,12481
504,20705,12482
505,20705,12483
506,20705,12484
507,20705,12485
508,20705,12486
509,20705,12487
510,20705,12490
511,20705,12491
512,20705,12547
513,20705,12548
514,20705,12549
515,20705,12550
516,20705,12551
517,20705,12552
518,20705,12553
519,20705,12554
520,20705,12555
521,20705,12556
522,20705,12557
523,20705,12558
524,20705,12559
525,20705,12576
526,20705,12577
527,20705,12578
528,20705,12579
529,20705,12580
530,20705,12581
531,20705,12582
532,20705,12583
533,20705,12584
534,20705,12585
535,20705,12586
536,20705,12587
537,20705,12588
538,20705,12589
539,20705,12590
540,20705,12591
541,20705,12592
542,20705,12593
543,20705,12594
544,20705,12595
545,20705,12596
546,20705,12597
547,20705,12598
548,20705,12599
549,20705,12600
550,20705,12601
551,20705,12602
552,20705,12603
553,20705,12604
554,20705,12605
555,20705,12606
556,20705,12607
557,20705,12608
558,20705,12609
559,20705,12610
560,20705,12611
561,20705,12612
562,20705,12613
563,20705,12614
564,20705,12615
565,20705,12616
566,20705,12617
567,20705,12618
568,20706,12465
569,20706,12466
570,20706,12467
571,20706,12468
572,20706,12469
573,20706,12470
574,20706,12471
575,20706,12472
576,20706,12473
577,20706,12474
578,20706,12475
579,20706,12476
580,20706,12477
581,20706,12478
582,20706,12479
583,20706,12480
584,20706,12481
585,20706,12482
586,20706,12483
587,20706,12484
588,20706,12485
589,20706,12486
590,20706,12487
591,20706,12488
592,20706,12489
593,20706,12490
594,20706,12491
595,20706,12492
596,20706,12493
597,20706,12546
598,20706,12547
599,20706,12548
600,20706,12549
601,20706,12550
602,20706,12551
603,20706,12552
604,20706,12553
605,20706,12554
606,20706,12555
607,20706,12556
608,20706,12557
609,20706,12558
610,20706,12559
611,20706,12560
612,20706,12573
613,20706,12574
614,20706,12575
615,20706,12576
616,20706,12577
617,20706,12578
618,20706,12579
619,20706,12580
620,20706,12581
621,20706,12582
622,20706,12583
623,20706,12584
624,20706,12585
625,20706,12586
626,20706,12587
627,20706,12588
628,20706,12589
629,20706,12590
630,20706,12591
631,20706,12592
632,20706,12593
633,20706,12594
634,20706,12595
635,20706,12596
636,20706,12597
637,20706,12598
638,20706,12599
639,20706,12600
640,20706,12601
641,20706,12602
642,20706,12603
643,20706,12604
644,20706,12605
645,20706,12606
646,20706,12607
647,20706,12608
648,20706,12609
649,20706,12610
650,20706,12611
651,20706,12612
652,20706,12613
653,20706,12614
654,20706,12615
655,20706,12616
656,20706,12617
657,20706,12618
658,20707,12464
659,20707,12465
660,20707,12466
661,20707,12467
662,20707,12468
663,20707,12469
664,20707,12470
665,20707,12471
666,20707,12472
667,20707,12473
668,20707,12474
669,20707,12475
670,20707,12476
671,20707,12477
672,20707,12478
673,20707,12479
674,20707,12480
675,20707,12481
676,20707,12482
677,20707,12483
678,20707,12484
679,20707,12485
680,20707,12486
681,20707,12487
682,20707,12488
683,20707,12489
684,20707,12490
685,20707,12491
686,20707,12492
687,20707,12493
688,20707,12494
689,20707,12506
690,20707,12507
691,20707,12508
692,20707,12522
693,20707,12523
694,20707,12546
695,20707,12547
696,20707,12548
697,20707,12549
698,20707,12550
699,20707,12551
700,20707,12552
701,20707,12553
702,20707,12554
703,20707,12555
704,20707,12556
705,20707,12557
706,20707,12558
707,20707,12559
708,20707,12560
709,20707,12571
710,20707,12572
711,20707,12573
712,20707,12574
713,20707,12575
714,20707,12576
715,20707,12577
716,20707,12578
717,20707,12579
718,20707,12580
719,20707,12581
720,20707,12582
721,20707,12583
722,20707,12584
723,20707,12585
724,20707,12586
725,20707,12587
726,20707,12588
727,20707,12589
728,20707,12590
729,20707,12591
730,20707,12592
731,20707,12593
732,20707,12594
733,20707,12595
734,20707,12596
735,20707,12597
736,20707,12598
737,20707,12599
738,20707,12600
739,20707,12601
740,20707,12602
741,20707,12603
742,20707,12604
743,20707,12605
744,20707,12606
745,20707,12607
746,20707,12608
747,20707,12609
748,20707,12610
749,20707,12611
750,20707,12612
751,20707,12613
752,20707,12614
753,20707,12615
754,20707,12616
755,20707,12617
756,20707,12618
757,20708,12464
758,20708,12465
759,20708,12466
760,20708,12467
761,20708,12468
762,20708,12469
763,20708,12470
764,20708,12471
765,20708,12472
766,20708,12473
767,20708,12474
768,20708,12475
769,20708,12476
770,20708,12477
771,20708,12478
772,20708,12479
773,20708,12480
774,20708,12481
775,20708,12482
776,20708,12483
777,20708,12484
778,20708,12485
779,20708,12486
780,20708,12487
781,20708,12488
782,20708,12489
783,20708,12490
784,20708,12491
785,20708,12492
786,20708,12493
787,20708,12494
788,20708,12495
789,20708,12496
790,20708,12497
791,20708,12502
