,X,Y
0,20945,13502
1,20945,13503
2,20945,13504
3,20945,13505
4,20946,13501
5,20946,13502
6,20946,13503
7,20946,13504
8,20946,13505
9,20946,13506
10,20946,13507
11,20946,13508
12,20947,13500
13,20947,13501
14,20947,13502
15,20947,13503
16,20947,13504
17,20947,13505
18,20947,13506
19,20947,13507
20,20947,13508
21,20947,13509
22,20947,13510
23,20948,13499
24,20948,13500
25,20948,13501
26,20948,13502
27,20948,13503
28,20948,13504
29,20948,13505
30,20948,13506
31,20948,13507
32,20948,13508
33,20948,13509
34,20948,13510
35,20948,13511
36,20948,13512
37,20948,13513
38,20948,13514
39,20949,13497
40,20949,13498
41,20949,13499
42,20949,13500
43,20949,13501
44,20949,13502
45,20949,13503
46,20949,13504
47,20949,13505
48,20949,13506
49,20949,13507
50,20949,13508
51,20949,13509
52,20949,13510
53,20949,13511
54,20949,13512
55,20949,13513
56,20949,13514
57,20949,13515
58,20949,13516
59,20949,13517
60,20949,13518
61,20949,13519
62,20949,13521
63,20949,13522
64,20949,13523
65,20949,13524
66,20949,13525
67,20949,13526
68,20950,13495
69,20950,13496
70,20950,13497
71,20950,13498
72,20950,13499
73,20950,13500
74,20950,13501
75,20950,13502
76,20950,13503
77,20950,13504
78,20950,13505
79,20950,13506
80,20950,13507
81,20950,13508
82,20950,13509
83,20950,13510
84,20950,13511
85,20950,13512
86,20950,13513
87,20950,13514
88,20950,13515
89,20950,13516
90,20950,13517
91,20950,13518
92,20950,13519
93,20950,13520
94,20950,13521
95,20950,13522
96,20950,13523
97,20950,13524
98,20950,13525
99,20950,13526
100,20950,13527
101,20951,13492
102,20951,13493
103,20951,13494
104,20951,13495
105,20951,13496
106,20951,13497
107,20951,13498
108,20951,13499
109,20951,13500
110,20951,13501
111,20951,13502
112,20951,13503
113,20951,13504
114,20951,13505
115,20951,13506
116,20951,13507
117,20951,13508
118,20951,13509
119,20951,13510
120,20951,13511
121,20951,13512
122,20951,13513
123,20951,13514
124,20951,13515
125,20951,13516
126,20951,13517
127,20951,13518
128,20951,13519
129,20951,13520
130,20951,13521
131,20951,13522
132,20951,13523
133,20951,13524
134,20951,13525
135,20951,13526
136,20951,13527
137,20952,13489
138,20952,13490
139,20952,13491
140,20952,13492
141,20952,13493
142,20952,13494
143,20952,13495
144,20952,13496
145,20952,13497
146,20952,13498
147,20952,13499
148,20952,13500
149,20952,13501
150,20952,13502
151,20952,13503
152,20952,13504
153,20952,13505
154,20952,13506
155,20952,13507
156,20952,13508
157,20952,13509
158,20952,13510
159,20952,13511
160,20952,13512
161,20952,13513
162,20952,13514
163,20952,13515
164,20952,13516
165,20952,13517
166,20952,13518
167,20952,13519
168,20952,13520
169,20952,13521
170,20952,13522
171,20952,13523
172,20952,13524
173,20952,13525
174,20952,13526
175,20952,13527
176,20952,13528
177,20952,13529
178,20953,13488
179,20953,13489
180,20953,13490
181,20953,13491
182,20953,13492
183,20953,13493
184,20953,13494
185,20953,13495
186,20953,13496
187,20953,13497
188,20953,13498
189,20953,13499
190,20953,13500
191,20953,13501
192,20953,13502
193,20953,13503
194,20953,13504
195,20953,13505
196,20953,13506
197,20953,13507
198,20953,13508
199,20953,13509
200,20953,13510
201,20953,13511
202,20953,13512
203,20953,13513
204,20953,13514
205,20953,13515
206,20953,13516
207,20953,13517
208,20953,13518
209,20953,13519
210,20953,13520
211,20953,13521
212,20953,13522
213,20953,13523
214,20953,13524
215,20953,13525
216,20953,13526
217,20953,13527
218,20953,13528
219,20953,13529
220,20953,13530
221,20953,13531
222,20954,13489
223,20954,13490
224,20954,13491
225,20954,13492
226,20954,13493
227,20954,13494
228,20954,13495
229,20954,13496
230,20954,13497
231,20954,13498
232,20954,13499
233,20954,13500
234,20954,13501
235,20954,13502
236,20954,13503
237,20954,13504
238,20954,13505
239,20954,13506
240,20954,13507
241,20954,13508
242,20954,13509
243,20954,13510
244,20954,13511
245,20954,13512
246,20954,13513
247,20954,13514
248,20954,13515
249,20954,13516
250,20954,13517
251,20954,13518
252,20954,13519
253,20954,13520
254,20954,13521
255,20954,13522
256,20954,13523
257,20954,13524
258,20954,13525
259,20954,13526
260,20954,13527
261,20954,13528
262,20954,13529
263,20954,13530
264,20954,13531
265,20955,13489
266,20955,13490
267,20955,13491
268,20955,13492
269,20955,13493
270,20955,13494
271,20955,13495
272,20955,13496
273,20955,13497
274,20955,13498
275,20955,13499
276,20955,13500
277,20955,13501
278,20955,13502
279,20955,13503
280,20955,13504
281,20955,13505
282,20955,13506
283,20955,13507
284,20955,13508
285,20955,13509
286,20955,13510
287,20955,13511
288,20955,13512
289,20955,13513
290,20955,13514
291,20955,13515
292,20955,13516
293,20955,13517
294,20955,13518
295,20955,13519
296,20955,13520
297,20955,13521
298,20955,13522
299,20955,13523
300,20955,13524
301,20955,13525
302,20955,13526
303,20955,13527
304,20955,13528
305,20955,13529
306,20955,13530
307,20956,13490
308,20956,13491
309,20956,13492
310,20956,13493
311,20956,13494
312,20956,13495
313,20956,13496
314,20956,13497
315,20956,13498
316,20956,13499
317,20956,13500
318,20956,13501
319,20956,13502
320,20956,13503
321,20956,13504
322,20956,13505
323,20956,13506
324,20956,13507
325,20956,13508
326,20956,13509
327,20956,13510
328,20956,13511
329,20956,13512
330,20956,13513
331,20956,13514
332,20956,13515
333,20956,13516
334,20956,13517
335,20956,13518
336,20956,13519
337,20956,13520
338,20956,13521
339,20956,13522
340,20956,13523
341,20956,13524
342,20956,13525
343,20956,13526
344,20956,13527
345,20956,13528
346,20956,13529
347,20956,13530
348,20956,13531
349,20956,13533
350,20956,13534
351,20957,13491
352,20957,13492
353,20957,13493
354,20957,13494
355,20957,13495
356,20957,13496
357,20957,13497
358,20957,13498
359,20957,13499
360,20957,13500
361,20957,13501
362,20957,13502
363,20957,13503
364,20957,13504
365,20957,13505
366,20957,13506
367,20957,13507
368,20957,13508
369,20957,13509
370,20957,13510
371,20957,13511
372,20957,13512
373,20957,13513
374,20957,13514
375,20957,13515
376,20957,13516
377,20957,13517
378,20957,13518
379,20957,13519
380,20957,13520
381,20957,13521
382,20957,13522
383,20957,13523
384,20957,13524
385,20957,13525
386,20957,13526
387,20957,13527
388,20957,13528
389,20957,13529
390,20957,13530
391,20957,13531
392,20957,13532
393,20957,13533
394,20957,13534
395,20957,13535
396,20958,13491
397,20958,13492
398,20958,13493
399,20958,13494
400,20958,13495
401,20958,13496
402,20958,13497
403,20958,13498
404,20958,13499
405,20958,13500
406,20958,13501
407,20958,13502
408,20958,13503
409,20958,13504
410,20958,13505
411,20958,13506
412,20958,13507
413,20958,13508
414,20958,13509
415,20958,13510
416,20958,13511
417,20958,13512
418,20958,13513
419,20958,13514
420,20958,13515
421,20958,13516
422,20958,13517
423,20958,13518
424,20958,13519
425,20958,13520
426,20958,13521
427,20958,13522
428,20958,13523
429,20958,13524
430,20958,13525
431,20958,13526
432,20958,13527
433,20958,13528
434,20958,13529
435,20958,13530
436,20958,13531
437,20958,13532
438,20958,13533
439,20958,13534
440,20958,13535
441,20958,13536
442,20958,13537
443,20959,13492
444,20959,13493
445,20959,13494
446,20959,13495
447,20959,13496
448,20959,13497
449,20959,13498
450,20959,13499
451,20959,13500
452,20959,13501
453,20959,13502
454,20959,13503
455,20959,13504
456,20959,13505
457,20959,13506
458,20959,13507
459,20959,13508
460,20959,13509
461,20959,13510
462,20959,13511
463,20959,13512
464,20959,13513
465,20959,13514
466,20959,13515
467,20959,13516
468,20959,13517
469,20959,13518
470,20959,13519
471,20959,13520
472,20959,13521
473,20959,13522
474,20959,13523
475,20959,13524
476,20959,13525
477,20959,13526
478,20959,13527
479,20959,13528
480,20959,13529
481,20959,13530
482,20959,13531
483,20959,13532
484,20959,13533
485,20959,13534
486,20959,13535
487,20959,13536
488,20959,13537
489,20959,13538
490,20960,13493
491,20960,13494
492,20960,13495
493,20960,13496
494,20960,13497
495,20960,13498
496,20960,13499
497,20960,13500
498,20960,13501
499,20960,13502
500,20960,13503
501,20960,13504
502,20960,13505
503,20960,13506
504,20960,13507
505,20960,13508
506,20960,13509
507,20960,13510
508,20960,13511
509,20960,13512
510,20960,13513
511,20960,13514
512,20960,13515
513,20960,13516
514,20960,13517
515,20960,13518
516,20960,13519
517,20960,13520
518,20960,13521
519,20960,13522
