,X,Y
0,20889,13229
1,20889,13230
2,20889,13231
3,20890,13228
4,20890,13229
5,20890,13230
6,20890,13231
7,20890,13232
8,20891,13228
9,20891,13229
10,20891,13230
11,20891,13231
12,20891,13232
13,20891,13233
14,20891,13234
15,20892,13227
16,20892,13228
17,20892,13229
18,20892,13230
19,20892,13231
20,20892,13232
21,20892,13233
22,20892,13234
23,20892,13235
24,20893,13227
25,20893,13228
26,20893,13229
27,20893,13230
28,20893,13231
29,20893,13232
30,20893,13233
31,20893,13234
32,20893,13235
33,20893,13236
34,20894,13227
35,20894,13228
36,20894,13229
37,20894,13230
38,20894,13231
39,20894,13232
40,20894,13233
41,20894,13234
42,20894,13235
43,20894,13236
44,20894,13237
45,20895,13227
46,20895,13228
47,20895,13229
48,20895,13230
49,20895,13231
50,20895,13232
51,20895,13233
52,20895,13234
53,20895,13235
54,20895,13236
55,20895,13237
56,20895,13238
57,20896,13223
58,20896,13224
59,20896,13225
60,20896,13226
61,20896,13227
62,20896,13228
63,20896,13229
64,20896,13230
65,20896,13231
66,20896,13232
67,20896,13233
68,20896,13234
69,20896,13235
70,20896,13236
71,20896,13237
72,20896,13238
73,20896,13239
74,20896,13240
75,20897,13221
76,20897,13222
77,20897,13223
78,20897,13224
79,20897,13225
80,20897,13226
81,20897,13227
82,20897,13228
83,20897,13229
84,20897,13230
85,20897,13231
86,20897,13232
87,20897,13233
88,20897,13234
89,20897,13235
90,20897,13236
91,20897,13237
92,20897,13238
93,20897,13239
94,20897,13240
95,20897,13241
96,20898,13221
97,20898,13222
98,20898,13223
99,20898,13224
100,20898,13225
101,20898,13226
102,20898,13227
103,20898,13228
104,20898,13229
105,20898,13230
106,20898,13231
107,20898,13232
108,20898,13233
109,20898,13234
110,20898,13235
111,20898,13236
112,20898,13237
113,20898,13238
114,20898,13239
115,20898,13240
116,20898,13241
117,20898,13242
118,20899,13221
119,20899,13222
120,20899,13223
121,20899,13224
122,20899,13225
123,20899,13226
124,20899,13227
125,20899,13228
126,20899,13229
127,20899,13230
128,20899,13231
129,20899,13232
130,20899,13233
131,20899,13234
132,20899,13235
133,20899,13236
134,20899,13237
135,20899,13238
136,20899,13239
137,20899,13240
138,20899,13241
139,20899,13242
140,20899,13243
141,20900,13222
142,20900,13223
143,20900,13224
144,20900,13225
145,20900,13226
146,20900,13227
147,20900,13228
148,20900,13229
149,20900,13230
150,20900,13231
151,20900,13232
152,20900,13233
153,20900,13234
154,20900,13235
155,20900,13236
156,20900,13237
157,20900,13238
158,20900,13239
159,20900,13240
160,20900,13241
161,20900,13242
162,20900,13243
163,20900,13244
164,20901,13222
165,20901,13223
166,20901,13224
167,20901,13225
168,20901,13226
169,20901,13227
170,20901,13228
171,20901,13229
172,20901,13230
173,20901,13231
174,20901,13232
175,20901,13233
176,20901,13234
177,20901,13235
178,20901,13236
179,20901,13237
180,20901,13238
181,20901,13239
182,20901,13240
183,20901,13241
184,20901,13242
185,20901,13243
186,20901,13244
187,20901,13245
188,20902,13222
189,20902,13223
190,20902,13224
191,20902,13225
192,20902,13226
193,20902,13227
194,20902,13228
195,20902,13229
196,20902,13230
197,20902,13231
198,20902,13232
199,20902,13233
200,20902,13234
201,20902,13235
202,20902,13236
203,20902,13237
204,20902,13238
205,20902,13239
206,20902,13240
207,20902,13241
208,20902,13242
209,20902,13243
210,20902,13244
211,20902,13245
212,20902,13246
213,20902,13247
214,20903,13222
215,20903,13223
216,20903,13224
217,20903,13225
218,20903,13226
219,20903,13227
220,20903,13228
221,20903,13229
222,20903,13230
223,20903,13231
224,20903,13232
225,20903,13233
226,20903,13234
227,20903,13235
228,20903,13236
229,20903,13237
230,20903,13238
231,20903,13239
232,20903,13240
233,20903,13241
234,20903,13242
235,20903,13243
236,20903,13244
237,20903,13245
238,20903,13246
239,20903,13247
240,20903,13248
241,20904,13222
242,20904,13223
243,20904,13224
244,20904,13225
245,20904,13226
246,20904,13227
247,20904,13228
248,20904,13229
249,20904,13230
250,20904,13231
251,20904,13232
252,20904,13233
253,20904,13234
254,20904,13235
255,20904,13236
256,20904,13237
257,20904,13238
258,20904,13239
259,20904,13240
260,20904,13241
261,20904,13242
262,20904,13243
263,20904,13244
264,20904,13245
265,20904,13246
266,20904,13247
267,20904,13248
268,20904,13249
269,20905,13222
270,20905,13223
271,20905,13224
272,20905,13225
273,20905,13226
274,20905,13227
275,20905,13228
276,20905,13229
277,20905,13230
278,20905,13231
279,20905,13232
280,20905,13233
281,20905,13234
282,20905,13235
283,20905,13236
284,20905,13237
285,20905,13238
286,20905,13239
287,20905,13240
288,20905,13241
289,20905,13242
290,20905,13243
291,20905,13244
292,20905,13245
293,20905,13246
294,20905,13247
295,20905,13248
296,20905,13249
297,20905,13250
298,20906,13221
299,20906,13222
300,20906,13223
301,20906,13224
302,20906,13225
303,20906,13226
304,20906,13227
305,20906,13228
306,20906,13229
307,20906,13230
308,20906,13231
309,20906,13232
310,20906,13233
311,20906,13234
312,20906,13235
313,20906,13236
314,20906,13237
315,20906,13238
316,20906,13239
317,20906,13240
318,20906,13241
319,20906,13242
320,20906,13243
321,20906,13244
322,20906,13245
323,20906,13246
324,20906,13247
325,20906,13248
326,20906,13249
327,20906,13250
328,20907,13221
329,20907,13222
330,20907,13223
331,20907,13224
332,20907,13225
333,20907,13226
334,20907,13227
335,20907,13228
336,20907,13229
337,20907,13230
338,20907,13231
339,20907,13232
340,20907,13233
341,20907,13234
342,20907,13235
343,20907,13236
344,20907,13237
345,20907,13238
346,20907,13239
347,20907,13240
348,20907,13241
349,20907,13242
350,20907,13243
351,20907,13244
352,20907,13245
353,20907,13246
354,20907,13247
355,20907,13248
356,20907,13249
357,20907,13250
358,20907,13251
359,20908,13220
360,20908,13221
361,20908,13222
362,20908,13223
363,20908,13224
364,20908,13225
365,20908,13226
366,20908,13227
367,20908,13228
368,20908,13229
369,20908,13230
370,20908,13231
371,20908,13232
372,20908,13233
373,20908,13234
374,20908,13235
375,20908,13236
376,20908,13237
377,20908,13238
378,20908,13239
379,20908,13240
380,20908,13241
381,20908,13242
382,20908,13243
383,20908,13244
384,20908,13245
385,20908,13246
386,20908,13247
387,20908,13248
388,20908,13249
389,20908,13250
390,20908,13251
391,20908,13252
392,20909,13219
393,20909,13220
394,20909,13221
395,20909,13222
396,20909,13223
397,20909,13224
398,20909,13225
399,20909,13226
400,20909,13227
