,X,Y
0,21286,12779
1,21286,12780
2,21286,12781
3,21286,12782
4,21286,12783
5,21286,12784
6,21286,12785
7,21286,12786
8,21286,12787
9,21286,12788
10,21286,12789
11,21286,12790
12,21287,12779
13,21287,12780
14,21287,12781
15,21287,12782
16,21287,12783
17,21287,12784
18,21287,12785
19,21287,12786
20,21287,12787
21,21287,12788
22,21287,12789
23,21287,12790
24,21287,12791
25,21288,12779
26,21288,12780
27,21288,12781
28,21288,12782
29,21288,12783
30,21288,12784
31,21288,12785
32,21288,12786
33,21288,12787
34,21288,12788
35,21288,12789
36,21288,12790
37,21288,12791
38,21289,12779
39,21289,12780
40,21289,12781
41,21289,12782
42,21289,12783
43,21289,12784
44,21289,12785
45,21289,12786
46,21289,12787
47,21289,12788
48,21289,12789
49,21289,12790
50,21289,12791
51,21290,12779
52,21290,12780
53,21290,12781
54,21290,12782
55,21290,12783
56,21290,12784
57,21290,12785
58,21290,12786
59,21290,12787
60,21290,12788
61,21290,12789
62,21290,12790
63,21290,12791
64,21291,12779
65,21291,12780
66,21291,12781
67,21291,12782
68,21291,12783
69,21291,12784
70,21291,12785
71,21291,12786
72,21291,12787
73,21291,12788
74,21291,12789
75,21291,12790
76,21291,12791
77,21292,12778
78,21292,12779
79,21292,12780
80,21292,12781
81,21292,12782
82,21292,12783
83,21292,12784
84,21292,12785
85,21292,12786
86,21292,12787
87,21292,12788
88,21292,12789
89,21292,12790
90,21292,12791
91,21293,12778
92,21293,12779
93,21293,12780
94,21293,12781
95,21293,12782
96,21293,12783
97,21293,12784
98,21293,12785
99,21293,12786
100,21293,12787
101,21293,12788
102,21293,12789
103,21293,12790
104,21293,12791
105,21294,12778
106,21294,12779
107,21294,12780
108,21294,12781
109,21294,12782
110,21294,12783
111,21294,12784
112,21294,12785
113,21294,12786
114,21294,12787
115,21294,12788
116,21294,12789
117,21294,12790
118,21294,12791
119,21295,12778
120,21295,12779
121,21295,12780
122,21295,12781
123,21295,12782
124,21295,12783
125,21295,12784
126,21295,12785
127,21295,12786
128,21295,12787
129,21295,12788
130,21295,12789
131,21295,12790
132,21295,12791
133,21296,12778
134,21296,12779
135,21296,12780
