,X,Y
0,20967,12794
1,20967,12795
2,20968,12793
3,20968,12794
4,20968,12795
5,20969,12792
6,20969,12793
7,20969,12794
8,20969,12795
9,20969,12796
10,20970,12791
11,20970,12792
12,20970,12793
13,20970,12794
14,20970,12795
15,20970,12796
16,20971,12789
17,20971,12790
18,20971,12791
19,20971,12792
20,20971,12793
21,20971,12794
22,20971,12795
23,20971,12796
24,20971,12797
25,20972,12788
26,20972,12789
27,20972,12790
28,20972,12791
29,20972,12792
30,20972,12793
31,20972,12794
32,20972,12795
33,20972,12796
34,20972,12797
35,20973,12786
36,20973,12787
37,20973,12788
38,20973,12789
39,20973,12790
40,20973,12791
41,20973,12792
42,20973,12793
43,20973,12794
44,20973,12795
45,20973,12796
46,20973,12797
47,20974,12770
48,20974,12771
49,20974,12772
50,20974,12773
51,20974,12774
52,20974,12775
53,20974,12776
54,20974,12777
55,20974,12778
56,20974,12779
57,20974,12780
58,20974,12781
59,20974,12782
60,20974,12783
61,20974,12784
62,20974,12785
63,20974,12786
64,20974,12787
65,20974,12788
66,20974,12789
67,20974,12790
68,20974,12791
69,20974,12792
70,20974,12793
71,20974,12794
72,20974,12795
73,20974,12796
74,20974,12797
75,20974,12798
76,20975,12769
77,20975,12770
78,20975,12771
79,20975,12772
80,20975,12773
81,20975,12774
82,20975,12775
83,20975,12776
84,20975,12777
85,20975,12778
86,20975,12779
87,20975,12780
88,20975,12781
89,20975,12782
90,20975,12783
91,20975,12784
92,20975,12785
93,20975,12786
94,20975,12787
95,20975,12788
96,20975,12789
97,20975,12790
98,20975,12791
99,20975,12792
100,20975,12793
101,20975,12794
102,20975,12795
103,20975,12796
104,20975,12797
105,20975,12798
106,20976,12768
107,20976,12769
108,20976,12770
109,20976,12771
110,20976,12772
111,20976,12773
112,20976,12774
113,20976,12775
114,20976,12776
115,20976,12777
116,20976,12778
117,20976,12779
118,20976,12780
119,20976,12781
120,20976,12782
121,20976,12783
122,20976,12784
123,20976,12785
124,20976,12786
125,20976,12787
126,20976,12788
127,20976,12789
128,20976,12790
129,20976,12791
130,20976,12792
131,20976,12793
132,20976,12794
133,20976,12795
134,20976,12796
135,20976,12797
136,20976,12798
137,20976,12799
138,20977,12768
139,20977,12769
140,20977,12770
141,20977,12771
142,20977,12772
143,20977,12773
144,20977,12774
145,20977,12775
146,20977,12776
147,20977,12777
148,20977,12778
149,20977,12779
150,20977,12780
151,20977,12781
152,20977,12782
153,20977,12783
154,20977,12784
155,20977,12785
156,20977,12786
157,20977,12787
158,20977,12788
159,20977,12789
160,20977,12790
161,20977,12791
162,20977,12792
163,20977,12793
164,20977,12794
165,20977,12795
166,20977,12796
167,20977,12797
168,20977,12798
169,20977,12799
170,20978,12768
171,20978,12769
172,20978,12770
173,20978,12771
174,20978,12772
175,20978,12773
176,20978,12774
177,20978,12775
178,20978,12776
179,20978,12777
180,20978,12778
181,20978,12779
182,20978,12780
183,20978,12781
184,20978,12782
185,20978,12783
186,20978,12784
187,20978,12785
188,20978,12786
189,20978,12787
190,20978,12788
191,20978,12789
192,20978,12790
193,20978,12791
194,20978,12792
195,20978,12793
196,20978,12794
197,20978,12795
198,20978,12796
199,20978,12797
200,20978,12798
201,20978,12799
202,20978,12800
203,20979,12768
204,20979,12769
205,20979,12770
206,20979,12771
207,20979,12772
208,20979,12773
209,20979,12774
210,20979,12775
211,20979,12776
212,20979,12777
213,20979,12778
214,20979,12779
215,20979,12780
216,20979,12781
217,20979,12782
218,20979,12783
219,20979,12784
220,20979,12785
221,20979,12786
222,20979,12787
223,20979,12788
224,20979,12789
225,20979,12790
226,20979,12791
227,20979,12792
228,20979,12793
229,20979,12794
230,20979,12795
231,20979,12796
232,20979,12797
233,20979,12798
234,20979,12799
235,20979,12800
236,20979,12801
237,20980,12768
238,20980,12769
239,20980,12770
240,20980,12771
241,20980,12772
242,20980,12773
243,20980,12774
244,20980,12775
245,20980,12776
246,20980,12777
247,20980,12778
248,20980,12779
249,20980,12780
250,20980,12781
251,20980,12782
252,20980,12783
253,20980,12784
254,20980,12785
255,20980,12786
256,20980,12787
257,20980,12788
258,20980,12789
259,20980,12790
260,20980,12791
261,20980,12792
262,20980,12793
263,20980,12794
264,20980,12795
265,20980,12796
266,20980,12797
267,20980,12798
268,20980,12799
269,20980,12800
270,20980,12801
271,20980,12802
272,20981,12768
273,20981,12769
274,20981,12770
275,20981,12771
276,20981,12772
277,20981,12773
278,20981,12774
279,20981,12775
280,20981,12776
281,20981,12777
282,20981,12778
283,20981,12779
284,20981,12780
285,20981,12781
286,20981,12782
287,20981,12783
288,20981,12784
289,20981,12785
290,20981,12786
291,20981,12787
292,20981,12788
293,20981,12789
294,20981,12790
295,20981,12791
296,20981,12792
297,20981,12793
298,20981,12794
299,20981,12795
300,20981,12796
301,20981,12797
302,20981,12798
303,20981,12799
304,20981,12800
305,20981,12801
306,20981,12802
307,20982,12766
308,20982,12767
309,20982,12768
310,20982,12769
311,20982,12770
312,20982,12771
313,20982,12772
314,20982,12773
315,20982,12774
316,20982,12775
317,20982,12776
318,20982,12777
319,20982,12778
320,20982,12779
321,20982,12780
322,20982,12781
323,20982,12782
324,20982,12783
325,20982,12784
326,20982,12785
327,20982,12786
328,20982,12787
329,20982,12788
330,20982,12789
331,20982,12790
332,20982,12791
333,20982,12792
334,20982,12793
335,20982,12794
336,20982,12795
337,20982,12796
338,20982,12797
339,20982,12798
340,20982,12799
341,20982,12800
342,20982,12801
343,20982,12802
344,20982,12803
345,20983,12764
346,20983,12765
347,20983,12766
348,20983,12767
349,20983,12768
350,20983,12769
351,20983,12770
352,20983,12771
353,20983,12772
354,20983,12773
355,20983,12774
356,20983,12775
357,20983,12776
358,20983,12777
359,20983,12778
360,20983,12779
361,20983,12780
362,20983,12781
363,20983,12782
364,20983,12783
365,20983,12784
366,20983,12785
367,20983,12786
368,20983,12787
369,20983,12788
370,20983,12789
371,20983,12790
372,20983,12791
373,20983,12792
374,20983,12793
375,20983,12794
376,20983,12795
377,20983,12796
378,20983,12797
379,20983,12798
380,20983,12799
381,20983,12800
382,20983,12801
383,20983,12802
384,20983,12803
385,20983,12804
386,20984,12763
387,20984,12764
388,20984,12765
389,20984,12766
390,20984,12767
391,20984,12768
392,20984,12769
393,20984,12770
394,20984,12771
395,20984,12772
396,20984,12773
397,20984,12774
398,20984,12775
399,20984,12776
400,20984,12777
401,20984,12778
402,20984,12779
403,20984,12780
404,20984,12781
405,20984,12782
406,20984,12783
407,20984,12784
408,20984,12785
409,20984,12786
410,20984,12787
411,20984,12788
412,20984,12789
413,20984,12790
414,20984,12791
415,20984,12792
416,20984,12793
417,20984,12794
418,20984,12795
419,20984,12796
420,20984,12797
421,20984,12798
422,20984,12799
423,20984,12800
424,20984,12801
425,20984,12802
426,20984,12803
427,20984,12804
428,20984,12805
429,20985,12762
430,20985,12763
431,20985,12764
432,20985,12765
433,20985,12766
434,20985,12767
435,20985,12768
436,20985,12769
437,20985,12770
438,20985,12771
439,20985,12772
440,20985,12773
441,20985,12774
442,20985,12775
443,20985,12776
444,20985,12777
445,20985,12778
446,20985,12779
447,20985,12780
448,20985,12781
449,20985,12782
450,20985,12783
451,20985,12784
452,20985,12785
453,20985,12786
454,20985,12787
455,20985,12788
456,20985,12789
457,20985,12790
458,20985,12791
459,20985,12792
460,20985,12793
461,20985,12794
462,20985,12795
463,20985,12796
464,20985,12797
465,20985,12798
466,20985,12799
467,20985,12800
468,20985,12801
469,20985,12802
470,20985,12803
471,20985,12804
472,20985,12805
473,20986,12761
474,20986,12762
475,20986,12763
476,20986,12764
477,20986,12765
478,20986,12766
479,20986,12767
480,20986,12768
481,20986,12769
482,20986,12770
483,20986,12771
484,20986,12772
485,20986,12773
486,20986,12774
487,20986,12775
488,20986,12776
489,20986,12777
490,20986,12778
491,20986,12779
492,20986,12780
493,20986,12781
494,20986,12782
495,20986,12783
496,20986,12784
497,20986,12785
498,20986,12786
499,20986,12787
500,20986,12788
501,20986,12789
502,20986,12790
503,20986,12791
504,20986,12792
505,20986,12793
506,20986,12794
507,20986,12795
508,20986,12796
509,20986,12797
510,20986,12798
511,20986,12799
512,20986,12800
513,20986,12801
514,20986,12802
515,20986,12803
516,20986,12804
517,20986,12805
518,20986,12806
519,20987,12760
520,20987,12761
521,20987,12762
522,20987,12763
523,20987,12764
524,20987,12765
525,20987,12766
526,20987,12767
527,20987,12768
528,20987,12769
529,20987,12770
530,20987,12771
531,20987,12772
532,20987,12773
533,20987,12774
534,20987,12775
535,20987,12776
536,20987,12777
537,20987,12778
538,20987,12779
539,20987,12780
540,20987,12781
541,20987,12782
542,20987,12783
543,20987,12784
544,20987,12785
545,20987,12786
546,20987,12787
547,20987,12788
548,20987,12789
549,20987,12790
550,20987,12791
551,20987,12792
552,20987,12793
553,20987,12794
554,20987,12795
555,20987,12796
556,20987,12797
557,20987,12798
558,20987,12799
559,20987,12800
560,20987,12801
561,20987,12802
562,20987,12803
563,20987,12804
564,20987,12805
565,20987,12806
566,20987,12807
567,20988,12759
568,20988,12760
569,20988,12761
570,20988,12762
571,20988,12763
572,20988,12764
573,20988,12765
574,20988,12766
575,20988,12767
576,20988,12768
577,20988,12769
578,20988,12770
579,20988,12771
580,20988,12772
581,20988,12773
582,20988,12774
583,20988,12775
584,20988,12776
585,20988,12777
586,20988,12778
587,20988,12779
588,20988,12780
589,20988,12781
590,20988,12782
591,20988,12783
592,20988,12784
593,20988,12785
594,20988,12786
595,20988,12787
596,20988,12788
597,20988,12789
598,20988,12790
599,20988,12791
600,20988,12792
601,20988,12793
602,20988,12794
603,20988,12795
604,20988,12796
605,20988,12797
606,20988,12798
607,20988,12799
608,20988,12800
609,20988,12801
610,20988,12802
611,20988,12803
612,20988,12804
613,20988,12805
614,20988,12806
615,20988,12807
616,20988,12808
617,20989,12758
618,20989,12759
619,20989,12760
620,20989,12761
621,20989,12762
622,20989,12763
623,20989,12764
624,20989,12765
625,20989,12766
626,20989,12767
627,20989,12768
628,20989,12769
629,20989,12770
630,20989,12771
631,20989,12772
632,20989,12773
633,20989,12774
634,20989,12775
635,20989,12776
636,20989,12777
637,20989,12778
638,20989,12779
639,20989,12780
640,20989,12781
641,20989,12782
642,20989,12783
643,20989,12784
644,20989,12785
645,20989,12786
646,20989,12787
647,20989,12788
648,20989,12789
649,20989,12790
650,20989,12791
651,20989,12792
652,20989,12793
653,20989,12794
654,20989,12795
655,20989,12796
656,20989,12797
657,20989,12798
658,20989,12799
659,20989,12800
660,20989,12801
661,20989,12802
662,20989,12803
663,20989,12804
664,20989,12805
665,20989,12806
666,20989,12807
667,20989,12808
668,20990,12758
669,20990,12759
670,20990,12760
671,20990,12761
672,20990,12762
673,20990,12763
674,20990,12764
675,20990,12765
676,20990,12766
677,20990,12767
678,20990,12768
679,20990,12769
680,20990,12770
681,20990,12771
682,20990,12772
683,20990,12773
684,20990,12774
685,20990,12775
686,20990,12776
687,20990,12777
688,20990,12778
689,20990,12779
690,20990,12780
691,20990,12781
692,20990,12782
693,20990,12783
694,20990,12784
695,20990,12785
696,20990,12786
697,20990,12787
698,20990,12788
699,20990,12789
700,20990,12790
701,20990,12791
702,20990,12792
703,20990,12793
704,20990,12794
705,20990,12795
706,20990,12796
707,20990,12797
708,20990,12798
709,20990,12799
710,20990,12800
711,20990,12801
712,20990,12802
713,20990,12803
714,20990,12804
715,20990,12805
716,20990,12806
717,20990,12807
718,20990,12808
719,20991,12759
720,20991,12760
721,20991,12761
722,20991,12762
723,20991,12763
724,20991,12764
725,20991,12765
726,20991,12766
727,20991,12767
728,20991,12768
729,20991,12769
730,20991,12770
731,20991,12771
732,20991,12772
733,20991,12773
734,20991,12774
735,20991,12775
736,20991,12776
737,20991,12777
738,20991,12778
739,20991,12779
740,20991,12780
741,20991,12781
742,20991,12782
743,20991,12783
744,20991,12784
745,20991,12785
746,20991,12786
747,20991,12787
748,20991,12788
749,20991,12789
750,20991,12790
751,20991,12791
752,20991,12792
753,20991,12793
754,20991,12794
755,20991,12795
756,20991,12796
757,20991,12797
758,20991,12798
759,20991,12799
760,20991,12800
761,20991,12801
762,20991,12802
763,20991,12803
764,20991,12804
765,20991,12805
766,20991,12806
767,20991,12807
768,20991,12808
769,20992,12759
770,20992,12760
771,20992,12761
772,20992,12762
773,20992,12763
774,20992,12764
775,20992,12765
776,20992,12766
777,20992,12767
778,20992,12768
779,20992,12769
780,20992,12770
781,20992,12771
782,20992,12772
783,20992,12773
784,20992,12774
785,20992,12775
786,20992,12776
787,20992,12777
788,20992,12778
789,20992,12779
790,20992,12780
791,20992,12781
792,20992,12782
793,20992,12783
794,20992,12784
795,20992,12785
796,20992,12786
797,20992,12787
798,20992,12788
799,20992,12789
800,20992,12790
801,20992,12791
802,20992,12792
803,20992,12793
804,20992,12794
805,20992,12795
806,20992,12796
807,20992,12797
808,20992,12798
809,20992,12799
810,20992,12800
811,20992,12801
812,20992,12802
813,20992,12803
814,20992,12804
815,20992,12805
816,20992,12806
817,20992,12807
818,20992,12808
819,20992,12809
820,20993,12760
821,20993,12761
822,20993,12762
823,20993,12763
824,20993,12764
825,20993,12765
826,20993,12766
827,20993,12767
828,20993,12768
829,20993,12769
830,20993,12770
831,20993,12771
832,20993,12772
833,20993,12773
834,20993,12774
835,20993,12775
836,20993,12776
837,20993,12777
838,20993,12778
839,20993,12779
840,20993,12780
841,20993,12781
842,20993,12782
843,20993,12783
844,20993,12784
845,20993,12785
846,20993,12786
847,20993,12787
848,20993,12788
849,20993,12789
850,20993,12790
851,20993,12791
852,20993,12792
853,20993,12793
854,20993,12794
855,20993,12795
856,20993,12796
857,20993,12797
858,20993,12798
859,20993,12799
860,20993,12800
861,20993,12801
862,20993,12802
863,20993,12803
864,20993,12804
865,20993,12805
866,20993,12806
867,20993,12807
868,20993,12808
869,20993,12809
870,20994,12760
871,20994,12761
872,20994,12762
873,20994,12763
874,20994,12764
875,20994,12765
876,20994,12766
877,20994,12767
878,20994,12768
879,20994,12769
880,20994,12770
881,20994,12771
882,20994,12772
883,20994,12773
884,20994,12774
885,20994,12775
886,20994,12776
887,20994,12777
888,20994,12778
889,20994,12779
890,20994,12780
891,20994,12781
892,20994,12782
893,20994,12783
894,20994,12784
895,20994,12785
896,20994,12786
897,20994,12787
898,20994,12788
899,20994,12789
900,20994,12790
901,20994,12791
902,20994,12792
903,20994,12793
904,20994,12794
905,20994,12795
906,20994,12796
907,20994,12797
908,20994,12798
909,20994,12799
910,20994,12800
911,20994,12801
912,20994,12802
913,20994,12803
914,20994,12804
915,20994,12805
916,20994,12806
917,20994,12807
918,20994,12808
919,20994,12809
920,20994,12810
921,20995,12761
922,20995,12762
923,20995,12763
924,20995,12764
925,20995,12765
926,20995,12766
927,20995,12767
928,20995,12768
929,20995,12769
930,20995,12770
931,20995,12771
932,20995,12772
933,20995,12773
934,20995,12774
935,20995,12775
936,20995,12776
937,20995,12777
938,20995,12778
939,20995,12779
940,20995,12780
941,20995,12781
942,20995,12782
943,20995,12783
944,20995,12784
945,20995,12785
946,20995,12786
947,20995,12787
948,20995,12788
949,20995,12789
950,20995,12790
951,20995,12791
952,20995,12792
953,20995,12793
954,20995,12794
955,20995,12795
956,20995,12796
957,20995,12797
958,20995,12798
959,20995,12799
960,20995,12800
961,20995,12801
962,20995,12802
963,20995,12803
964,20995,12804
965,20995,12805
966,20995,12806
967,20995,12807
968,20995,12808
969,20995,12809
970,20995,12810
971,20996,12762
972,20996,12763
973,20996,12764
974,20996,12765
975,20996,12766
976,20996,12767
977,20996,12768
978,20996,12769
979,20996,12770
980,20996,12771
981,20996,12772
982,20996,12773
983,20996,12774
984,20996,12775
985,20996,12776
986,20996,12777
987,20996,12778
988,20996,12779
989,20996,12780
990,20996,12781
991,20996,12782
992,20996,12783
993,20996,12784
994,20996,12785
995,20996,12786
996,20996,12787
997,20996,12788
998,20996,12789
999,20996,12790
1000,20996,12791
1001,20996,12792
1002,20996,12793
1003,20996,12794
1004,20996,12795
1005,20996,12796
1006,20996,12797
1007,20996,12798
1008,20996,12799
1009,20996,12800
1010,20996,12801
1011,20996,12802
1012,20996,12803
1013,20996,12804
1014,20996,12805
1015,20996,12806
1016,20996,12807
1017,20996,12808
1018,20996,12809
1019,20996,12810
1020,20996,12811
1021,20997,12764
1022,20997,12765
1023,20997,12766
1024,20997,12767
1025,20997,12768
1026,20997,12769
1027,20997,12770
1028,20997,12771
1029,20997,12772
1030,20997,12773
1031,20997,12774
1032,20997,12775
1033,20997,12776
1034,20997,12777
1035,20997,12778
1036,20997,12779
1037,20997,12780
1038,20997,12781
1039,20997,12782
1040,20997,12783
1041,20997,12784
1042,20997,12785
1043,20997,12786
1044,20997,12787
1045,20997,12788
1046,20997,12789
1047,20997,12790
1048,20997,12791
1049,20997,12792
1050,20997,12793
1051,20997,12794
1052,20997,12795
1053,20997,12796
1054,20997,12797
1055,20997,12798
1056,20997,12799
1057,20997,12800
1058,20997,12801
1059,20997,12802
1060,20997,12803
1061,20997,12804
1062,20997,12805
1063,20997,12806
1064,20997,12807
1065,20997,12808
1066,20997,12809
1067,20997,12810
1068,20997,12811
1069,20998,12765
1070,20998,12766
1071,20998,12767
1072,20998,12768
1073,20998,12769
1074,20998,12770
1075,20998,12771
1076,20998,12772
1077,20998,12773
1078,20998,12774
1079,20998,12775
1080,20998,12776
1081,20998,12777
1082,20998,12778
1083,20998,12779
1084,20998,12780
1085,20998,12781
1086,20998,12782
1087,20998,12783
1088,20998,12784
1089,20998,12785
1090,20998,12786
1091,20998,12787
1092,20998,12788
1093,20998,12789
1094,20998,12790
1095,20998,12791
1096,20998,12792
1097,20998,12793
1098,20998,12794
1099,20998,12795
1100,20998,12796
1101,20998,12797
1102,20998,12798
1103,20998,12799
1104,20998,12800
1105,20998,12801
1106,20998,12802
1107,20998,12803
1108,20998,12804
1109,20998,12805
1110,20998,12806
1111,20998,12807
1112,20998,12808
1113,20998,12809
1114,20998,12810
1115,20998,12811
1116,20998,12812
1117,20999,12765
1118,20999,12766
1119,20999,12767
1120,20999,12768
1121,20999,12769
1122,20999,12770
1123,20999,12771
1124,20999,12772
1125,20999,12773
1126,20999,12774
1127,20999,12775
1128,20999,12776
1129,20999,12777
1130,20999,12778
1131,20999,12779
1132,20999,12780
1133,20999,12781
1134,20999,12782
1135,20999,12783
1136,20999,12784
1137,20999,12785
1138,20999,12786
1139,20999,12787
1140,20999,12788
1141,20999,12789
1142,20999,12790
1143,20999,12791
1144,20999,12792
1145,20999,12793
1146,20999,12794
1147,20999,12795
1148,20999,12796
1149,20999,12797
1150,20999,12798
1151,20999,12799
1152,20999,12800
1153,20999,12801
1154,20999,12802
1155,20999,12803
1156,20999,12804
1157,20999,12805
1158,20999,12806
1159,20999,12807
1160,20999,12808
1161,20999,12809
1162,20999,12810
1163,20999,12811
1164,20999,12812
1165,20999,12813
1166,21000,12766
1167,21000,12767
1168,21000,12768
1169,21000,12769
1170,21000,12770
1171,21000,12771
1172,21000,12772
1173,21000,12773
1174,21000,12774
1175,21000,12775
1176,21000,12776
1177,21000,12777
1178,21000,12778
1179,21000,12779
1180,21000,12780
1181,21000,12781
1182,21000,12782
1183,21000,12783
1184,21000,12784
1185,21000,12785
1186,21000,12786
1187,21000,12787
1188,21000,12788
1189,21000,12789
1190,21000,12790
1191,21000,12791
1192,21000,12792
1193,21000,12793
1194,21000,12794
1195,21000,12795
1196,21000,12796
1197,21000,12797
1198,21000,12798
1199,21000,12799
1200,21000,12800
1201,21000,12801
1202,21000,12802
1203,21000,12803
1204,21000,12804
1205,21000,12805
1206,21000,12806
1207,21000,12807
1208,21000,12808
1209,21000,12809
1210,21000,12810
1211,21000,12811
1212,21000,12812
1213,21000,12813
1214,21000,12814
1215,21001,12766
1216,21001,12767
1217,21001,12768
1218,21001,12769
1219,21001,12770
1220,21001,12771
1221,21001,12772
1222,21001,12773
1223,21001,12774
1224,21001,12775
1225,21001,12776
1226,21001,12777
1227,21001,12778
1228,21001,12779
1229,21001,12780
1230,21001,12781
1231,21001,12782
1232,21001,12783
1233,21001,12784
1234,21001,12785
1235,21001,12786
1236,21001,12787
1237,21001,12788
1238,21001,12789
1239,21001,12790
1240,21001,12791
1241,21001,12792
1242,21001,12793
1243,21001,12794
1244,21001,12795
1245,21001,12796
1246,21001,12797
1247,21001,12798
1248,21001,12799
1249,21001,12800
1250,21001,12801
1251,21001,12802
1252,21001,12803
1253,21001,12804
1254,21001,12805
1255,21001,12806
1256,21001,12807
1257,21001,12808
1258,21001,12809
1259,21001,12810
1260,21001,12811
1261,21001,12812
1262,21001,12813
1263,21001,12814
1264,21002,12767
1265,21002,12768
1266,21002,12769
1267,21002,12770
1268,21002,12771
1269,21002,12772
1270,21002,12773
1271,21002,12774
1272,21002,12775
1273,21002,12776
1274,21002,12777
1275,21002,12778
1276,21002,12779
1277,21002,12780
1278,21002,12781
1279,21002,12782
1280,21002,12783
1281,21002,12784
1282,21002,12785
1283,21002,12786
1284,21002,12787
1285,21002,12788
1286,21002,12789
1287,21002,12790
1288,21002,12791
1289,21002,12792
1290,21002,12793
1291,21002,12794
1292,21002,12795
1293,21002,12796
1294,21002,12797
1295,21002,12798
1296,21002,12799
1297,21002,12800
1298,21002,12801
1299,21002,12802
1300,21002,12803
1301,21002,12804
1302,21002,12805
1303,21002,12806
1304,21002,12807
1305,21002,12808
1306,21002,12809
1307,21002,12810
1308,21002,12811
1309,21002,12812
1310,21002,12813
1311,21002,12814
1312,21002,12815
1313,21003,12767
1314,21003,12768
1315,21003,12769
1316,21003,12770
1317,21003,12771
1318,21003,12772
1319,21003,12773
1320,21003,12774
1321,21003,12775
1322,21003,12776
1323,21003,12777
1324,21003,12778
1325,21003,12779
1326,21003,12780
1327,21003,12781
1328,21003,12782
1329,21003,12783
1330,21003,12784
1331,21003,12785
1332,21003,12786
1333,21003,12787
1334,21003,12788
1335,21003,12789
1336,21003,12790
1337,21003,12791
1338,21003,12792
1339,21003,12793
1340,21003,12794
1341,21003,12795
1342,21003,12796
1343,21003,12797
1344,21003,12798
1345,21003,12799
1346,21003,12800
1347,21003,12801
1348,21003,12802
1349,21003,12803
1350,21003,12804
1351,21003,12805
1352,21003,12806
1353,21003,12807
1354,21003,12808
1355,21003,12809
1356,21003,12810
1357,21003,12811
1358,21003,12812
1359,21003,12813
1360,21003,12814
1361,21003,12815
1362,21003,12816
1363,21004,12767
1364,21004,12768
1365,21004,12769
1366,21004,12770
1367,21004,12771
1368,21004,12772
1369,21004,12773
1370,21004,12774
1371,21004,12775
1372,21004,12776
1373,21004,12777
1374,21004,12778
1375,21004,12779
1376,21004,12780
1377,21004,12781
1378,21004,12782
1379,21004,12783
1380,21004,12784
1381,21004,12785
1382,21004,12786
1383,21004,12787
1384,21004,12788
1385,21004,12789
1386,21004,12790
1387,21004,12791
1388,21004,12792
1389,21004,12793
1390,21004,12794
1391,21004,12795
1392,21004,12796
1393,21004,12797
1394,21004,12798
1395,21004,12799
1396,21004,12800
1397,21004,12801
1398,21004,12802
1399,21004,12803
1400,21004,12804
1401,21004,12805
1402,21004,12806
1403,21004,12807
1404,21004,12808
1405,21004,12809
1406,21004,12810
1407,21004,12811
1408,21004,12812
1409,21004,12813
1410,21004,12814
1411,21004,12815
1412,21004,12816
1413,21004,12817
1414,21005,12768
1415,21005,12769
1416,21005,12770
1417,21005,12771
1418,21005,12772
1419,21005,12773
1420,21005,12774
