,X,Y
0,21472,12716
1,21472,12729
2,21472,12730
3,21473,12716
4,21473,12717
5,21473,12718
6,21473,12719
7,21473,12720
8,21473,12721
9,21473,12722
10,21473,12723
11,21473,12724
12,21473,12725
13,21473,12726
14,21473,12727
15,21473,12728
16,21473,12729
17,21473,12730
18,21473,12731
19,21474,12715
20,21474,12716
21,21474,12717
22,21474,12718
23,21474,12719
24,21474,12720
25,21474,12721
26,21474,12722
27,21474,12723
28,21474,12724
29,21474,12725
30,21474,12726
31,21474,12727
32,21474,12728
33,21474,12729
34,21474,12730
35,21474,12731
36,21475,12715
37,21475,12716
38,21475,12717
39,21475,12718
40,21475,12719
41,21475,12720
42,21475,12721
43,21475,12722
44,21475,12723
45,21475,12724
46,21475,12725
47,21475,12726
48,21475,12727
49,21475,12728
50,21475,12729
51,21475,12730
52,21475,12731
53,21476,12714
54,21476,12715
55,21476,12716
56,21476,12717
57,21476,12718
58,21476,12719
59,21476,12720
60,21476,12721
61,21476,12722
62,21476,12723
63,21476,12724
64,21476,12725
65,21476,12726
66,21476,12727
67,21476,12728
68,21476,12729
69,21476,12730
70,21476,12731
71,21477,12714
72,21477,12715
73,21477,12716
74,21477,12717
75,21477,12718
76,21477,12719
77,21477,12720
78,21477,12721
79,21477,12722
80,21477,12723
81,21477,12724
82,21477,12725
83,21477,12726
84,21477,12727
85,21477,12728
86,21477,12729
87,21477,12730
88,21478,12714
89,21478,12715
90,21478,12716
91,21478,12717
92,21478,12718
93,21478,12719
94,21478,12720
95,21478,12721
96,21478,12722
97,21478,12723
98,21478,12724
99,21478,12725
100,21478,12726
101,21478,12727
102,21478,12728
103,21478,12729
104,21478,12730
105,21479,12713
106,21479,12714
107,21479,12715
108,21479,12716
109,21479,12717
110,21479,12718
111,21479,12719
112,21479,12720
113,21479,12721
114,21479,12722
115,21479,12723
116,21479,12724
117,21479,12725
118,21479,12726
119,21479,12727
120,21479,12728
121,21479,12729
122,21479,12753
123,21479,12754
124,21479,12755
125,21479,12756
126,21479,12757
127,21479,12758
128,21479,12759
129,21479,12760
130,21479,12761
131,21479,12762
132,21479,12763
133,21479,12764
134,21479,12765
135,21479,12766
136,21480,12706
137,21480,12707
138,21480,12713
139,21480,12714
140,21480,12715
141,21480,12716
142,21480,12717
143,21480,12718
144,21480,12719
145,21480,12720
146,21480,12721
147,21480,12722
148,21480,12723
149,21480,12724
150,21480,12725
151,21480,12726
152,21480,12727
153,21480,12728
154,21480,12740
155,21480,12753
156,21480,12754
157,21480,12755
158,21480,12756
159,21480,12757
160,21480,12758
161,21480,12759
162,21480,12760
163,21480,12761
164,21480,12762
165,21480,12763
166,21480,12764
167,21480,12765
168,21480,12766
169,21480,12767
170,21481,12702
171,21481,12703
172,21481,12704
173,21481,12705
174,21481,12706
175,21481,12707
176,21481,12708
177,21481,12709
178,21481,12710
179,21481,12712
180,21481,12713
181,21481,12714
182,21481,12715
183,21481,12716
184,21481,12717
185,21481,12718
186,21481,12719
187,21481,12720
188,21481,12721
189,21481,12722
190,21481,12723
191,21481,12724
192,21481,12725
193,21481,12726
194,21481,12727
195,21481,12728
196,21481,12739
197,21481,12740
198,21481,12741
199,21481,12753
200,21481,12754
201,21481,12755
202,21481,12756
203,21481,12757
204,21481,12758
205,21481,12759
206,21481,12760
207,21481,12761
208,21481,12762
209,21481,12763
210,21481,12764
211,21481,12765
212,21481,12766
213,21481,12767
214,21481,12768
215,21481,12769
216,21481,12770
217,21481,12771
218,21482,12700
219,21482,12701
220,21482,12702
221,21482,12703
222,21482,12704
223,21482,12705
224,21482,12706
225,21482,12707
226,21482,12708
227,21482,12709
228,21482,12710
229,21482,12711
230,21482,12712
231,21482,12713
232,21482,12714
233,21482,12715
234,21482,12716
235,21482,12717
236,21482,12718
237,21482,12719
238,21482,12720
239,21482,12721
240,21482,12722
241,21482,12723
242,21482,12724
243,21482,12725
244,21482,12726
245,21482,12727
246,21482,12728
247,21482,12729
248,21482,12738
249,21482,12739
250,21482,12740
251,21482,12741
252,21482,12750
253,21482,12751
254,21482,12752
255,21482,12753
256,21482,12754
257,21482,12755
258,21482,12756
259,21482,12757
260,21482,12758
261,21482,12759
262,21482,12760
263,21482,12761
264,21482,12762
265,21482,12763
266,21482,12764
267,21482,12765
268,21482,12766
269,21482,12767
270,21482,12768
271,21482,12769
272,21482,12770
273,21482,12771
274,21482,12772
275,21482,12773
276,21483,12698
277,21483,12699
278,21483,12700
279,21483,12701
280,21483,12702
281,21483,12703
282,21483,12704
283,21483,12705
284,21483,12706
285,21483,12707
286,21483,12708
287,21483,12709
288,21483,12710
289,21483,12711
290,21483,12712
291,21483,12713
292,21483,12714
293,21483,12715
294,21483,12716
295,21483,12717
296,21483,12718
297,21483,12719
298,21483,12720
299,21483,12721
300,21483,12722
301,21483,12723
302,21483,12724
303,21483,12725
304,21483,12726
305,21483,12727
306,21483,12728
307,21483,12729
308,21483,12730
309,21483,12738
310,21483,12739
311,21483,12740
312,21483,12741
313,21483,12744
314,21483,12745
315,21483,12746
316,21483,12748
317,21483,12749
318,21483,12750
319,21483,12751
320,21483,12752
321,21483,12753
322,21483,12754
323,21483,12755
324,21483,12756
325,21483,12757
326,21483,12758
327,21483,12759
328,21483,12760
329,21483,12761
330,21483,12762
331,21483,12763
332,21483,12764
333,21483,12765
334,21483,12766
335,21483,12767
336,21483,12768
337,21483,12769
338,21483,12770
339,21483,12771
340,21483,12772
341,21483,12773
342,21484,12697
343,21484,12698
344,21484,12699
345,21484,12700
346,21484,12701
347,21484,12702
348,21484,12703
349,21484,12704
350,21484,12705
351,21484,12706
352,21484,12707
353,21484,12708
354,21484,12709
355,21484,12710
356,21484,12711
357,21484,12712
358,21484,12713
359,21484,12714
360,21484,12715
361,21484,12716
362,21484,12717
363,21484,12718
364,21484,12719
365,21484,12720
366,21484,12721
367,21484,12722
368,21484,12723
369,21484,12724
370,21484,12725
371,21484,12726
372,21484,12727
373,21484,12728
374,21484,12729
375,21484,12730
376,21484,12731
377,21484,12732
378,21484,12737
379,21484,12738
380,21484,12739
381,21484,12740
382,21484,12741
383,21484,12742
384,21484,12743
385,21484,12744
386,21484,12745
387,21484,12746
388,21484,12747
389,21484,12748
390,21484,12749
391,21484,12750
392,21484,12751
393,21484,12752
394,21484,12753
395,21484,12754
396,21484,12755
397,21484,12756
398,21484,12757
399,21484,12758
400,21484,12759
401,21484,12760
402,21484,12761
403,21484,12762
404,21484,12763
405,21484,12764
406,21484,12765
407,21484,12766
408,21484,12767
409,21484,12768
410,21484,12769
411,21484,12770
412,21484,12771
413,21484,12772
414,21485,12695
415,21485,12696
416,21485,12697
417,21485,12698
418,21485,12699
419,21485,12700
420,21485,12701
421,21485,12702
422,21485,12703
423,21485,12704
424,21485,12705
425,21485,12706
426,21485,12707
427,21485,12708
428,21485,12709
429,21485,12710
430,21485,12711
431,21485,12712
432,21485,12713
433,21485,12714
434,21485,12715
435,21485,12716
436,21485,12717
437,21485,12718
438,21485,12719
439,21485,12720
440,21485,12721
441,21485,12722
442,21485,12723
443,21485,12724
444,21485,12725
445,21485,12726
446,21485,12727
447,21485,12728
448,21485,12729
449,21485,12730
450,21485,12731
451,21485,12732
452,21485,12733
453,21485,12734
454,21485,12737
455,21485,12738
456,21485,12739
457,21485,12740
458,21485,12741
459,21485,12742
460,21485,12743
461,21485,12744
462,21485,12745
463,21485,12746
464,21485,12747
465,21485,12748
466,21485,12749
467,21485,12750
468,21485,12751
469,21485,12752
