,X,Y
0,21102,13027
1,21102,13028
2,21102,13029
3,21102,13030
4,21102,13031
5,21102,13032
6,21102,13033
7,21102,13034
8,21103,13026
9,21103,13027
10,21103,13028
11,21103,13029
12,21103,13030
13,21103,13031
14,21103,13032
15,21103,13033
16,21103,13034
17,21103,13035
18,21104,13024
19,21104,13025
20,21104,13026
21,21104,13027
22,21104,13028
23,21104,13029
24,21104,13030
25,21104,13031
26,21104,13032
27,21104,13033
28,21104,13034
29,21104,13035
30,21104,13036
31,21105,12947
32,21105,12948
33,21105,12949
34,21105,13022
35,21105,13023
36,21105,13024
37,21105,13025
38,21105,13026
39,21105,13027
40,21105,13028
41,21105,13029
42,21105,13030
43,21105,13031
44,21105,13032
45,21105,13033
46,21105,13034
47,21105,13035
48,21105,13036
49,21106,12945
50,21106,12946
51,21106,12947
52,21106,12948
53,21106,12949
54,21106,12950
55,21106,12951
56,21106,13019
57,21106,13020
58,21106,13021
59,21106,13022
60,21106,13023
61,21106,13024
62,21106,13025
63,21106,13026
64,21106,13027
65,21106,13028
66,21106,13029
67,21106,13030
68,21106,13031
69,21106,13032
70,21106,13033
71,21106,13034
72,21106,13035
73,21106,13036
74,21106,13037
75,21107,12944
76,21107,12945
77,21107,12946
78,21107,12947
79,21107,12948
80,21107,12949
81,21107,12950
82,21107,12951
83,21107,12952
84,21107,12953
85,21107,13016
86,21107,13017
87,21107,13018
88,21107,13019
89,21107,13020
90,21107,13021
91,21107,13022
92,21107,13023
93,21107,13024
94,21107,13025
95,21107,13026
96,21107,13027
97,21107,13028
98,21107,13029
99,21107,13030
100,21107,13031
101,21107,13032
102,21107,13033
103,21107,13034
104,21107,13035
105,21107,13036
106,21107,13037
107,21108,12942
108,21108,12943
109,21108,12944
110,21108,12945
111,21108,12946
112,21108,12947
113,21108,12948
114,21108,12949
115,21108,12950
116,21108,12951
117,21108,12952
118,21108,12953
119,21108,12954
120,21108,13013
121,21108,13014
122,21108,13015
123,21108,13016
124,21108,13017
125,21108,13018
126,21108,13019
127,21108,13020
128,21108,13021
129,21108,13022
130,21108,13023
131,21108,13024
132,21108,13025
133,21108,13026
134,21108,13027
135,21108,13028
136,21108,13029
137,21108,13030
138,21108,13031
139,21108,13032
140,21108,13033
141,21108,13034
142,21108,13035
143,21108,13036
144,21108,13037
145,21109,12921
146,21109,12922
147,21109,12923
148,21109,12928
149,21109,12929
150,21109,12930
151,21109,12931
152,21109,12932
153,21109,12933
154,21109,12934
155,21109,12940
156,21109,12941
157,21109,12942
158,21109,12943
159,21109,12944
160,21109,12945
161,21109,12946
162,21109,12947
163,21109,12948
164,21109,12949
165,21109,12950
166,21109,12951
167,21109,12952
168,21109,12953
169,21109,12954
170,21109,12955
171,21109,12956
172,21109,13010
173,21109,13011
174,21109,13012
175,21109,13013
176,21109,13014
177,21109,13015
178,21109,13016
179,21109,13017
180,21109,13018
181,21109,13019
182,21109,13020
183,21109,13021
184,21109,13022
185,21109,13023
186,21109,13024
187,21109,13025
188,21109,13026
189,21109,13027
190,21109,13028
191,21109,13029
192,21109,13030
193,21109,13031
194,21109,13032
195,21109,13033
196,21109,13034
197,21109,13035
198,21109,13036
199,21109,13037
200,21109,13038
201,21110,12916
202,21110,12917
203,21110,12918
204,21110,12919
205,21110,12920
206,21110,12921
207,21110,12922
208,21110,12923
209,21110,12924
210,21110,12925
211,21110,12926
212,21110,12927
