,X,Y
0,21738,13803
1,21738,13804
2,21738,13805
3,21738,13806
4,21739,13795
5,21739,13796
6,21739,13797
7,21739,13798
8,21739,13799
9,21739,13800
10,21739,13801
11,21739,13802
12,21739,13803
13,21739,13804
14,21739,13805
15,21739,13806
16,21739,13807
17,21739,13808
18,21739,13809
19,21739,13810
20,21739,13811
21,21739,13812
22,21739,13813
23,21739,13814
24,21739,13815
25,21739,13816
26,21739,13817
27,21740,13789
28,21740,13790
29,21740,13791
30,21740,13792
31,21740,13793
32,21740,13794
33,21740,13795
34,21740,13796
35,21740,13797
36,21740,13798
37,21740,13799
38,21740,13800
39,21740,13801
40,21740,13802
41,21740,13803
42,21740,13804
43,21740,13805
44,21740,13806
45,21740,13807
46,21740,13808
47,21740,13809
48,21740,13810
49,21740,13811
50,21740,13812
51,21740,13813
52,21740,13814
53,21740,13815
54,21740,13816
55,21740,13817
56,21740,13818
57,21740,13819
58,21740,13820
59,21740,13842
60,21740,13843
61,21740,13844
62,21740,13845
63,21740,13846
64,21740,13847
65,21740,13882
66,21740,13883
67,21740,13884
68,21741,13785
69,21741,13786
70,21741,13787
71,21741,13788
72,21741,13789
73,21741,13790
74,21741,13791
75,21741,13792
76,21741,13793
77,21741,13794
78,21741,13795
79,21741,13796
80,21741,13797
81,21741,13798
82,21741,13799
83,21741,13800
84,21741,13801
85,21741,13802
86,21741,13803
87,21741,13804
88,21741,13805
89,21741,13806
90,21741,13807
91,21741,13808
92,21741,13809
93,21741,13810
94,21741,13811
95,21741,13812
96,21741,13813
97,21741,13814
98,21741,13815
99,21741,13816
100,21741,13817
101,21741,13818
102,21741,13819
103,21741,13820
104,21741,13821
105,21741,13822
106,21741,13823
107,21741,13839
108,21741,13840
109,21741,13841
110,21741,13842
111,21741,13843
112,21741,13844
113,21741,13845
114,21741,13846
115,21741,13847
116,21741,13848
117,21741,13882
118,21741,13883
119,21741,13884
120,21741,13885
121,21741,13886
122,21742,13780
123,21742,13781
124,21742,13782
125,21742,13783
126,21742,13784
127,21742,13785
128,21742,13786
129,21742,13787
130,21742,13788
131,21742,13789
132,21742,13790
133,21742,13791
134,21742,13792
135,21742,13793
136,21742,13794
137,21742,13795
138,21742,13796
139,21742,13797
140,21742,13798
141,21742,13799
142,21742,13800
143,21742,13801
144,21742,13802
145,21742,13803
146,21742,13804
147,21742,13805
148,21742,13806
149,21742,13807
150,21742,13808
151,21742,13809
152,21742,13810
153,21742,13811
154,21742,13812
155,21742,13813
156,21742,13814
157,21742,13815
158,21742,13816
159,21742,13817
160,21742,13818
