,X,Y
0,21425,13158
1,21425,13159
2,21426,13156
3,21426,13157
4,21426,13158
5,21426,13159
6,21426,13160
7,21427,13154
8,21427,13155
9,21427,13156
10,21427,13157
11,21427,13158
12,21427,13159
13,21427,13160
14,21427,13161
15,21428,13153
16,21428,13154
17,21428,13155
18,21428,13156
19,21428,13157
20,21428,13158
21,21428,13159
22,21428,13160
23,21428,13161
24,21428,13162
25,21429,13151
26,21429,13152
27,21429,13153
28,21429,13154
29,21429,13155
30,21429,13156
31,21429,13157
32,21429,13158
33,21429,13159
34,21429,13160
35,21429,13161
36,21429,13162
37,21429,13163
38,21430,13150
39,21430,13151
40,21430,13152
41,21430,13153
42,21430,13154
43,21430,13155
44,21430,13156
45,21430,13157
46,21430,13158
47,21430,13159
48,21430,13160
49,21430,13161
50,21430,13162
51,21430,13163
52,21430,13164
53,21430,13165
54,21431,13148
55,21431,13149
56,21431,13150
57,21431,13151
58,21431,13152
59,21431,13153
60,21431,13154
61,21431,13155
62,21431,13156
63,21431,13157
64,21431,13158
65,21431,13159
66,21431,13160
67,21431,13161
68,21431,13162
69,21431,13163
70,21431,13164
71,21431,13165
72,21431,13166
73,21432,13146
74,21432,13147
75,21432,13148
76,21432,13149
77,21432,13150
78,21432,13151
79,21432,13152
80,21432,13153
81,21432,13154
82,21432,13155
83,21432,13156
84,21432,13157
85,21432,13158
86,21432,13159
87,21432,13160
88,21432,13161
89,21432,13162
90,21432,13163
91,21432,13164
92,21432,13165
93,21432,13166
94,21432,13167
95,21433,13062
96,21433,13063
97,21433,13064
98,21433,13065
99,21433,13066
100,21433,13067
101,21433,13068
102,21433,13069
103,21433,13070
104,21433,13071
105,21433,13072
106,21433,13073
107,21433,13074
108,21433,13075
109,21433,13076
110,21433,13077
111,21433,13145
112,21433,13146
113,21433,13147
114,21433,13148
115,21433,13149
116,21433,13150
117,21433,13151
118,21433,13152
119,21433,13153
120,21433,13154
121,21433,13155
122,21433,13156
123,21433,13157
124,21433,13158
125,21433,13159
126,21433,13160
127,21433,13161
128,21433,13162
129,21433,13163
130,21433,13164
131,21433,13165
132,21433,13166
133,21433,13167
134,21433,13168
135,21434,13062
136,21434,13063
137,21434,13064
138,21434,13065
139,21434,13066
140,21434,13067
141,21434,13068
142,21434,13069
143,21434,13070
144,21434,13071
145,21434,13072
146,21434,13073
147,21434,13074
148,21434,13075
149,21434,13076
150,21434,13077
151,21434,13078
152,21434,13079
153,21434,13080
154,21434,13081
155,21434,13082
156,21434,13083
157,21434,13084
158,21434,13085
159,21434,13086
160,21434,13087
161,21434,13088
162,21434,13089
163,21434,13090
164,21434,13091
165,21434,13092
166,21434,13093
167,21434,13094
168,21434,13095
169,21434,13096
170,21434,13097
171,21434,13098
172,21434,13099
173,21434,13100
174,21434,13101
175,21434,13102
176,21434,13103
177,21434,13104
178,21434,13105
179,21434,13106
180,21434,13107
181,21434,13108
182,21434,13109
183,21434,13110
184,21434,13111
185,21434,13112
186,21434,13113
187,21434,13114
188,21434,13115
