,X,Y
0,20677,12777
1,20677,12778
2,20678,12777
3,20678,12778
4,20678,12779
5,20679,12777
6,20679,12778
7,20679,12779
8,20679,12780
9,20679,12781
10,20680,12775
11,20680,12776
12,20680,12777
13,20680,12778
14,20680,12779
15,20680,12780
16,20680,12781
17,20680,12782
18,20680,12783
19,20680,12784
20,20681,12774
21,20681,12775
22,20681,12776
23,20681,12777
24,20681,12778
25,20681,12779
26,20681,12780
27,20681,12781
28,20681,12782
29,20681,12783
30,20681,12784
31,20681,12785
32,20682,12773
33,20682,12774
34,20682,12775
35,20682,12776
36,20682,12777
37,20682,12778
38,20682,12779
39,20682,12780
40,20682,12781
41,20682,12782
42,20682,12783
43,20682,12784
44,20682,12785
45,20683,12772
46,20683,12773
47,20683,12774
48,20683,12775
49,20683,12776
50,20683,12777
51,20683,12778
52,20683,12779
53,20683,12780
54,20683,12781
55,20683,12782
56,20683,12783
57,20683,12784
58,20683,12785
59,20683,12786
60,20684,12770
61,20684,12771
62,20684,12772
63,20684,12773
64,20684,12774
65,20684,12775
66,20684,12776
67,20684,12777
68,20684,12778
69,20684,12779
70,20684,12780
71,20684,12781
72,20684,12782
73,20684,12783
74,20684,12784
75,20684,12785
76,20684,12786
77,20684,12787
78,20685,12769
79,20685,12770
80,20685,12771
81,20685,12772
82,20685,12773
83,20685,12774
84,20685,12775
85,20685,12776
86,20685,12777
87,20685,12778
88,20685,12779
89,20685,12780
90,20685,12781
91,20685,12782
92,20685,12783
93,20685,12784
94,20685,12785
95,20685,12786
96,20685,12787
97,20686,12768
98,20686,12769
99,20686,12770
100,20686,12771
101,20686,12772
102,20686,12773
103,20686,12774
104,20686,12775
105,20686,12776
106,20686,12777
107,20686,12778
108,20686,12779
109,20686,12780
110,20686,12781
111,20686,12782
112,20686,12783
113,20686,12784
114,20686,12785
115,20686,12786
116,20686,12787
117,20686,12788
118,20687,12768
119,20687,12769
120,20687,12770
121,20687,12771
122,20687,12772
123,20687,12773
124,20687,12774
125,20687,12775
126,20687,12776
127,20687,12777
128,20687,12778
129,20687,12779
130,20687,12780
131,20687,12781
132,20687,12782
133,20687,12783
134,20687,12784
135,20687,12785
136,20687,12786
137,20687,12787
138,20687,12788
139,20687,12789
140,20688,12767
141,20688,12768
142,20688,12769
143,20688,12770
144,20688,12771
145,20688,12772
146,20688,12773
147,20688,12774
148,20688,12775
149,20688,12776
150,20688,12777
151,20688,12778
152,20688,12779
153,20688,12780
154,20688,12781
155,20688,12782
156,20688,12783
157,20688,12784
158,20688,12785
159,20688,12786
160,20688,12787
161,20688,12788
162,20688,12789
163,20688,12790
164,20688,12791
165,20689,12765
166,20689,12766
167,20689,12767
168,20689,12768
169,20689,12769
170,20689,12770
171,20689,12771
172,20689,12772
173,20689,12773
174,20689,12774
175,20689,12775
176,20689,12776
177,20689,12777
178,20689,12778
179,20689,12779
180,20689,12780
181,20689,12781
182,20689,12782
183,20689,12783
184,20689,12784
185,20689,12785
186,20689,12786
187,20689,12787
188,20689,12788
189,20689,12789
190,20689,12790
191,20689,12791
192,20689,12792
193,20689,12793
194,20689,12794
195,20690,12765
196,20690,12766
197,20690,12767
198,20690,12768
199,20690,12769
200,20690,12770
201,20690,12771
202,20690,12772
203,20690,12773
204,20690,12774
205,20690,12775
206,20690,12776
207,20690,12777
208,20690,12778
209,20690,12779
210,20690,12780
211,20690,12781
212,20690,12782
213,20690,12783
214,20690,12784
215,20690,12785
216,20690,12786
217,20690,12787
218,20690,12788
219,20690,12789
220,20690,12790
221,20690,12791
222,20690,12792
223,20690,12793
224,20690,12794
225,20690,12795
226,20690,12796
227,20691,12764
228,20691,12765
229,20691,12766
230,20691,12767
231,20691,12768
232,20691,12769
233,20691,12770
234,20691,12771
235,20691,12772
236,20691,12773
237,20691,12774
238,20691,12775
239,20691,12776
240,20691,12777
241,20691,12778
242,20691,12779
243,20691,12780
244,20691,12781
245,20691,12782
246,20691,12783
247,20691,12784
248,20691,12785
249,20691,12786
250,20691,12787
251,20691,12788
252,20691,12789
253,20691,12790
254,20691,12791
255,20691,12792
256,20691,12793
257,20691,12794
258,20691,12795
259,20691,12796
260,20691,12797
261,20691,12798
262,20692,12763
263,20692,12764
264,20692,12765
265,20692,12766
266,20692,12767
267,20692,12768
268,20692,12769
269,20692,12770
270,20692,12771
271,20692,12772
272,20692,12773
273,20692,12774
274,20692,12775
275,20692,12776
276,20692,12777
277,20692,12778
278,20692,12779
279,20692,12780
280,20692,12781
281,20692,12782
282,20692,12783
283,20692,12784
284,20692,12785
285,20692,12786
286,20692,12787
287,20692,12788
288,20692,12789
289,20692,12790
290,20692,12791
291,20692,12792
292,20692,12793
293,20692,12794
294,20692,12795
295,20692,12796
296,20692,12797
297,20692,12798
298,20692,12799
299,20692,12800
300,20692,12801
301,20692,12802
302,20692,12803
303,20692,12804
304,20692,12805
305,20692,12806
306,20693,12762
307,20693,12763
308,20693,12764
309,20693,12765
310,20693,12766
311,20693,12767
312,20693,12768
313,20693,12769
314,20693,12770
315,20693,12771
316,20693,12772
317,20693,12773
318,20693,12774
319,20693,12775
320,20693,12776
321,20693,12777
322,20693,12778
323,20693,12779
324,20693,12780
325,20693,12781
326,20693,12782
327,20693,12783
328,20693,12784
329,20693,12785
330,20693,12786
331,20693,12787
332,20693,12788
333,20693,12789
334,20693,12790
335,20693,12791
336,20693,12792
337,20693,12793
338,20693,12794
339,20693,12795
340,20693,12796
341,20693,12797
342,20693,12798
343,20693,12799
344,20693,12800
345,20693,12801
346,20693,12802
347,20693,12803
348,20693,12804
349,20693,12805
350,20693,12806
351,20693,12807
352,20693,12808
353,20693,12809
354,20694,12762
355,20694,12763
356,20694,12764
357,20694,12765
358,20694,12766
359,20694,12767
360,20694,12768
361,20694,12769
362,20694,12770
363,20694,12771
364,20694,12772
365,20694,12773
366,20694,12774
367,20694,12775
368,20694,12776
369,20694,12777
370,20694,12778
371,20694,12779
372,20694,12780
373,20694,12781
374,20694,12782
375,20694,12783
376,20694,12784
377,20694,12785
378,20694,12786
379,20694,12787
380,20694,12788
381,20694,12789
382,20694,12790
383,20694,12791
384,20694,12792
385,20694,12793
386,20694,12794
387,20694,12795
388,20694,12796
389,20694,12797
390,20694,12798
391,20694,12799
392,20694,12800
393,20694,12801
394,20694,12802
395,20694,12803
396,20694,12804
397,20694,12805
398,20694,12806
399,20694,12807
400,20694,12808
401,20694,12809
402,20694,12810
403,20694,12811
404,20694,12812
405,20694,12813
406,20694,12814
407,20694,12815
408,20695,12761
409,20695,12762
410,20695,12763
411,20695,12764
412,20695,12765
413,20695,12766
414,20695,12767
415,20695,12768
416,20695,12769
417,20695,12770
418,20695,12771
419,20695,12772
420,20695,12773
421,20695,12774
422,20695,12775
423,20695,12776
424,20695,12777
425,20695,12778
426,20695,12779
427,20695,12780
428,20695,12781
429,20695,12782
430,20695,12783
431,20695,12784
432,20695,12785
433,20695,12786
434,20695,12787
435,20695,12788
436,20695,12789
437,20695,12790
438,20695,12791
439,20695,12792
440,20695,12793
441,20695,12794
442,20695,12795
443,20695,12796
444,20695,12797
445,20695,12798
446,20695,12799
447,20695,12800
448,20695,12801
449,20695,12802
450,20695,12803
451,20695,12804
452,20695,12805
453,20695,12806
454,20695,12807
455,20695,12808
456,20695,12809
457,20695,12810
458,20695,12811
459,20695,12812
460,20695,12813
461,20695,12814
462,20695,12815
463,20695,12816
464,20695,12817
465,20695,12818
466,20696,12760
467,20696,12761
468,20696,12762
469,20696,12763
470,20696,12764
471,20696,12765
472,20696,12766
473,20696,12767
474,20696,12768
475,20696,12769
476,20696,12770
477,20696,12771
478,20696,12772
479,20696,12773
480,20696,12774
481,20696,12775
482,20696,12776
483,20696,12777
484,20696,12778
485,20696,12779
486,20696,12780
487,20696,12781
488,20696,12782
489,20696,12783
490,20696,12784
491,20696,12785
492,20696,12786
493,20696,12787
494,20696,12788
495,20696,12789
496,20696,12790
497,20696,12791
498,20696,12792
499,20696,12793
500,20696,12794
501,20696,12795
502,20696,12796
503,20696,12797
504,20696,12798
505,20696,12799
506,20696,12800
507,20696,12801
508,20696,12802
509,20696,12803
510,20696,12804
511,20696,12805
512,20696,12806
513,20696,12807
514,20696,12808
515,20696,12809
516,20696,12810
517,20696,12811
518,20696,12812
519,20696,12813
520,20696,12814
521,20696,12815
522,20696,12816
523,20696,12817
524,20696,12818
525,20696,12819
526,20697,12760
527,20697,12761
528,20697,12762
529,20697,12763
530,20697,12764
531,20697,12765
532,20697,12766
533,20697,12767
534,20697,12768
535,20697,12769
536,20697,12770
537,20697,12771
538,20697,12772
539,20697,12773
540,20697,12774
541,20697,12775
542,20697,12776
543,20697,12777
544,20697,12778
545,20697,12779
546,20697,12780
547,20697,12781
548,20697,12782
549,20697,12783
550,20697,12784
551,20697,12785
552,20697,12786
553,20697,12787
554,20697,12788
555,20697,12789
556,20697,12790
557,20697,12791
558,20697,12792
559,20697,12793
560,20697,12794
561,20697,12795
562,20697,12796
563,20697,12797
564,20697,12798
565,20697,12799
566,20697,12800
567,20697,12801
568,20697,12802
569,20697,12803
570,20697,12804
571,20697,12805
572,20697,12806
573,20697,12807
574,20697,12808
575,20697,12809
576,20697,12810
577,20697,12811
578,20697,12812
579,20697,12813
580,20697,12814
581,20697,12815
582,20697,12816
583,20697,12817
584,20697,12818
585,20697,12819
586,20697,12820
587,20698,12760
588,20698,12761
589,20698,12762
590,20698,12763
591,20698,12764
592,20698,12765
593,20698,12766
594,20698,12767
595,20698,12768
596,20698,12769
597,20698,12770
598,20698,12771
599,20698,12772
600,20698,12773
601,20698,12774
602,20698,12775
603,20698,12776
604,20698,12777
605,20698,12778
606,20698,12779
607,20698,12780
608,20698,12781
609,20698,12782
610,20698,12783
611,20698,12784
612,20698,12785
613,20698,12786
614,20698,12787
615,20698,12788
616,20698,12789
617,20698,12790
618,20698,12791
619,20698,12792
620,20698,12793
621,20698,12794
622,20698,12795
623,20698,12796
624,20698,12797
625,20698,12798
626,20698,12799
627,20698,12800
628,20698,12801
629,20698,12802
630,20698,12803
631,20698,12804
632,20698,12805
633,20698,12806
634,20698,12807
635,20698,12808
636,20698,12809
637,20698,12810
638,20698,12811
639,20698,12812
640,20698,12813
641,20698,12814
642,20698,12815
643,20698,12816
644,20698,12817
645,20698,12818
646,20698,12819
647,20698,12820
648,20698,12821
649,20699,12759
650,20699,12760
651,20699,12761
652,20699,12762
653,20699,12763
654,20699,12764
655,20699,12765
656,20699,12766
657,20699,12767
658,20699,12768
659,20699,12769
660,20699,12770
661,20699,12771
662,20699,12772
663,20699,12773
664,20699,12774
665,20699,12775
666,20699,12776
667,20699,12777
668,20699,12778
669,20699,12779
670,20699,12780
671,20699,12781
672,20699,12782
673,20699,12783
674,20699,12784
675,20699,12785
676,20699,12786
677,20699,12787
678,20699,12788
679,20699,12789
680,20699,12790
681,20699,12791
682,20699,12792
683,20699,12793
684,20699,12794
685,20699,12795
686,20699,12796
687,20699,12797
688,20699,12798
689,20699,12799
690,20699,12800
691,20699,12801
692,20699,12802
693,20699,12803
694,20699,12804
695,20699,12805
696,20699,12806
697,20699,12807
698,20699,12808
699,20699,12809
700,20699,12810
701,20699,12811
702,20699,12812
703,20699,12813
704,20699,12814
705,20699,12815
706,20699,12816
707,20699,12817
708,20699,12818
709,20699,12819
710,20699,12820
711,20699,12821
712,20700,12759
713,20700,12760
714,20700,12761
715,20700,12762
716,20700,12763
717,20700,12764
718,20700,12765
719,20700,12766
720,20700,12767
721,20700,12768
722,20700,12769
723,20700,12770
724,20700,12771
725,20700,12772
726,20700,12773
727,20700,12774
728,20700,12775
729,20700,12776
730,20700,12777
731,20700,12778
732,20700,12779
733,20700,12780
734,20700,12781
735,20700,12782
736,20700,12783
737,20700,12784
738,20700,12785
739,20700,12786
740,20700,12787
741,20700,12788
742,20700,12789
743,20700,12790
744,20700,12791
745,20700,12792
746,20700,12793
747,20700,12794
748,20700,12795
749,20700,12796
750,20700,12797
751,20700,12798
752,20700,12799
753,20700,12800
754,20700,12801
755,20700,12802
756,20700,12803
757,20700,12804
758,20700,12805
759,20700,12806
760,20700,12807
761,20700,12808
762,20700,12809
763,20700,12810
764,20700,12811
765,20700,12812
766,20700,12813
767,20700,12814
768,20700,12815
769,20700,12816
770,20700,12817
771,20700,12818
772,20700,12819
773,20700,12820
774,20700,12821
775,20701,12758
776,20701,12759
777,20701,12760
778,20701,12761
779,20701,12762
780,20701,12763
781,20701,12764
782,20701,12765
783,20701,12766
784,20701,12767
785,20701,12768
786,20701,12769
787,20701,12770
788,20701,12771
789,20701,12772
790,20701,12773
791,20701,12774
792,20701,12775
793,20701,12776
794,20701,12777
795,20701,12778
796,20701,12779
797,20701,12780
798,20701,12781
799,20701,12782
800,20701,12783
801,20701,12784
802,20701,12785
803,20701,12786
804,20701,12787
805,20701,12788
806,20701,12789
807,20701,12790
808,20701,12791
809,20701,12792
810,20701,12793
811,20701,12794
812,20701,12795
813,20701,12796
814,20701,12797
815,20701,12798
816,20701,12799
817,20701,12800
818,20701,12801
819,20701,12802
820,20701,12803
821,20701,12804
822,20701,12805
823,20701,12806
824,20701,12807
825,20701,12808
826,20701,12809
827,20701,12810
828,20701,12811
829,20701,12812
830,20701,12813
831,20701,12814
832,20701,12815
833,20701,12816
834,20701,12817
835,20701,12818
836,20701,12819
837,20701,12820
838,20701,12821
839,20702,12756
840,20702,12757
841,20702,12758
842,20702,12759
843,20702,12760
844,20702,12761
845,20702,12762
846,20702,12763
847,20702,12764
848,20702,12765
849,20702,12766
850,20702,12767
851,20702,12768
852,20702,12769
853,20702,12770
854,20702,12771
855,20702,12772
856,20702,12773
857,20702,12774
858,20702,12775
859,20702,12776
860,20702,12777
861,20702,12778
862,20702,12779
863,20702,12780
864,20702,12781
865,20702,12782
866,20702,12783
867,20702,12784
868,20702,12785
869,20702,12786
870,20702,12787
871,20702,12788
872,20702,12789
873,20702,12790
874,20702,12791
875,20702,12792
876,20702,12793
877,20702,12794
878,20702,12795
879,20702,12796
880,20702,12797
881,20702,12798
882,20702,12799
883,20702,12800
884,20702,12801
885,20702,12802
886,20702,12803
887,20702,12804
888,20702,12805
889,20702,12806
890,20702,12807
891,20702,12808
892,20702,12809
893,20702,12810
894,20702,12811
895,20702,12812
896,20702,12813
897,20702,12814
898,20702,12815
899,20702,12816
900,20702,12817
901,20702,12818
902,20702,12819
903,20702,12820
904,20703,12756
905,20703,12757
906,20703,12758
907,20703,12759
908,20703,12760
909,20703,12761
910,20703,12762
911,20703,12763
912,20703,12764
913,20703,12765
914,20703,12766
915,20703,12767
916,20703,12768
917,20703,12769
918,20703,12770
919,20703,12771
920,20703,12772
921,20703,12773
922,20703,12774
923,20703,12775
924,20703,12776
925,20703,12777
926,20703,12778
927,20703,12779
928,20703,12780
929,20703,12781
930,20703,12782
931,20703,12783
932,20703,12784
933,20703,12785
934,20703,12786
935,20703,12787
936,20703,12788
937,20703,12789
938,20703,12790
939,20703,12791
940,20703,12792
941,20703,12793
942,20703,12794
943,20703,12795
944,20703,12796
945,20703,12797
946,20703,12798
947,20703,12799
948,20703,12800
949,20703,12801
950,20703,12802
951,20703,12803
952,20703,12804
953,20703,12805
954,20703,12806
955,20703,12807
956,20703,12808
957,20703,12809
958,20703,12810
959,20703,12811
960,20703,12812
961,20703,12813
962,20703,12814
963,20703,12815
964,20703,12816
965,20703,12817
966,20703,12818
967,20703,12819
968,20703,12820
969,20704,12755
970,20704,12756
971,20704,12757
972,20704,12758
973,20704,12759
974,20704,12760
975,20704,12761
976,20704,12762
977,20704,12763
978,20704,12764
979,20704,12765
980,20704,12766
981,20704,12767
982,20704,12768
983,20704,12769
984,20704,12770
985,20704,12771
986,20704,12772
987,20704,12773
988,20704,12774
989,20704,12775
990,20704,12776
991,20704,12777
992,20704,12778
993,20704,12779
994,20704,12780
995,20704,12781
996,20704,12782
997,20704,12783
998,20704,12784
999,20704,12785
1000,20704,12786
1001,20704,12787
1002,20704,12788
1003,20704,12789
1004,20704,12790
1005,20704,12791
1006,20704,12792
1007,20704,12793
1008,20704,12794
1009,20704,12795
1010,20704,12796
1011,20704,12797
1012,20704,12798
1013,20704,12799
1014,20704,12800
1015,20704,12801
1016,20704,12802
1017,20704,12803
1018,20704,12804
1019,20704,12805
1020,20704,12806
1021,20704,12807
1022,20704,12808
1023,20704,12809
1024,20704,12810
1025,20704,12811
1026,20704,12812
1027,20704,12813
1028,20704,12814
1029,20704,12815
1030,20704,12816
1031,20704,12817
1032,20704,12818
1033,20704,12819
1034,20705,12754
1035,20705,12755
1036,20705,12756
1037,20705,12757
1038,20705,12758
1039,20705,12759
1040,20705,12760
1041,20705,12761
1042,20705,12762
1043,20705,12763
1044,20705,12764
1045,20705,12765
1046,20705,12766
1047,20705,12767
1048,20705,12768
1049,20705,12769
1050,20705,12770
1051,20705,12771
1052,20705,12772
1053,20705,12773
1054,20705,12774
1055,20705,12775
1056,20705,12776
1057,20705,12777
1058,20705,12778
1059,20705,12779
1060,20705,12780
1061,20705,12781
1062,20705,12782
1063,20705,12783
1064,20705,12784
1065,20705,12785
1066,20705,12786
1067,20705,12787
1068,20705,12788
1069,20705,12789
1070,20705,12790
1071,20705,12791
1072,20705,12792
1073,20705,12793
1074,20705,12794
1075,20705,12795
