,X,Y
0,41901,25820
1,41901,25821
2,41901,25822
3,41901,25823
4,41901,25824
5,41902,25819
6,41902,25820
7,41902,25821
8,41902,25822
9,41902,25823
10,41902,25824
11,41902,25825
12,41902,25826
13,41903,25819
14,41903,25820
15,41903,25821
16,41903,25822
17,41903,25823
18,41903,25824
19,41903,25825
20,41903,25826
21,41903,25827
22,41904,25819
23,41904,25820
24,41904,25821
25,41904,25822
26,41904,25823
27,41904,25824
28,41904,25825
29,41904,25826
30,41904,25827
31,41904,25828
32,41905,25818
33,41905,25819
34,41905,25820
35,41905,25821
36,41905,25822
37,41905,25823
38,41905,25824
39,41905,25825
40,41905,25826
41,41905,25827
42,41905,25828
43,41905,25829
44,41906,25818
45,41906,25819
46,41906,25820
47,41906,25821
48,41906,25822
49,41906,25823
50,41906,25824
51,41906,25825
52,41906,25826
53,41906,25827
54,41906,25828
55,41906,25829
56,41907,25818
57,41907,25819
58,41907,25820
59,41907,25821
60,41907,25822
61,41907,25823
62,41907,25824
63,41907,25825
64,41907,25826
65,41907,25827
66,41907,25828
67,41907,25829
68,41907,25830
69,41908,25818
70,41908,25819
71,41908,25820
72,41908,25821
73,41908,25822
74,41908,25823
75,41908,25824
76,41908,25825
77,41908,25826
78,41908,25827
79,41908,25828
80,41908,25829
81,41908,25830
82,41908,25831
83,41909,25818
84,41909,25819
85,41909,25820
86,41909,25821
87,41909,25822
88,41909,25823
89,41909,25824
90,41909,25825
91,41909,25826
92,41909,25827
93,41909,25828
94,41909,25829
95,41909,25830
96,41909,25831
97,41909,25832
98,41910,25818
99,41910,25819
100,41910,25820
101,41910,25821
102,41910,25822
103,41910,25823
104,41910,25824
105,41910,25825
106,41910,25826
107,41910,25827
108,41910,25828
109,41910,25829
110,41910,25830
111,41910,25831
112,41910,25832
113,41910,25833
114,41911,25817
115,41911,25818
116,41911,25819
117,41911,25820
118,41911,25821
119,41911,25822
120,41911,25823
121,41911,25824
122,41911,25825
123,41911,25826
124,41911,25827
125,41911,25828
126,41911,25829
127,41911,25830
128,41911,25831
129,41911,25832
130,41911,25833
131,41912,25817
132,41912,25818
133,41912,25819
134,41912,25820
135,41912,25821
136,41912,25822
137,41912,25823
138,41912,25824
139,41912,25825
140,41912,25826
141,41912,25827
142,41912,25828
143,41912,25829
144,41912,25830
145,41912,25831
146,41912,25832
147,41912,25833
148,41912,25834
149,41912,25835
150,41913,25816
151,41913,25817
152,41913,25818
153,41913,25819
154,41913,25820
155,41913,25821
156,41913,25822
157,41913,25823
158,41913,25824
159,41913,25825
160,41913,25826
161,41913,25827
162,41913,25828
163,41913,25829
164,41913,25830
165,41913,25831
166,41913,25832
167,41913,25833
168,41913,25834
169,41913,25835
170,41913,25836
171,41914,25816
172,41914,25817
173,41914,25818
174,41914,25819
175,41914,25820
176,41914,25821
177,41914,25822
178,41914,25823
179,41914,25824
180,41914,25825
181,41914,25826
182,41914,25827
183,41914,25828
184,41914,25829
185,41914,25830
186,41914,25831
187,41914,25832
188,41914,25833
189,41914,25834
190,41914,25835
191,41915,25797
192,41915,25798
193,41915,25799
194,41915,25800
195,41915,25801
196,41915,25802
197,41915,25803
198,41915,25804
199,41915,25805
200,41915,25806
201,41915,25807
202,41915,25808
203,41915,25809
204,41915,25810
205,41915,25811
206,41915,25812
207,41915,25813
208,41915,25814
209,41915,25815
210,41915,25816
211,41915,25817
212,41915,25818
213,41915,25819
214,41915,25820
215,41915,25821
216,41915,25822
217,41915,25823
218,41915,25824
219,41915,25825
220,41915,25826
221,41915,25827
222,41915,25828
223,41915,25829
224,41915,25830
225,41915,25831
226,41915,25832
227,41915,25833
228,41915,25834
229,41915,25835
230,41916,25779
231,41916,25780
232,41916,25781
233,41916,25782
234,41916,25783
235,41916,25784
236,41916,25785
237,41916,25786
238,41916,25787
239,41916,25788
240,41916,25789
241,41916,25790
242,41916,25791
243,41916,25792
244,41916,25793
245,41916,25794
246,41916,25795
247,41916,25796
248,41916,25797
249,41916,25798
250,41916,25799
251,41916,25800
252,41916,25801
253,41916,25802
254,41916,25803
255,41916,25804
256,41916,25805
257,41916,25806
258,41916,25807
259,41916,25808
260,41916,25809
261,41916,25810
262,41916,25811
263,41916,25812
264,41916,25813
265,41916,25814
266,41916,25815
267,41916,25816
268,41916,25817
269,41916,25818
270,41916,25819
271,41916,25820
272,41916,25821
273,41916,25822
274,41916,25823
275,41916,25824
276,41916,25825
277,41916,25826
278,41916,25827
279,41916,25828
280,41916,25829
281,41916,25830
282,41916,25831
283,41916,25832
284,41916,25833
285,41916,25834
286,41917,25778
287,41917,25779
288,41917,25780
289,41917,25781
290,41917,25782
291,41917,25783
292,41917,25784
293,41917,25785
294,41917,25786
295,41917,25787
296,41917,25788
297,41917,25789
298,41917,25790
299,41917,25791
300,41917,25792
301,41917,25793
302,41917,25794
303,41917,25795
304,41917,25796
305,41917,25797
306,41917,25798
307,41917,25799
308,41917,25800
309,41917,25801
310,41917,25802
311,41917,25803
312,41917,25804
313,41917,25805
314,41917,25806
315,41917,25807
316,41917,25808
317,41917,25809
318,41917,25810
319,41917,25811
320,41917,25812
321,41917,25813
322,41917,25814
323,41917,25815
324,41917,25816
325,41917,25817
326,41917,25818
327,41917,25819
328,41917,25820
329,41917,25821
330,41917,25822
331,41917,25823
332,41917,25824
333,41917,25825
334,41917,25826
335,41917,25827
336,41917,25828
337,41917,25829
338,41917,25830
339,41917,25831
340,41917,25832
341,41917,25833
342,41917,25834
343,41918,25778
344,41918,25779
345,41918,25780
346,41918,25781
347,41918,25782
348,41918,25783
349,41918,25784
350,41918,25785
351,41918,25786
352,41918,25787
353,41918,25788
354,41918,25789
355,41918,25790
356,41918,25791
357,41918,25792
358,41918,25793
359,41918,25794
360,41918,25795
361,41918,25796
362,41918,25797
363,41918,25798
364,41918,25799
365,41918,25800
366,41918,25801
367,41918,25802
368,41918,25803
369,41918,25804
370,41918,25805
371,41918,25806
372,41918,25807
373,41918,25808
374,41918,25809
375,41918,25810
376,41918,25811
377,41918,25812
378,41918,25813
379,41918,25814
380,41918,25815
381,41918,25816
382,41918,25817
383,41918,25818
384,41918,25819
385,41918,25820
386,41918,25821
387,41918,25822
388,41918,25823
389,41918,25824
390,41918,25825
391,41918,25826
392,41918,25827
393,41918,25828
394,41918,25829
395,41918,25830
396,41918,25831
397,41918,25832
398,41918,25833
399,41919,25778
400,41919,25779
401,41919,25780
402,41919,25781
403,41919,25782
404,41919,25783
405,41919,25784
406,41919,25785
407,41919,25786
408,41919,25787
409,41919,25788
410,41919,25789
411,41919,25790
412,41919,25791
413,41919,25792
414,41919,25793
415,41919,25794
416,41919,25795
417,41919,25796
418,41919,25797
419,41919,25798
420,41919,25799
421,41919,25800
422,41919,25801
423,41919,25802
424,41919,25803
425,41919,25804
426,41919,25805
427,41919,25806
428,41919,25807
429,41919,25808
430,41919,25809
431,41919,25810
432,41919,25811
433,41919,25812
434,41919,25813
435,41919,25814
436,41919,25815
437,41919,25816
438,41919,25817
439,41919,25818
440,41919,25819
441,41919,25820
442,41919,25821
443,41919,25822
444,41919,25823
445,41919,25824
446,41919,25825
447,41919,25826
448,41919,25827
449,41919,25828
450,41919,25829
451,41919,25830
452,41919,25831
453,41919,25832
454,41919,25833
455,41920,25777
456,41920,25778
457,41920,25779
458,41920,25780
459,41920,25781
460,41920,25782
461,41920,25783
462,41920,25784
463,41920,25785
464,41920,25786
465,41920,25787
466,41920,25788
467,41920,25789
468,41920,25790
469,41920,25791
470,41920,25792
471,41920,25793
472,41920,25794
473,41920,25795
474,41920,25796
475,41920,25797
476,41920,25798
477,41920,25799
478,41920,25800
479,41920,25801
480,41920,25802
481,41920,25803
482,41920,25804
483,41920,25805
484,41920,25806
485,41920,25807
486,41920,25808
487,41920,25809
488,41920,25810
489,41920,25811
490,41920,25812
491,41920,25813
492,41920,25814
493,41920,25815
494,41920,25816
495,41920,25817
496,41920,25818
497,41920,25819
498,41920,25820
499,41920,25821
500,41920,25822
501,41920,25823
502,41920,25824
503,41920,25825
504,41920,25826
505,41920,25827
506,41920,25828
507,41920,25829
508,41920,25830
509,41920,25831
510,41920,25832
511,41920,25833
512,41921,25777
513,41921,25778
514,41921,25779
515,41921,25780
516,41921,25781
517,41921,25782
518,41921,25783
519,41921,25784
520,41921,25785
521,41921,25786
522,41921,25787
523,41921,25788
524,41921,25789
525,41921,25790
526,41921,25791
527,41921,25792
528,41921,25793
529,41921,25794
530,41921,25795
531,41921,25796
532,41921,25797
533,41921,25798
534,41921,25799
535,41921,25800
536,41921,25801
537,41921,25802
538,41921,25803
539,41921,25804
540,41921,25805
541,41921,25806
542,41921,25807
543,41921,25808
544,41921,25809
545,41921,25810
546,41921,25811
547,41921,25812
548,41921,25813
549,41921,25814
550,41921,25815
551,41921,25816
552,41921,25817
553,41921,25818
554,41921,25819
555,41921,25820
556,41921,25821
557,41921,25822
558,41921,25823
559,41921,25824
560,41921,25825
561,41921,25826
562,41921,25827
563,41921,25828
564,41921,25829
565,41921,25830
566,41921,25831
567,41921,25832
568,41922,25777
569,41922,25778
570,41922,25779
571,41922,25780
572,41922,25781
573,41922,25782
574,41922,25783
575,41922,25784
576,41922,25785
577,41922,25786
578,41922,25787
579,41922,25788
580,41922,25789
581,41922,25790
582,41922,25791
583,41922,25792
584,41922,25793
585,41922,25794
586,41922,25795
587,41922,25796
588,41922,25797
589,41922,25798
590,41922,25799
591,41922,25800
592,41922,25801
593,41922,25802
594,41922,25803
595,41922,25804
596,41922,25805
597,41922,25806
598,41922,25807
599,41922,25808
600,41922,25809
601,41922,25810
602,41922,25811
603,41922,25812
604,41922,25813
605,41922,25814
606,41922,25815
607,41922,25816
608,41922,25817
609,41922,25818
610,41922,25819
611,41922,25820
612,41922,25821
613,41922,25822
614,41922,25823
615,41922,25824
616,41922,25825
617,41922,25826
618,41922,25827
619,41922,25828
620,41922,25829
621,41922,25830
622,41922,25831
623,41922,25832
624,41923,25776
625,41923,25777
626,41923,25778
627,41923,25779
628,41923,25780
629,41923,25781
630,41923,25782
631,41923,25783
632,41923,25784
633,41923,25785
634,41923,25786
635,41923,25787
636,41923,25788
637,41923,25789
638,41923,25790
639,41923,25791
640,41923,25792
641,41923,25793
642,41923,25794
643,41923,25795
644,41923,25796
645,41923,25797
646,41923,25798
647,41923,25799
648,41923,25800
649,41923,25801
650,41923,25802
651,41923,25803
652,41923,25804
653,41923,25805
654,41923,25806
655,41923,25807
656,41923,25808
657,41923,25809
658,41923,25810
659,41923,25811
660,41923,25812
661,41923,25813
662,41923,25814
663,41923,25815
664,41923,25816
665,41923,25817
666,41923,25818
667,41923,25819
668,41923,25820
669,41923,25821
670,41923,25822
671,41923,25823
672,41923,25824
673,41923,25825
674,41923,25826
675,41923,25827
676,41923,25828
677,41923,25829
678,41923,25830
679,41923,25831
680,41923,25832
681,41924,25776
682,41924,25777
683,41924,25778
684,41924,25779
685,41924,25780
686,41924,25781
687,41924,25782
688,41924,25783
689,41924,25784
690,41924,25785
691,41924,25786
692,41924,25787
693,41924,25788
694,41924,25789
695,41924,25790
696,41924,25791
697,41924,25792
698,41924,25793
699,41924,25794
700,41924,25795
701,41924,25796
702,41924,25797
703,41924,25798
704,41924,25799
705,41924,25800
706,41924,25801
707,41924,25802
708,41924,25803
709,41924,25804
710,41924,25805
711,41924,25806
712,41924,25807
713,41924,25808
714,41924,25809
715,41924,25810
716,41924,25811
717,41924,25812
718,41924,25813
719,41924,25814
720,41924,25815
721,41924,25816
722,41924,25817
723,41924,25818
724,41924,25819
725,41924,25820
726,41924,25821
727,41924,25822
728,41924,25823
729,41924,25824
730,41924,25825
731,41924,25826
732,41924,25827
733,41924,25828
734,41924,25829
735,41924,25830
736,41924,25831
737,41924,25832
738,41925,25775
739,41925,25776
740,41925,25777
741,41925,25778
742,41925,25779
743,41925,25780
744,41925,25781
745,41925,25782
746,41925,25783
747,41925,25784
748,41925,25785
749,41925,25786
750,41925,25787
751,41925,25788
752,41925,25789
753,41925,25790
754,41925,25791
755,41925,25792
756,41925,25793
757,41925,25794
758,41925,25795
759,41925,25796
760,41925,25797
761,41925,25798
762,41925,25799
763,41925,25800
764,41925,25801
765,41925,25802
766,41925,25803
767,41925,25804
768,41925,25805
769,41925,25806
770,41925,25807
771,41925,25808
772,41925,25809
773,41925,25810
774,41925,25811
775,41925,25812
776,41925,25813
777,41925,25814
778,41925,25815
779,41925,25816
780,41925,25817
781,41925,25818
782,41925,25819
783,41925,25820
784,41925,25821
785,41925,25822
786,41925,25823
787,41925,25824
788,41925,25825
789,41925,25826
790,41925,25827
791,41925,25828
792,41925,25829
793,41925,25830
794,41925,25831
795,41925,25832
796,41926,25773
797,41926,25774
798,41926,25775
799,41926,25776
800,41926,25777
801,41926,25778
802,41926,25779
803,41926,25780
804,41926,25781
805,41926,25782
806,41926,25783
807,41926,25784
808,41926,25785
809,41926,25786
810,41926,25787
811,41926,25788
812,41926,25789
813,41926,25790
814,41926,25791
815,41926,25792
816,41926,25793
817,41926,25794
818,41926,25795
819,41926,25796
820,41926,25797
821,41926,25798
822,41926,25799
823,41926,25800
824,41926,25801
825,41926,25802
826,41926,25803
827,41926,25804
828,41926,25805
829,41926,25806
830,41926,25807
831,41926,25808
832,41926,25809
833,41926,25810
834,41926,25811
835,41926,25812
836,41926,25813
837,41926,25814
838,41926,25815
839,41926,25816
840,41926,25817
841,41926,25818
842,41926,25819
843,41926,25820
844,41926,25821
845,41926,25822
846,41926,25823
847,41926,25824
848,41926,25825
849,41926,25826
850,41926,25827
851,41926,25828
852,41926,25829
853,41926,25830
854,41926,25831
855,41927,25772
856,41927,25773
857,41927,25774
858,41927,25775
859,41927,25776
860,41927,25777
861,41927,25778
862,41927,25779
863,41927,25780
864,41927,25781
865,41927,25782
866,41927,25783
867,41927,25784
868,41927,25785
869,41927,25786
870,41927,25787
871,41927,25788
872,41927,25789
873,41927,25790
874,41927,25791
875,41927,25792
876,41927,25793
877,41927,25794
878,41927,25795
879,41927,25796
880,41927,25797
881,41927,25798
882,41927,25799
883,41927,25800
884,41927,25801
885,41927,25802
886,41927,25803
887,41927,25804
888,41927,25805
889,41927,25806
890,41927,25807
891,41927,25808
892,41927,25809
893,41927,25810
894,41927,25811
895,41927,25812
896,41927,25813
897,41927,25814
898,41927,25815
899,41927,25816
900,41927,25817
901,41927,25818
902,41927,25819
903,41927,25820
904,41927,25821
905,41927,25822
906,41927,25823
907,41927,25824
908,41927,25825
909,41927,25826
910,41927,25827
911,41927,25828
912,41927,25829
913,41927,25830
914,41927,25831
915,41928,25771
916,41928,25772
917,41928,25773
918,41928,25774
919,41928,25775
920,41928,25776
921,41928,25777
922,41928,25778
923,41928,25779
924,41928,25780
925,41928,25781
926,41928,25782
927,41928,25783
928,41928,25784
929,41928,25785
930,41928,25786
931,41928,25787
932,41928,25788
933,41928,25789
934,41928,25790
935,41928,25791
936,41928,25792
937,41928,25793
938,41928,25794
939,41928,25795
940,41928,25796
941,41928,25797
942,41928,25798
943,41928,25799
944,41928,25800
945,41928,25801
946,41928,25802
947,41928,25803
948,41928,25804
949,41928,25805
950,41928,25806
951,41928,25807
952,41928,25808
953,41928,25809
954,41928,25810
955,41928,25811
956,41928,25812
957,41928,25813
958,41928,25814
959,41928,25815
960,41928,25816
961,41928,25817
962,41928,25818
963,41928,25819
964,41928,25820
965,41928,25821
966,41928,25822
967,41928,25823
968,41928,25824
969,41928,25825
970,41928,25826
971,41928,25827
972,41928,25828
973,41928,25829
974,41928,25830
975,41928,25831
976,41929,25770
977,41929,25771
978,41929,25772
979,41929,25773
980,41929,25774
981,41929,25775
982,41929,25776
983,41929,25777
984,41929,25778
985,41929,25779
986,41929,25780
987,41929,25781
988,41929,25782
989,41929,25783
990,41929,25784
991,41929,25785
992,41929,25786
993,41929,25787
994,41929,25788
995,41929,25789
996,41929,25790
997,41929,25791
998,41929,25792
999,41929,25793
1000,41929,25794
1001,41929,25795
1002,41929,25796
1003,41929,25797
1004,41929,25798
1005,41929,25799
1006,41929,25800
1007,41929,25801
1008,41929,25802
1009,41929,25803
1010,41929,25804
1011,41929,25805
1012,41929,25806
1013,41929,25807
1014,41929,25808
1015,41929,25809
1016,41929,25810
1017,41929,25811
1018,41929,25812
1019,41929,25813
1020,41929,25814
1021,41929,25815
1022,41929,25816
1023,41929,25817
1024,41929,25818
1025,41929,25819
1026,41929,25820
1027,41929,25821
1028,41929,25822
1029,41929,25823
1030,41929,25824
1031,41929,25825
1032,41929,25826
1033,41929,25827
1034,41929,25828
1035,41929,25829
1036,41929,25830
1037,41929,25831
1038,41930,25768
1039,41930,25769
1040,41930,25770
1041,41930,25771
1042,41930,25772
1043,41930,25773
1044,41930,25774
1045,41930,25775
1046,41930,25776
1047,41930,25777
1048,41930,25778
1049,41930,25779
1050,41930,25780
1051,41930,25781
1052,41930,25782
1053,41930,25783
1054,41930,25784
1055,41930,25785
1056,41930,25786
1057,41930,25787
1058,41930,25788
1059,41930,25789
1060,41930,25790
1061,41930,25791
1062,41930,25792
1063,41930,25793
1064,41930,25794
1065,41930,25795
1066,41930,25796
1067,41930,25797
1068,41930,25798
1069,41930,25799
1070,41930,25800
1071,41930,25801
1072,41930,25802
1073,41930,25803
1074,41930,25804
1075,41930,25805
1076,41930,25806
1077,41930,25807
1078,41930,25808
1079,41930,25809
1080,41930,25810
1081,41930,25811
1082,41930,25812
1083,41930,25813
1084,41930,25814
1085,41930,25815
1086,41930,25816
1087,41930,25817
1088,41930,25818
1089,41930,25819
1090,41930,25820
1091,41930,25821
1092,41930,25822
1093,41930,25823
1094,41930,25824
1095,41930,25825
1096,41930,25826
