,X,Y
0,41377,25203
1,41377,25204
2,41377,25205
3,41377,25206
4,41377,25207
5,41377,25208
6,41378,25202
7,41378,25203
8,41378,25204
9,41378,25205
10,41378,25206
11,41378,25207
12,41378,25208
13,41379,25201
14,41379,25202
15,41379,25203
16,41379,25204
17,41379,25205
18,41379,25206
19,41379,25207
20,41379,25208
21,41379,25209
22,41380,25201
23,41380,25202
24,41380,25203
25,41380,25204
26,41380,25205
27,41380,25206
28,41380,25207
29,41380,25208
30,41380,25209
31,41381,25201
32,41381,25202
33,41381,25203
34,41381,25204
35,41381,25205
36,41381,25206
37,41381,25207
38,41381,25208
39,41381,25209
40,41381,25210
41,41382,25200
42,41382,25201
43,41382,25202
44,41382,25203
45,41382,25204
46,41382,25205
47,41382,25206
48,41382,25207
49,41382,25208
50,41382,25209
51,41382,25210
52,41383,25200
53,41383,25201
54,41383,25202
55,41383,25203
56,41383,25204
57,41383,25205
58,41383,25206
59,41383,25207
60,41383,25208
61,41383,25209
62,41383,25210
63,41384,25199
64,41384,25200
65,41384,25201
66,41384,25202
67,41384,25203
68,41384,25204
69,41384,25205
70,41384,25206
71,41384,25207
72,41384,25208
73,41384,25209
74,41384,25210
75,41384,25211
76,41385,25198
77,41385,25199
78,41385,25200
79,41385,25201
80,41385,25202
81,41385,25203
82,41385,25204
83,41385,25205
84,41385,25206
85,41385,25207
86,41385,25208
87,41385,25209
88,41385,25210
89,41385,25211
90,41385,25212
91,41386,25198
92,41386,25199
93,41386,25200
94,41386,25201
95,41386,25202
96,41386,25203
97,41386,25204
98,41386,25205
99,41386,25206
100,41386,25207
101,41386,25208
102,41386,25209
103,41386,25210
104,41386,25211
105,41386,25212
106,41387,25197
107,41387,25198
108,41387,25199
109,41387,25200
110,41387,25201
111,41387,25202
112,41387,25203
113,41387,25204
114,41387,25205
115,41387,25206
116,41387,25207
117,41387,25208
118,41387,25209
119,41387,25210
120,41387,25211
121,41387,25212
122,41387,25213
123,41388,25196
124,41388,25197
125,41388,25198
126,41388,25199
127,41388,25200
128,41388,25201
129,41388,25202
130,41388,25203
131,41388,25204
132,41388,25205
133,41388,25206
134,41388,25207
135,41388,25208
136,41388,25209
137,41388,25210
