,X,Y
0,41892,27006
1,41892,27007
2,41892,27008
3,41892,27009
4,41893,27005
5,41893,27006
6,41893,27007
7,41893,27008
8,41893,27009
9,41893,27010
10,41893,27013
11,41894,27004
12,41894,27005
13,41894,27006
14,41894,27007
15,41894,27008
16,41894,27009
17,41894,27010
18,41894,27011
19,41894,27012
20,41894,27013
21,41895,27003
22,41895,27004
23,41895,27005
24,41895,27006
25,41895,27007
26,41895,27008
27,41895,27009
28,41895,27010
29,41895,27011
30,41895,27012
31,41895,27013
32,41895,27017
33,41896,27001
34,41896,27002
35,41896,27003
36,41896,27004
37,41896,27005
38,41896,27006
39,41896,27007
40,41896,27008
41,41896,27009
42,41896,27010
43,41896,27011
44,41896,27012
45,41896,27013
46,41896,27014
47,41896,27015
48,41896,27016
49,41896,27017
50,41896,27018
51,41896,27019
52,41897,27000
53,41897,27001
54,41897,27002
55,41897,27003
56,41897,27004
57,41897,27005
58,41897,27006
59,41897,27007
60,41897,27008
61,41897,27009
62,41897,27010
63,41897,27011
64,41897,27012
65,41897,27013
66,41897,27014
67,41897,27015
68,41897,27016
69,41897,27017
70,41897,27018
71,41897,27019
72,41897,27020
73,41897,27021
74,41898,26999
75,41898,27000
76,41898,27001
77,41898,27002
78,41898,27003
79,41898,27004
80,41898,27005
81,41898,27006
82,41898,27007
83,41898,27008
84,41898,27009
85,41898,27010
86,41898,27011
87,41898,27012
88,41898,27013
89,41898,27014
90,41898,27015
91,41898,27016
92,41898,27017
93,41898,27018
94,41898,27019
95,41898,27020
96,41898,27021
97,41898,27022
98,41898,27023
99,41898,27026
100,41898,27027
101,41899,26997
102,41899,26998
103,41899,26999
104,41899,27000
105,41899,27001
106,41899,27002
107,41899,27003
108,41899,27004
109,41899,27005
110,41899,27006
111,41899,27007
112,41899,27008
113,41899,27009
114,41899,27010
115,41899,27011
116,41899,27012
117,41899,27013
118,41899,27014
119,41899,27015
120,41899,27016
121,41899,27017
122,41899,27018
123,41899,27019
124,41899,27020
125,41899,27021
126,41899,27022
127,41899,27023
128,41899,27026
129,41899,27027
130,41899,27028
131,41899,27048
132,41899,27050
133,41899,27051
134,41900,26995
135,41900,26996
136,41900,26997
137,41900,26998
138,41900,26999
139,41900,27000
140,41900,27001
141,41900,27002
142,41900,27003
143,41900,27004
144,41900,27005
145,41900,27006
146,41900,27007
147,41900,27008
148,41900,27009
149,41900,27010
150,41900,27011
151,41900,27012
152,41900,27013
153,41900,27014
154,41900,27015
155,41900,27016
156,41900,27017
157,41900,27018
158,41900,27019
159,41900,27020
160,41900,27021
161,41900,27022
162,41900,27023
163,41900,27024
164,41900,27025
165,41900,27026
166,41900,27027
167,41900,27028
168,41900,27046
169,41900,27047
170,41900,27048
171,41900,27049
172,41900,27050
173,41900,27051
174,41901,26993
175,41901,26994
176,41901,26995
177,41901,26996
178,41901,26997
179,41901,26998
180,41901,26999
181,41901,27000
182,41901,27001
183,41901,27002
184,41901,27003
185,41901,27004
186,41901,27005
187,41901,27006
188,41901,27007
189,41901,27008
190,41901,27009
191,41901,27010
192,41901,27011
193,41901,27012
194,41901,27013
195,41901,27014
196,41901,27015
197,41901,27016
198,41901,27017
199,41901,27018
200,41901,27019
201,41901,27020
202,41901,27021
203,41901,27022
204,41901,27023
205,41901,27024
206,41901,27025
207,41901,27026
208,41901,27027
209,41901,27031
210,41901,27032
211,41901,27033
212,41901,27034
213,41901,27035
214,41901,27036
215,41901,27037
216,41901,27038
217,41901,27039
218,41901,27040
219,41901,27041
220,41901,27042
221,41901,27043
222,41901,27044
223,41901,27045
224,41901,27046
225,41901,27047
226,41901,27048
227,41901,27049
228,41901,27050
229,41901,27051
230,41901,27052
231,41902,26991
232,41902,26992
233,41902,26993
234,41902,26994
235,41902,26995
236,41902,26996
237,41902,26997
238,41902,26998
239,41902,26999
240,41902,27000
241,41902,27001
242,41902,27002
243,41902,27003
244,41902,27004
245,41902,27005
246,41902,27006
247,41902,27007
248,41902,27008
249,41902,27009
250,41902,27010
251,41902,27011
252,41902,27012
253,41902,27013
254,41902,27014
255,41902,27015
256,41902,27016
257,41902,27017
258,41902,27018
259,41902,27019
260,41902,27020
261,41902,27021
262,41902,27022
263,41902,27023
264,41902,27024
265,41902,27025
266,41902,27026
267,41902,27027
268,41902,27028
269,41902,27029
270,41902,27030
271,41902,27031
272,41902,27032
273,41902,27033
274,41902,27034
275,41902,27035
276,41902,27036
277,41902,27037
278,41902,27038
279,41902,27039
280,41902,27040
281,41902,27041
282,41902,27042
283,41902,27043
284,41902,27044
