,X,Y
0,41780,26459
1,41780,26460
2,41780,26461
3,41780,26462
4,41781,26459
5,41781,26460
6,41781,26461
7,41781,26462
8,41781,26463
9,41782,26458
10,41782,26459
11,41782,26460
12,41782,26461
13,41782,26462
14,41782,26463
15,41782,26464
16,41783,26457
17,41783,26458
18,41783,26459
19,41783,26460
20,41783,26461
21,41783,26462
22,41783,26463
23,41783,26464
24,41783,26465
25,41783,26466
26,41784,26457
27,41784,26458
28,41784,26459
29,41784,26460
30,41784,26461
31,41784,26462
32,41784,26463
33,41784,26464
34,41784,26465
35,41784,26466
36,41784,26467
37,41785,26457
38,41785,26458
39,41785,26459
40,41785,26460
41,41785,26461
42,41785,26462
43,41785,26463
44,41785,26464
45,41785,26465
46,41785,26466
47,41785,26467
48,41785,26468
49,41786,26456
50,41786,26457
51,41786,26458
52,41786,26459
53,41786,26460
54,41786,26461
55,41786,26462
56,41786,26463
57,41786,26464
58,41786,26465
59,41786,26466
60,41786,26467
61,41786,26468
62,41786,26469
63,41787,26456
64,41787,26457
65,41787,26458
66,41787,26459
67,41787,26460
68,41787,26461
69,41787,26462
70,41787,26463
71,41787,26464
72,41787,26465
73,41787,26466
74,41787,26467
75,41787,26468
76,41787,26469
77,41787,26470
78,41788,26456
79,41788,26457
80,41788,26458
81,41788,26459
82,41788,26460
83,41788,26461
84,41788,26462
85,41788,26463
86,41788,26464
87,41788,26465
88,41788,26466
89,41788,26467
90,41788,26468
91,41788,26469
92,41788,26470
93,41788,26471
94,41789,26456
95,41789,26457
96,41789,26458
97,41789,26459
98,41789,26460
99,41789,26461
100,41789,26462
101,41789,26463
102,41789,26464
103,41789,26465
104,41789,26466
105,41789,26467
106,41789,26468
107,41789,26469
108,41789,26470
109,41789,26471
110,41789,26472
111,41790,26456
112,41790,26457
113,41790,26458
114,41790,26459
115,41790,26460
116,41790,26461
117,41790,26462
118,41790,26463
119,41790,26464
120,41790,26465
121,41790,26466
122,41790,26467
123,41790,26468
124,41790,26469
125,41790,26470
126,41790,26471
127,41790,26472
128,41790,26473
129,41790,26474
130,41791,26456
131,41791,26457
132,41791,26458
133,41791,26459
134,41791,26460
135,41791,26461
136,41791,26462
137,41791,26463
138,41791,26464
139,41791,26465
140,41791,26466
141,41791,26467
142,41791,26468
143,41791,26469
144,41791,26470
145,41791,26471
146,41791,26472
147,41791,26473
148,41791,26474
149,41791,26475
150,41792,26455
151,41792,26456
152,41792,26457
153,41792,26458
154,41792,26459
155,41792,26460
156,41792,26461
157,41792,26462
158,41792,26463
159,41792,26464
160,41792,26465
161,41792,26466
162,41792,26467
163,41792,26468
164,41792,26469
165,41792,26470
166,41792,26471
167,41792,26472
168,41792,26473
169,41792,26474
170,41792,26475
171,41792,26476
172,41793,26455
173,41793,26456
174,41793,26457
175,41793,26458
176,41793,26459
177,41793,26460
178,41793,26461
179,41793,26462
180,41793,26463
181,41793,26464
182,41793,26465
183,41793,26466
184,41793,26467
185,41793,26468
186,41793,26469
187,41793,26470
188,41793,26471
189,41793,26472
190,41793,26473
191,41793,26474
192,41793,26475
193,41793,26476
194,41793,26477
195,41793,26478
196,41794,26448
197,41794,26449
198,41794,26450
199,41794,26451
200,41794,26452
201,41794,26453
202,41794,26454
203,41794,26455
204,41794,26456
205,41794,26457
206,41794,26458
207,41794,26459
208,41794,26460
209,41794,26461
210,41794,26462
211,41794,26463
212,41794,26464
213,41794,26465
214,41794,26466
215,41794,26467
216,41794,26468
217,41794,26469
218,41794,26470
219,41794,26471
220,41794,26472
221,41794,26473
222,41794,26474
223,41794,26475
224,41794,26476
225,41794,26477
226,41794,26478
227,41794,26479
228,41794,26480
229,41795,26445
230,41795,26446
231,41795,26447
232,41795,26448
233,41795,26449
234,41795,26450
235,41795,26451
236,41795,26452
237,41795,26453
238,41795,26454
239,41795,26455
240,41795,26456
241,41795,26457
242,41795,26458
243,41795,26459
244,41795,26460
245,41795,26461
246,41795,26462
247,41795,26463
248,41795,26464
249,41795,26465
250,41795,26466
251,41795,26467
252,41795,26468
253,41795,26469
254,41795,26470
255,41795,26471
256,41795,26472
257,41795,26473
258,41795,26474
259,41795,26475
260,41795,26476
261,41795,26477
262,41795,26478
263,41795,26479
264,41795,26480
265,41795,26481
266,41796,26444
267,41796,26445
268,41796,26446
269,41796,26447
270,41796,26448
271,41796,26449
272,41796,26450
273,41796,26451
274,41796,26452
275,41796,26453
276,41796,26454
277,41796,26455
278,41796,26456
279,41796,26457
280,41796,26458
281,41796,26459
282,41796,26460
283,41796,26461
284,41796,26462
285,41796,26463
286,41796,26464
287,41796,26465
288,41796,26466
289,41796,26467
290,41796,26468
291,41796,26469
292,41796,26470
293,41796,26471
294,41796,26472
295,41796,26473
296,41796,26474
297,41796,26475
298,41796,26476
299,41796,26477
300,41796,26478
301,41796,26479
302,41796,26480
303,41796,26481
304,41796,26482
305,41797,26444
306,41797,26445
307,41797,26446
308,41797,26447
309,41797,26448
310,41797,26449
311,41797,26450
312,41797,26451
313,41797,26452
314,41797,26453
315,41797,26454
316,41797,26455
317,41797,26456
318,41797,26457
319,41797,26458
320,41797,26459
321,41797,26460
322,41797,26461
323,41797,26462
324,41797,26463
325,41797,26464
326,41797,26465
327,41797,26466
328,41797,26467
329,41797,26468
330,41797,26469
331,41797,26470
332,41797,26471
333,41797,26472
334,41797,26473
335,41797,26474
336,41797,26475
337,41797,26476
338,41797,26477
339,41797,26478
340,41797,26479
341,41797,26480
342,41797,26481
343,41797,26482
344,41797,26483
345,41798,26444
346,41798,26445
347,41798,26446
348,41798,26447
349,41798,26448
350,41798,26449
351,41798,26450
352,41798,26451
353,41798,26452
354,41798,26453
355,41798,26454
356,41798,26455
357,41798,26456
358,41798,26457
359,41798,26458
360,41798,26459
361,41798,26460
362,41798,26461
363,41798,26462
364,41798,26463
365,41798,26464
366,41798,26465
367,41798,26466
368,41798,26467
369,41798,26468
370,41798,26469
371,41798,26470
372,41798,26471
373,41798,26472
374,41798,26473
375,41798,26474
376,41798,26475
377,41798,26476
378,41798,26477
379,41798,26478
380,41798,26479
381,41798,26480
382,41798,26481
383,41798,26482
384,41798,26483
385,41798,26484
386,41799,26445
387,41799,26446
388,41799,26447
389,41799,26448
390,41799,26449
391,41799,26450
392,41799,26451
393,41799,26452
394,41799,26453
395,41799,26454
396,41799,26455
397,41799,26456
398,41799,26457
399,41799,26458
400,41799,26459
401,41799,26460
402,41799,26461
403,41799,26462
404,41799,26463
405,41799,26464
406,41799,26465
407,41799,26466
408,41799,26467
409,41799,26468
410,41799,26469
411,41799,26470
412,41799,26471
413,41799,26472
414,41799,26473
415,41799,26474
416,41799,26475
417,41799,26476
418,41799,26477
419,41799,26478
420,41799,26479
421,41799,26480
422,41799,26481
423,41799,26482
424,41799,26483
425,41799,26484
426,41799,26485
427,41800,26445
428,41800,26446
429,41800,26447
430,41800,26448
431,41800,26449
432,41800,26450
433,41800,26451
434,41800,26452
435,41800,26453
436,41800,26454
437,41800,26455
438,41800,26456
439,41800,26457
440,41800,26458
441,41800,26459
442,41800,26460
443,41800,26461
444,41800,26462
445,41800,26463
446,41800,26464
447,41800,26465
448,41800,26466
449,41800,26467
450,41800,26468
451,41800,26469
452,41800,26470
453,41800,26471
454,41800,26472
455,41800,26473
456,41800,26474
457,41800,26475
458,41800,26476
459,41800,26477
460,41800,26478
461,41800,26479
462,41800,26480
463,41800,26481
464,41800,26482
465,41800,26483
466,41800,26484
467,41800,26485
468,41800,26486
469,41801,26446
470,41801,26447
471,41801,26448
472,41801,26449
473,41801,26450
474,41801,26451
475,41801,26452
476,41801,26453
477,41801,26454
478,41801,26455
479,41801,26456
480,41801,26457
481,41801,26458
482,41801,26459
483,41801,26460
484,41801,26461
485,41801,26462
486,41801,26463
487,41801,26464
488,41801,26465
489,41801,26466
490,41801,26467
491,41801,26468
492,41801,26469
493,41801,26470
494,41801,26471
495,41801,26472
496,41801,26473
497,41801,26474
498,41801,26475
499,41801,26476
500,41801,26477
501,41801,26478
502,41801,26479
503,41801,26480
504,41801,26481
505,41801,26482
506,41801,26483
507,41801,26484
508,41801,26485
509,41801,26486
510,41801,26487
511,41802,26446
512,41802,26447
513,41802,26448
514,41802,26449
515,41802,26450
516,41802,26451
517,41802,26452
518,41802,26453
519,41802,26454
520,41802,26455
521,41802,26456
522,41802,26457
523,41802,26458
524,41802,26459
525,41802,26460
526,41802,26461
527,41802,26462
528,41802,26463
529,41802,26464
530,41802,26465
531,41802,26466
532,41802,26467
533,41802,26468
534,41802,26469
535,41802,26470
536,41802,26471
537,41802,26472
538,41802,26473
539,41802,26474
540,41802,26475
541,41802,26476
542,41802,26477
543,41802,26478
544,41802,26479
545,41802,26480
546,41802,26481
547,41802,26482
548,41802,26483
549,41802,26484
550,41802,26485
551,41802,26486
552,41802,26487
553,41802,26488
554,41803,26446
555,41803,26447
556,41803,26448
557,41803,26449
558,41803,26450
559,41803,26451
560,41803,26452
561,41803,26453
562,41803,26454
563,41803,26455
564,41803,26456
565,41803,26457
566,41803,26458
567,41803,26459
568,41803,26460
569,41803,26461
570,41803,26462
571,41803,26463
572,41803,26464
573,41803,26465
574,41803,26466
575,41803,26467
576,41803,26468
577,41803,26469
578,41803,26470
579,41803,26471
580,41803,26472
581,41803,26473
582,41803,26474
583,41803,26475
584,41803,26476
585,41803,26477
586,41803,26478
587,41803,26479
588,41803,26480
589,41803,26481
590,41803,26482
591,41803,26483
592,41803,26484
593,41803,26485
594,41803,26486
595,41803,26487
