,X,Y
0,40976,25201
1,40977,25200
2,40977,25201
3,40977,25202
4,40977,25203
5,40978,25198
6,40978,25199
7,40978,25200
8,40978,25201
9,40978,25202
10,40978,25203
11,40978,25204
12,40978,25205
13,40978,25206
14,40978,25207
15,40978,25208
16,40978,25209
17,40978,25210
18,40978,25211
19,40978,25212
20,40978,25213
21,40979,25197
22,40979,25198
23,40979,25199
24,40979,25200
25,40979,25201
26,40979,25202
27,40979,25203
28,40979,25204
29,40979,25205
30,40979,25206
31,40979,25207
32,40979,25208
33,40979,25209
34,40979,25210
35,40979,25211
36,40979,25212
37,40979,25213
38,40979,25214
39,40979,25215
40,40979,25216
41,40980,25196
42,40980,25197
43,40980,25198
44,40980,25199
45,40980,25200
46,40980,25201
47,40980,25202
48,40980,25203
49,40980,25204
50,40980,25205
51,40980,25206
52,40980,25207
53,40980,25208
54,40980,25209
55,40980,25210
56,40980,25211
57,40980,25212
58,40980,25213
59,40980,25214
60,40980,25215
61,40980,25216
62,40981,25195
63,40981,25196
64,40981,25197
65,40981,25198
66,40981,25199
67,40981,25200
68,40981,25201
69,40981,25202
70,40981,25203
71,40981,25204
72,40981,25205
73,40981,25206
74,40981,25207
75,40981,25208
76,40981,25209
77,40981,25210
78,40981,25211
79,40981,25212
80,40981,25213
81,40981,25214
82,40981,25215
83,40981,25216
84,40982,25194
85,40982,25195
86,40982,25196
87,40982,25197
88,40982,25198
89,40982,25199
90,40982,25200
91,40982,25201
92,40982,25202
93,40982,25203
94,40982,25204
95,40982,25205
96,40982,25206
97,40982,25207
98,40982,25208
99,40982,25209
100,40982,25210
101,40982,25211
102,40982,25212
103,40982,25213
104,40982,25214
105,40982,25215
106,40982,25216
107,40983,25193
108,40983,25194
109,40983,25195
110,40983,25196
111,40983,25197
112,40983,25198
113,40983,25199
114,40983,25200
115,40983,25201
116,40983,25202
117,40983,25203
118,40983,25204
119,40983,25205
120,40983,25206
121,40983,25207
122,40983,25208
123,40983,25209
124,40983,25210
125,40983,25211
126,40983,25212
127,40983,25213
128,40983,25214
129,40983,25215
130,40983,25216
131,40984,25192
132,40984,25193
133,40984,25194
134,40984,25195
135,40984,25196
136,40984,25197
137,40984,25198
138,40984,25199
139,40984,25200
140,40984,25201
141,40984,25202
142,40984,25203
143,40984,25204
144,40984,25205
145,40984,25206
146,40984,25207
147,40984,25208
148,40984,25209
149,40984,25210
150,40984,25211
151,40984,25212
152,40984,25213
153,40984,25214
154,40984,25215
155,40984,25216
156,40985,25192
157,40985,25193
158,40985,25194
159,40985,25195
160,40985,25196
161,40985,25197
162,40985,25198
163,40985,25199
164,40985,25200
165,40985,25201
166,40985,25202
167,40985,25203
168,40985,25204
169,40985,25205
170,40985,25206
171,40985,25207
172,40985,25208
173,40985,25209
174,40985,25210
175,40985,25211
176,40985,25212
177,40985,25213
178,40985,25214
179,40985,25215
180,40985,25216
181,40986,25191
182,40986,25192
183,40986,25193
184,40986,25194
185,40986,25195
186,40986,25196
187,40986,25197
188,40986,25198
189,40986,25199
190,40986,25200
191,40986,25201
192,40986,25202
193,40986,25203
194,40986,25204
195,40986,25205
196,40986,25206
197,40986,25207
198,40986,25208
199,40986,25209
200,40986,25210
201,40986,25211
202,40986,25212
203,40986,25213
204,40986,25214
205,40986,25215
206,40986,25216
207,40987,25191
208,40987,25192
209,40987,25193
210,40987,25194
211,40987,25195
212,40987,25196
213,40987,25197
214,40987,25198
215,40987,25199
216,40987,25200
217,40987,25201
218,40987,25202
219,40987,25203
220,40987,25204
221,40987,25205
222,40987,25206
223,40987,25207
224,40987,25208
225,40987,25209
226,40987,25210
227,40987,25211
228,40987,25212
229,40987,25213
230,40987,25214
231,40987,25215
232,40987,25216
233,40988,25191
234,40988,25192
235,40988,25193
236,40988,25194
237,40988,25195
238,40988,25196
239,40988,25197
240,40988,25198
241,40988,25199
242,40988,25200
243,40988,25201
244,40988,25202
245,40988,25203
246,40988,25204
