,X,Y
0,41610,25182
1,41610,25183
2,41610,25184
3,41611,25178
4,41611,25179
5,41611,25180
6,41611,25181
7,41611,25182
8,41611,25183
9,41611,25184
10,41611,25185
11,41611,25186
12,41611,25187
13,41611,25188
14,41611,25189
15,41611,25190
16,41611,25191
17,41611,25192
18,41611,25193
19,41611,25194
20,41611,25195
21,41611,25298
22,41611,25299
23,41611,25300
24,41611,25301
25,41611,25302
26,41611,25303
27,41611,25304
28,41611,25305
29,41611,25306
30,41611,25307
31,41611,25308
32,41612,25177
33,41612,25178
34,41612,25179
35,41612,25180
36,41612,25181
37,41612,25182
38,41612,25183
39,41612,25184
40,41612,25185
41,41612,25186
42,41612,25187
43,41612,25188
44,41612,25189
45,41612,25190
46,41612,25191
47,41612,25192
48,41612,25193
49,41612,25194
50,41612,25195
51,41612,25196
52,41612,25296
53,41612,25297
54,41612,25298
55,41612,25299
56,41612,25300
57,41612,25301
58,41612,25302
59,41612,25303
60,41612,25304
61,41612,25305
62,41612,25306
63,41612,25307
64,41612,25308
65,41612,25309
66,41612,25310
67,41612,25311
68,41612,25312
69,41613,25179
70,41613,25180
71,41613,25181
72,41613,25182
73,41613,25183
74,41613,25184
75,41613,25185
76,41613,25186
77,41613,25187
78,41613,25188
79,41613,25189
80,41613,25190
81,41613,25191
82,41613,25192
83,41613,25193
84,41613,25194
85,41613,25195
86,41613,25196
87,41613,25197
88,41613,25198
89,41613,25295
90,41613,25296
91,41613,25297
92,41613,25298
93,41613,25299
94,41613,25300
95,41613,25301
96,41613,25302
97,41613,25303
98,41613,25304
99,41613,25305
100,41613,25306
101,41613,25307
102,41613,25308
103,41613,25309
104,41613,25310
105,41613,25311
106,41613,25312
107,41613,25313
108,41613,25314
109,41613,25315
110,41613,25316
111,41613,25317
112,41613,25318
113,41613,25319
114,41613,25320
115,41614,25180
116,41614,25181
117,41614,25182
118,41614,25183
119,41614,25184
120,41614,25185
121,41614,25186
122,41614,25187
123,41614,25188
124,41614,25189
125,41614,25190
126,41614,25191
127,41614,25192
128,41614,25193
129,41614,25194
130,41614,25195
131,41614,25196
132,41614,25197
133,41614,25198
134,41614,25199
135,41614,25293
136,41614,25294
137,41614,25295
138,41614,25296
139,41614,25297
140,41614,25298
141,41614,25299
142,41614,25300
143,41614,25301
144,41614,25302
145,41614,25303
146,41614,25304
147,41614,25305
148,41614,25306
149,41614,25307
150,41614,25308
151,41614,25309
152,41614,25310
153,41614,25311
154,41614,25312
155,41614,25313
156,41614,25314
157,41614,25315
158,41614,25316
159,41614,25317
160,41614,25318
161,41614,25319
162,41614,25320
163,41614,25321
164,41614,25322
165,41614,25323
166,41615,25183
167,41615,25184
168,41615,25185
169,41615,25186
170,41615,25187
171,41615,25188
172,41615,25189
173,41615,25190
174,41615,25191
175,41615,25192
176,41615,25193
177,41615,25194
178,41615,25195
179,41615,25196
180,41615,25197
181,41615,25198
182,41615,25199
183,41615,25200
184,41615,25291
185,41615,25292
186,41615,25293
187,41615,25294
188,41615,25295
189,41615,25296
190,41615,25297
191,41615,25298
192,41615,25299
193,41615,25300
194,41615,25301
195,41615,25302
196,41615,25303
197,41615,25304
198,41615,25305
199,41615,25306
200,41615,25307
201,41615,25308
202,41615,25309
203,41615,25310
204,41615,25311
205,41615,25312
206,41615,25313
207,41615,25314
208,41615,25315
209,41615,25316
210,41615,25317
211,41615,25318
212,41615,25319
213,41615,25320
214,41615,25321
215,41615,25322
216,41615,25323
217,41615,25324
218,41615,25350
219,41616,25184
220,41616,25185
221,41616,25186
222,41616,25187
223,41616,25188
224,41616,25189
225,41616,25190
226,41616,25191
227,41616,25192
228,41616,25193
229,41616,25194
230,41616,25195
231,41616,25196
232,41616,25197
233,41616,25198
234,41616,25199
235,41616,25200
236,41616,25201
237,41616,25284
238,41616,25285
239,41616,25286
240,41616,25287
241,41616,25288
242,41616,25289
243,41616,25290
244,41616,25291
245,41616,25292
246,41616,25293
247,41616,25294
248,41616,25295
249,41616,25296
250,41616,25297
251,41616,25298
252,41616,25299
253,41616,25300
254,41616,25301
255,41616,25302
256,41616,25303
257,41616,25304
258,41616,25305
259,41616,25306
260,41616,25307
261,41616,25308
262,41616,25309
263,41616,25310
264,41616,25311
265,41616,25312
266,41616,25313
267,41616,25314
268,41616,25315
269,41616,25316
270,41616,25317
271,41616,25318
272,41616,25319
273,41616,25320
274,41616,25321
275,41616,25322
276,41616,25323
277,41616,25324
278,41616,25325
279,41616,25326
280,41616,25348
281,41616,25349
