,X,Y
0,41470,25992
1,41470,25994
2,41471,25991
3,41471,25992
4,41471,25993
5,41471,25994
6,41471,25995
7,41471,25996
8,41471,25997
9,41472,25991
10,41472,25992
11,41472,25993
12,41472,25994
13,41472,25995
14,41472,25996
15,41472,25997
16,41472,25998
17,41473,25991
18,41473,25992
19,41473,25993
20,41473,25994
21,41473,25995
22,41473,25996
23,41473,25997
24,41473,25998
25,41473,25999
26,41473,26000
27,41474,25991
28,41474,25992
29,41474,25993
30,41474,25994
31,41474,25995
32,41474,25996
33,41474,25997
34,41474,25998
35,41474,25999
36,41474,26000
37,41474,26001
38,41475,25992
39,41475,25993
40,41475,25994
41,41475,25995
42,41475,25996
43,41475,25997
44,41475,25998
45,41475,25999
46,41475,26000
47,41475,26001
48,41475,26002
49,41475,26003
50,41476,25992
51,41476,25993
52,41476,25994
53,41476,25995
54,41476,25996
55,41476,25997
56,41476,25998
57,41476,25999
58,41476,26000
59,41476,26001
60,41476,26002
61,41476,26003
62,41476,26004
63,41476,26005
64,41477,25992
65,41477,25993
66,41477,25994
67,41477,25995
68,41477,25996
69,41477,25997
70,41477,25998
71,41477,25999
72,41477,26000
73,41477,26001
74,41477,26002
75,41477,26003
76,41477,26004
77,41477,26005
78,41477,26006
79,41477,26007
80,41478,25992
81,41478,25993
82,41478,25994
83,41478,25995
84,41478,25996
85,41478,25997
86,41478,25998
87,41478,25999
88,41478,26000
89,41478,26001
90,41478,26002
91,41478,26003
92,41478,26004
93,41478,26005
94,41478,26006
95,41478,26007
96,41478,26008
97,41479,25992
98,41479,25993
99,41479,25994
100,41479,25995
101,41479,25996
102,41479,25997
103,41479,25998
104,41479,25999
105,41479,26000
106,41479,26001
107,41479,26002
108,41479,26003
109,41479,26004
110,41479,26005
111,41479,26006
112,41479,26007
113,41479,26008
114,41479,26009
115,41479,26010
116,41479,26011
117,41480,25991
118,41480,25992
119,41480,25993
120,41480,25994
121,41480,25995
122,41480,25996
123,41480,25997
124,41480,25998
125,41480,25999
126,41480,26000
127,41480,26001
128,41480,26002
129,41480,26003
130,41480,26004
131,41480,26005
132,41480,26006
133,41480,26007
134,41480,26008
135,41480,26009
136,41480,26010
137,41480,26011
138,41480,26012
139,41480,26013
140,41480,26031
141,41480,26032
142,41480,26033
143,41480,26034
144,41481,25991
145,41481,25992
146,41481,25993
147,41481,25994
148,41481,25995
149,41481,25996
150,41481,25997
151,41481,25998
152,41481,25999
153,41481,26000
154,41481,26001
155,41481,26002
156,41481,26003
157,41481,26004
158,41481,26005
159,41481,26006
160,41481,26007
161,41481,26008
162,41481,26009
163,41481,26010
164,41481,26011
165,41481,26012
166,41481,26013
167,41481,26014
168,41481,26015
169,41481,26016
170,41481,26017
171,41481,26030
172,41481,26031
173,41481,26032
174,41481,26033
175,41481,26034
176,41481,26035
177,41481,26036
178,41481,26037
179,41482,25834
180,41482,25835
181,41482,25990
182,41482,25991
183,41482,25992
184,41482,25993
185,41482,25994
186,41482,25995
187,41482,25996
188,41482,25997
189,41482,25998
190,41482,25999
191,41482,26000
192,41482,26001
193,41482,26002
194,41482,26003
195,41482,26004
196,41482,26005
197,41482,26006
198,41482,26007
199,41482,26008
200,41482,26009
201,41482,26010
202,41482,26011
203,41482,26012
204,41482,26013
205,41482,26014
206,41482,26015
207,41482,26016
208,41482,26017
209,41482,26018
210,41482,26019
211,41482,26020
212,41482,26021
213,41482,26022
214,41482,26023
215,41482,26024
216,41482,26025
217,41482,26026
218,41482,26027
219,41482,26028
220,41482,26029
221,41482,26030
222,41482,26031
223,41482,26032
224,41482,26033
225,41482,26034
226,41482,26035
227,41482,26036
228,41482,26037
229,41482,26038
230,41482,26039
231,41483,25833
232,41483,25834
233,41483,25835
234,41483,25836
235,41483,25837
236,41483,25838
237,41483,25989
238,41483,25990
239,41483,25991
240,41483,25992
241,41483,25993
242,41483,25994
243,41483,25995
244,41483,25996
245,41483,25997
246,41483,25998
247,41483,25999
248,41483,26000
249,41483,26001
250,41483,26002
251,41483,26003
252,41483,26004
253,41483,26005
254,41483,26006
255,41483,26007
256,41483,26008
257,41483,26009
258,41483,26010
259,41483,26011
260,41483,26012
261,41483,26013
262,41483,26014
263,41483,26015
264,41483,26016
265,41483,26017
266,41483,26018
267,41483,26019
268,41483,26020
269,41483,26021
270,41483,26022
271,41483,26023
272,41483,26024
273,41483,26025
274,41483,26026
275,41483,26027
276,41483,26028
277,41483,26029
278,41483,26030
279,41483,26031
280,41483,26032
281,41483,26033
282,41483,26034
283,41483,26035
284,41483,26036
285,41483,26037
286,41483,26038
287,41483,26039
288,41484,25831
289,41484,25832
290,41484,25833
291,41484,25834
292,41484,25835
293,41484,25836
294,41484,25837
295,41484,25838
296,41484,25839
297,41484,25988
298,41484,25989
299,41484,25990
300,41484,25991
301,41484,25992
302,41484,25993
303,41484,25994
304,41484,25995
305,41484,25996
306,41484,25997
307,41484,25998
308,41484,25999
309,41484,26000
310,41484,26001
311,41484,26002
312,41484,26003
313,41484,26004
314,41484,26005
315,41484,26006
316,41484,26007
317,41484,26008
318,41484,26009
319,41484,26010
320,41484,26011
321,41484,26012
322,41484,26013
323,41484,26014
324,41484,26015
325,41484,26016
326,41484,26017
327,41484,26018
328,41484,26019
329,41484,26020
330,41484,26021
331,41484,26022
332,41484,26023
333,41484,26024
334,41484,26025
335,41484,26026
336,41484,26027
337,41484,26028
338,41484,26029
339,41484,26030
340,41484,26031
341,41484,26032
342,41484,26033
343,41484,26034
344,41484,26035
345,41484,26036
346,41484,26037
347,41484,26038
348,41484,26039
349,41484,26040
350,41485,25830
351,41485,25831
352,41485,25832
353,41485,25833
354,41485,25834
355,41485,25835
356,41485,25836
357,41485,25837
358,41485,25838
359,41485,25839
360,41485,25840
361,41485,25841
362,41485,25987
363,41485,25988
364,41485,25989
365,41485,25990
366,41485,25991
367,41485,25992
368,41485,25993
369,41485,25994
370,41485,25995
371,41485,25996
372,41485,25997
373,41485,25998
374,41485,25999
375,41485,26000
376,41485,26001
377,41485,26002
378,41485,26003
379,41485,26004
380,41485,26005
381,41485,26006
382,41485,26007
383,41485,26008
384,41485,26009
385,41485,26010
386,41485,26011
387,41485,26012
388,41485,26013
389,41485,26014
390,41485,26015
391,41485,26016
392,41485,26017
393,41485,26018
394,41485,26019
395,41485,26020
396,41485,26021
397,41485,26022
398,41485,26023
399,41485,26024
400,41485,26025
401,41485,26026
402,41485,26027
403,41485,26028
404,41485,26029
405,41485,26030
406,41485,26031
407,41485,26032
408,41485,26033
409,41485,26034
410,41485,26035
411,41485,26036
412,41485,26037
413,41485,26038
414,41485,26039
415,41486,25829
416,41486,25830
417,41486,25831
418,41486,25832
419,41486,25833
420,41486,25834
421,41486,25835
422,41486,25836
423,41486,25837
424,41486,25838
425,41486,25839
426,41486,25840
427,41486,25841
428,41486,25842
429,41486,25843
430,41486,25844
431,41486,25845
432,41486,25986
433,41486,25987
434,41486,25988
435,41486,25989
436,41486,25990
437,41486,25991
438,41486,25992
439,41486,25993
440,41486,25994
441,41486,25995
442,41486,25996
443,41486,25997
444,41486,25998
445,41486,25999
446,41486,26000
447,41486,26001
448,41486,26002
449,41486,26003
450,41486,26004
451,41486,26005
452,41486,26006
453,41486,26007
454,41486,26008
455,41486,26009
456,41486,26010
457,41486,26011
458,41486,26012
459,41486,26013
460,41486,26014
461,41486,26015
462,41486,26016
463,41486,26017
464,41486,26018
465,41486,26019
466,41486,26020
467,41486,26021
468,41486,26022
469,41486,26023
470,41486,26024
471,41486,26025
472,41486,26026
473,41486,26027
474,41486,26028
475,41486,26029
476,41486,26030
477,41486,26031
478,41486,26032
479,41486,26033
480,41486,26034
481,41486,26035
482,41486,26036
483,41486,26037
484,41486,26038
485,41486,26039
486,41486,26122
487,41486,26123
488,41487,25829
489,41487,25830
490,41487,25831
491,41487,25832
492,41487,25833
493,41487,25834
494,41487,25835
495,41487,25836
496,41487,25837
497,41487,25838
498,41487,25839
499,41487,25840
500,41487,25841
501,41487,25842
502,41487,25843
503,41487,25844
504,41487,25845
505,41487,25846
506,41487,25847
507,41487,25848
508,41487,25849
509,41487,25986
510,41487,25987
511,41487,25988
512,41487,25989
513,41487,25990
514,41487,25991
515,41487,25992
516,41487,25993
517,41487,25994
518,41487,25995
519,41487,25996
520,41487,25997
521,41487,25998
522,41487,25999
523,41487,26000
524,41487,26001
525,41487,26002
526,41487,26003
527,41487,26004
528,41487,26005
529,41487,26006
530,41487,26007
531,41487,26008
532,41487,26009
533,41487,26010
534,41487,26011
535,41487,26012
536,41487,26013
537,41487,26014
538,41487,26015
539,41487,26016
540,41487,26017
541,41487,26018
542,41487,26019
543,41487,26020
544,41487,26021
545,41487,26022
546,41487,26023
547,41487,26024
548,41487,26025
549,41487,26026
550,41487,26027
551,41487,26028
552,41487,26029
553,41487,26030
554,41487,26031
555,41487,26032
556,41487,26033
557,41487,26034
558,41487,26035
559,41487,26036
560,41487,26037
561,41487,26038
562,41487,26039
563,41487,26121
564,41487,26122
565,41487,26123
566,41487,26124
567,41488,25830
568,41488,25831
569,41488,25832
570,41488,25833
571,41488,25834
572,41488,25835
573,41488,25836
574,41488,25837
575,41488,25838
576,41488,25839
577,41488,25840
578,41488,25841
579,41488,25842
580,41488,25843
581,41488,25844
582,41488,25845
583,41488,25846
584,41488,25847
585,41488,25848
586,41488,25849
587,41488,25850
588,41488,25851
589,41488,25852
590,41488,25853
591,41488,25985
592,41488,25986
593,41488,25987
594,41488,25988
595,41488,25989
596,41488,25990
597,41488,25991
598,41488,25992
599,41488,25993
600,41488,25994
601,41488,25995
602,41488,25996
603,41488,25997
604,41488,25998
605,41488,25999
606,41488,26000
607,41488,26001
608,41488,26002
609,41488,26003
610,41488,26004
611,41488,26005
612,41488,26006
613,41488,26007
614,41488,26008
615,41488,26009
616,41488,26010
617,41488,26011
618,41488,26012
619,41488,26013
620,41488,26014
621,41488,26015
622,41488,26016
623,41488,26017
624,41488,26018
625,41488,26019
626,41488,26020
627,41488,26021
628,41488,26022
629,41488,26023
630,41488,26024
631,41488,26025
632,41488,26026
633,41488,26027
634,41488,26028
635,41488,26029
636,41488,26030
637,41488,26031
638,41488,26032
639,41488,26033
640,41488,26034
641,41488,26035
642,41488,26036
643,41488,26037
644,41488,26038
645,41488,26039
646,41488,26040
647,41488,26120
648,41488,26121
649,41488,26122
650,41488,26123
651,41488,26124
652,41488,26125
653,41489,25830
654,41489,25831
655,41489,25832
656,41489,25833
657,41489,25834
658,41489,25835
659,41489,25836
660,41489,25837
661,41489,25838
662,41489,25839
663,41489,25840
664,41489,25841
665,41489,25842
666,41489,25843
667,41489,25844
668,41489,25845
669,41489,25846
670,41489,25847
671,41489,25848
672,41489,25849
673,41489,25850
674,41489,25851
675,41489,25852
676,41489,25853
677,41489,25854
678,41489,25855
679,41489,25984
680,41489,25985
681,41489,25986
682,41489,25987
683,41489,25988
684,41489,25989
685,41489,25990
686,41489,25991
687,41489,25992
688,41489,25993
689,41489,25994
690,41489,25995
691,41489,25996
692,41489,25997
693,41489,25998
694,41489,25999
695,41489,26000
696,41489,26001
697,41489,26002
698,41489,26003
699,41489,26004
700,41489,26005
701,41489,26006
702,41489,26007
703,41489,26008
704,41489,26009
705,41489,26010
706,41489,26011
707,41489,26012
708,41489,26013
709,41489,26014
710,41489,26015
711,41489,26016
712,41489,26017
713,41489,26018
714,41489,26019
715,41489,26020
716,41489,26021
717,41489,26022
718,41489,26023
719,41489,26024
720,41489,26025
721,41489,26026
722,41489,26027
723,41489,26028
724,41489,26029
725,41489,26030
726,41489,26031
727,41489,26032
728,41489,26033
729,41489,26034
730,41489,26035
731,41489,26036
732,41489,26037
733,41489,26038
734,41489,26039
735,41489,26040
736,41489,26118
737,41489,26119
738,41489,26120
739,41489,26121
740,41489,26122
741,41489,26123
742,41489,26124
743,41489,26125
744,41490,25831
745,41490,25832
746,41490,25833
747,41490,25834
748,41490,25835
749,41490,25836
750,41490,25837
751,41490,25838
752,41490,25839
753,41490,25840
754,41490,25841
755,41490,25842
756,41490,25843
757,41490,25844
758,41490,25845
759,41490,25846
760,41490,25847
761,41490,25848
762,41490,25849
763,41490,25850
764,41490,25851
765,41490,25852
766,41490,25853
767,41490,25854
768,41490,25855
769,41490,25856
770,41490,25857
771,41490,25984
772,41490,25985
773,41490,25986
774,41490,25987
775,41490,25988
776,41490,25989
777,41490,25990
778,41490,25991
779,41490,25992
780,41490,25993
781,41490,25994
782,41490,25995
783,41490,25996
784,41490,25997
785,41490,25998
786,41490,25999
787,41490,26000
788,41490,26001
789,41490,26002
790,41490,26003
791,41490,26004
792,41490,26005
793,41490,26006
794,41490,26007
795,41490,26008
796,41490,26009
797,41490,26010
798,41490,26011
799,41490,26012
800,41490,26013
801,41490,26014
802,41490,26015
803,41490,26016
804,41490,26017
805,41490,26018
806,41490,26019
807,41490,26020
808,41490,26021
809,41490,26022
810,41490,26023
811,41490,26024
812,41490,26025
813,41490,26026
814,41490,26027
815,41490,26028
816,41490,26029
817,41490,26030
818,41490,26031
819,41490,26032
820,41490,26033
821,41490,26034
822,41490,26035
823,41490,26036
824,41490,26037
825,41490,26038
826,41490,26039
827,41490,26040
828,41490,26116
829,41490,26117
830,41490,26118
831,41490,26119
832,41490,26120
833,41490,26121
834,41490,26122
835,41490,26123
836,41490,26124
837,41490,26125
838,41491,25831
839,41491,25832
840,41491,25833
841,41491,25834
842,41491,25835
843,41491,25836
844,41491,25837
845,41491,25838
846,41491,25839
847,41491,25840
848,41491,25841
849,41491,25842
850,41491,25843
851,41491,25844
852,41491,25845
853,41491,25846
854,41491,25847
855,41491,25848
856,41491,25849
857,41491,25850
858,41491,25851
859,41491,25852
860,41491,25853
861,41491,25854
862,41491,25855
863,41491,25856
864,41491,25857
865,41491,25858
866,41491,25983
867,41491,25984
868,41491,25985
869,41491,25986
870,41491,25987
871,41491,25988
872,41491,25989
873,41491,25990
874,41491,25991
875,41491,25992
876,41491,25993
877,41491,25994
878,41491,25995
879,41491,25996
880,41491,25997
881,41491,25998
882,41491,25999
883,41491,26000
884,41491,26001
885,41491,26002
886,41491,26003
887,41491,26004
888,41491,26005
889,41491,26006
890,41491,26007
891,41491,26008
892,41491,26009
893,41491,26010
894,41491,26011
895,41491,26012
896,41491,26013
897,41491,26014
898,41491,26015
899,41491,26016
900,41491,26017
901,41491,26018
902,41491,26019
903,41491,26020
904,41491,26021
905,41491,26022
906,41491,26023
907,41491,26024
908,41491,26025
909,41491,26026
910,41491,26027
911,41491,26028
912,41491,26029
913,41491,26030
914,41491,26031
915,41491,26032
916,41491,26033
917,41491,26034
918,41491,26035
919,41491,26036
920,41491,26037
921,41491,26038
922,41491,26039
923,41491,26040
924,41491,26115
925,41491,26116
926,41491,26117
927,41491,26118
928,41491,26119
929,41491,26120
930,41491,26121
931,41491,26122
932,41491,26123
933,41491,26124
934,41492,25831
