,X,Y
0,41087,26247
1,41088,26247
2,41088,26248
3,41088,26249
4,41089,26247
5,41089,26248
6,41089,26249
7,41090,26247
8,41090,26248
9,41090,26249
10,41090,26250
11,41090,26251
12,41091,26246
13,41091,26247
14,41091,26248
15,41091,26249
16,41091,26250
17,41091,26251
18,41091,26252
19,41092,26245
20,41092,26246
21,41092,26247
22,41092,26248
23,41092,26249
24,41092,26250
25,41092,26251
26,41092,26252
27,41092,26253
28,41093,26245
29,41093,26246
30,41093,26247
31,41093,26248
32,41093,26249
33,41093,26250
34,41093,26251
35,41093,26252
36,41093,26253
37,41094,26246
38,41094,26247
39,41094,26248
40,41094,26249
41,41094,26250
42,41094,26251
43,41094,26252
44,41094,26253
45,41094,26254
46,41095,26246
47,41095,26247
48,41095,26248
49,41095,26249
50,41095,26250
51,41095,26251
52,41095,26252
53,41095,26253
54,41095,26254
55,41096,26246
56,41096,26247
57,41096,26248
58,41096,26249
59,41096,26250
60,41096,26251
61,41096,26252
62,41096,26253
63,41096,26254
64,41096,26255
65,41097,26246
66,41097,26247
67,41097,26248
68,41097,26249
69,41097,26250
70,41097,26251
71,41097,26252
72,41097,26253
73,41097,26254
74,41097,26255
75,41097,26256
76,41098,26246
77,41098,26247
78,41098,26248
79,41098,26249
80,41098,26250
81,41098,26251
82,41098,26252
83,41098,26253
84,41098,26254
85,41098,26255
86,41098,26256
87,41098,26266
88,41099,26246
89,41099,26247
90,41099,26248
91,41099,26249
92,41099,26250
93,41099,26251
94,41099,26252
95,41099,26253
96,41099,26254
97,41099,26255
98,41099,26256
99,41099,26257
100,41099,26265
101,41099,26266
102,41100,26245
103,41100,26246
104,41100,26247
105,41100,26248
106,41100,26249
107,41100,26250
108,41100,26251
109,41100,26252
110,41100,26253
111,41100,26254
112,41100,26255
113,41100,26256
114,41100,26257
115,41100,26263
116,41100,26264
117,41100,26265
118,41101,26243
119,41101,26244
120,41101,26245
121,41101,26246
122,41101,26247
123,41101,26248
124,41101,26249
125,41101,26250
126,41101,26251
127,41101,26252
128,41101,26253
129,41101,26254
130,41101,26255
131,41101,26256
132,41101,26257
133,41101,26258
134,41101,26259
135,41101,26260
136,41101,26261
137,41101,26262
138,41101,26263
139,41101,26264
140,41101,26265
141,41102,26241
142,41102,26242
143,41102,26243
144,41102,26244
145,41102,26245
146,41102,26246
147,41102,26247
148,41102,26248
149,41102,26249
150,41102,26250
151,41102,26251
152,41102,26252
153,41102,26253
154,41102,26254
155,41102,26255
156,41102,26256
157,41102,26257
158,41102,26258
159,41102,26259
160,41102,26260
161,41102,26261
162,41102,26262
163,41102,26263
164,41102,26264
165,41103,26241
166,41103,26242
167,41103,26243
168,41103,26244
169,41103,26245
170,41103,26246
171,41103,26247
172,41103,26248
173,41103,26249
174,41103,26250
175,41103,26251
176,41103,26252
177,41103,26253
178,41103,26254
179,41103,26255
180,41103,26256
181,41103,26257
182,41103,26258
183,41103,26259
184,41103,26260
185,41103,26261
186,41103,26262
187,41103,26263
188,41103,26264
189,41104,26240
190,41104,26241
191,41104,26242
192,41104,26243
193,41104,26244
194,41104,26245
195,41104,26246
196,41104,26247
197,41104,26248
198,41104,26249
199,41104,26250
200,41104,26251
201,41104,26252
202,41104,26253
203,41104,26254
204,41104,26255
205,41104,26256
206,41104,26257
207,41104,26258
208,41104,26259
209,41104,26260
210,41104,26261
211,41104,26262
212,41104,26263
213,41105,26239
214,41105,26240
215,41105,26241
216,41105,26242
217,41105,26243
218,41105,26244
219,41105,26245
220,41105,26246
221,41105,26247
222,41105,26248
223,41105,26249
224,41105,26250
225,41105,26251
226,41105,26252
227,41105,26253
228,41105,26254
229,41105,26255
230,41105,26256
231,41105,26257
232,41105,26258
233,41105,26259
234,41105,26260
235,41105,26261
236,41105,26262
237,41105,26263
238,41106,26239
239,41106,26240
240,41106,26241
241,41106,26242
242,41106,26243
243,41106,26244
244,41106,26245
245,41106,26246
246,41106,26247
247,41106,26248
248,41106,26249
249,41106,26250
250,41106,26251
251,41106,26252
252,41106,26253
253,41106,26254
254,41106,26255
255,41106,26256
256,41106,26257
257,41106,26258
258,41106,26259
259,41106,26260
260,41106,26261
261,41106,26262
262,41107,26237
263,41107,26238
264,41107,26239
265,41107,26240
266,41107,26241
267,41107,26242
268,41107,26243
269,41107,26244
270,41107,26245
271,41107,26246
272,41107,26247
273,41107,26248
274,41107,26249
275,41107,26250
276,41107,26251
277,41107,26252
278,41107,26253
279,41107,26254
280,41107,26255
281,41107,26256
282,41107,26257
283,41107,26258
284,41107,26259
285,41107,26260
286,41108,26235
287,41108,26236
288,41108,26237
289,41108,26238
290,41108,26239
291,41108,26240
292,41108,26241
293,41108,26242
294,41108,26243
295,41108,26244
296,41108,26245
297,41108,26246
298,41108,26247
299,41108,26248
300,41108,26249
301,41108,26250
302,41108,26251
303,41108,26252
304,41108,26253
305,41108,26254
306,41108,26255
307,41108,26256
308,41108,26257
309,41108,26258
310,41108,26259
311,41109,26233
312,41109,26234
313,41109,26235
314,41109,26236
315,41109,26237
316,41109,26238
317,41109,26239
318,41109,26240
319,41109,26241
320,41109,26242
321,41109,26243
322,41109,26244
323,41109,26245
324,41109,26246
325,41109,26247
326,41109,26248
327,41109,26249
328,41109,26250
329,41109,26251
330,41109,26252
331,41109,26253
332,41109,26254
333,41109,26255
334,41109,26256
335,41109,26257
336,41109,26258
337,41109,26259
338,41110,26232
339,41110,26233
340,41110,26234
341,41110,26235
342,41110,26236
343,41110,26237
344,41110,26238
345,41110,26239
346,41110,26240
347,41110,26241
348,41110,26242
