,X,Y
0,41036,26185
1,41037,26182
2,41037,26183
3,41037,26184
4,41037,26185
5,41037,26186
6,41037,26187
7,41038,26182
8,41038,26183
9,41038,26184
10,41038,26185
11,41038,26186
12,41038,26187
13,41038,26188
14,41039,26181
15,41039,26182
16,41039,26183
17,41039,26184
18,41039,26185
19,41039,26186
20,41039,26187
21,41039,26188
22,41039,26189
23,41040,26181
24,41040,26182
25,41040,26183
26,41040,26184
27,41040,26185
28,41040,26186
29,41040,26187
30,41040,26188
31,41040,26189
32,41041,26078
33,41041,26079
34,41041,26080
35,41041,26081
36,41041,26180
37,41041,26181
38,41041,26182
39,41041,26183
40,41041,26184
41,41041,26185
42,41041,26186
43,41041,26187
44,41041,26188
45,41041,26189
46,41042,26077
47,41042,26078
48,41042,26079
49,41042,26080
50,41042,26081
51,41042,26082
52,41042,26179
53,41042,26180
54,41042,26181
55,41042,26182
56,41042,26183
57,41042,26184
58,41042,26185
59,41042,26186
60,41042,26187
61,41042,26188
62,41042,26189
63,41042,26190
64,41043,26078
65,41043,26079
66,41043,26080
67,41043,26081
68,41043,26082
69,41043,26083
70,41043,26179
71,41043,26180
72,41043,26181
73,41043,26182
74,41043,26183
75,41043,26184
76,41043,26185
77,41043,26186
78,41043,26187
79,41043,26188
80,41043,26189
81,41043,26190
82,41044,26077
83,41044,26078
84,41044,26079
85,41044,26080
86,41044,26081
87,41044,26082
88,41044,26083
89,41044,26084
90,41044,26085
91,41044,26086
92,41044,26087
93,41044,26088
94,41044,26089
95,41044,26178
96,41044,26179
97,41044,26180
98,41044,26181
99,41044,26182
100,41044,26183
101,41044,26184
102,41044,26185
103,41044,26186
104,41044,26187
105,41044,26188
106,41044,26189
107,41045,26075
108,41045,26076
109,41045,26077
110,41045,26078
111,41045,26079
112,41045,26080
113,41045,26081
114,41045,26082
115,41045,26083
116,41045,26084
117,41045,26085
118,41045,26086
119,41045,26087
120,41045,26088
121,41045,26089
122,41045,26090
123,41045,26091
124,41045,26092
125,41045,26093
126,41045,26094
127,41045,26178
128,41045,26179
129,41045,26180
130,41045,26181
131,41045,26182
132,41045,26183
133,41045,26184
134,41045,26185
135,41045,26186
136,41045,26187
137,41045,26188
138,41045,26189
139,41046,26075
140,41046,26076
141,41046,26077
142,41046,26078
143,41046,26079
144,41046,26080
145,41046,26081
146,41046,26082
147,41046,26083
148,41046,26084
149,41046,26085
150,41046,26086
151,41046,26087
152,41046,26088
153,41046,26089
154,41046,26090
155,41046,26091
156,41046,26092
157,41046,26093
158,41046,26094
159,41046,26095
160,41046,26096
161,41046,26164
162,41046,26165
163,41046,26175
164,41046,26176
165,41046,26177
166,41046,26178
167,41046,26179
168,41046,26180
169,41046,26181
170,41046,26182
171,41046,26183
172,41046,26184
173,41046,26185
174,41046,26186
175,41046,26187
176,41046,26188
177,41046,26189
178,41047,26075
179,41047,26076
180,41047,26077
181,41047,26078
182,41047,26079
183,41047,26080
184,41047,26081
185,41047,26082
186,41047,26083
187,41047,26084
188,41047,26085
189,41047,26086
190,41047,26087
191,41047,26088
192,41047,26089
193,41047,26090
194,41047,26091
195,41047,26092
196,41047,26093
197,41047,26094
198,41047,26095
199,41047,26096
200,41047,26097
201,41047,26163
202,41047,26164
203,41047,26165
204,41047,26171
205,41047,26172
206,41047,26173
207,41047,26174
208,41047,26175
209,41047,26176
210,41047,26177
211,41047,26178
212,41047,26179
213,41047,26180
214,41047,26181
215,41047,26182
216,41047,26183
217,41047,26184
218,41047,26185
219,41047,26186
220,41047,26187
221,41047,26188
222,41047,26189
223,41048,26075
224,41048,26076
225,41048,26077
226,41048,26078
227,41048,26079
228,41048,26080
229,41048,26081
230,41048,26082
231,41048,26083
232,41048,26084
233,41048,26085
234,41048,26086
235,41048,26087
236,41048,26088
237,41048,26089
238,41048,26090
239,41048,26091
240,41048,26092
241,41048,26093
242,41048,26094
243,41048,26095
244,41048,26096
245,41048,26097
246,41048,26098
247,41048,26099
248,41048,26163
249,41048,26164
250,41048,26165
251,41048,26166
252,41048,26167
253,41048,26168
254,41048,26169
255,41048,26170
256,41048,26171
257,41048,26172
258,41048,26173
259,41048,26174
260,41048,26175
261,41048,26176
262,41048,26177
263,41048,26178
264,41048,26179
265,41048,26180
266,41048,26181
267,41048,26182
268,41048,26183
269,41048,26184
270,41048,26185
271,41048,26186
272,41048,26187
273,41048,26188
274,41048,26189
275,41049,26076
276,41049,26077
277,41049,26078
278,41049,26079
279,41049,26080
280,41049,26081
281,41049,26082
282,41049,26083
283,41049,26084
284,41049,26085
285,41049,26086
286,41049,26087
287,41049,26088
288,41049,26089
289,41049,26090
290,41049,26091
291,41049,26092
292,41049,26093
293,41049,26094
294,41049,26095
295,41049,26096
296,41049,26097
297,41049,26098
298,41049,26099
299,41049,26100
300,41049,26101
301,41049,26163
302,41049,26164
303,41049,26165
304,41049,26166
305,41049,26167
306,41049,26168
307,41049,26169
308,41049,26170
309,41049,26171
310,41049,26172
311,41049,26173
312,41049,26174
313,41049,26175
314,41049,26176
315,41049,26177
316,41049,26178
317,41049,26179
318,41049,26180
319,41049,26181
320,41049,26182
321,41049,26183
322,41049,26184
323,41049,26185
324,41049,26186
325,41049,26187
326,41049,26188
327,41049,26189
328,41050,26076
329,41050,26077
330,41050,26078
331,41050,26079
332,41050,26080
333,41050,26081
334,41050,26082
