,X,Y
0,41850,26834
1,41850,26835
2,41851,26834
3,41851,26835
4,41852,26833
5,41852,26834
6,41852,26835
7,41852,26836
8,41853,26833
9,41853,26834
10,41853,26835
11,41853,26836
12,41853,26837
13,41854,26832
14,41854,26833
15,41854,26834
16,41854,26835
17,41854,26836
18,41854,26837
19,41854,26838
20,41855,26831
21,41855,26832
22,41855,26833
23,41855,26834
24,41855,26835
25,41855,26836
26,41855,26837
27,41855,26838
28,41855,26839
29,41856,26831
30,41856,26832
31,41856,26833
32,41856,26834
33,41856,26835
34,41856,26836
35,41856,26837
36,41856,26838
37,41856,26839
38,41856,26840
39,41857,26830
40,41857,26831
41,41857,26832
42,41857,26833
43,41857,26834
44,41857,26835
45,41857,26836
46,41857,26837
47,41857,26838
48,41857,26839
49,41858,26829
50,41858,26830
51,41858,26831
52,41858,26832
53,41858,26833
54,41858,26834
55,41858,26835
56,41858,26836
57,41858,26837
58,41858,26838
59,41858,26839
60,41859,26829
61,41859,26830
62,41859,26831
63,41859,26832
64,41859,26833
65,41859,26834
66,41859,26835
67,41859,26836
68,41859,26837
69,41859,26838
70,41859,26839
71,41860,26829
72,41860,26830
73,41860,26831
74,41860,26832
75,41860,26833
76,41860,26834
77,41860,26835
78,41860,26836
79,41860,26837
80,41860,26838
81,41860,26839
82,41860,26840
83,41861,26828
84,41861,26829
85,41861,26830
86,41861,26831
87,41861,26832
88,41861,26833
89,41861,26834
90,41861,26835
91,41861,26836
92,41861,26837
93,41861,26838
94,41861,26839
95,41861,26840
96,41861,26841
97,41861,26849
98,41861,26850
99,41862,26783
100,41862,26784
101,41862,26785
102,41862,26786
103,41862,26811
104,41862,26828
105,41862,26829
106,41862,26830
107,41862,26831
108,41862,26832
109,41862,26833
110,41862,26834
111,41862,26835
112,41862,26836
113,41862,26837
114,41862,26838
115,41862,26839
116,41862,26840
117,41862,26841
118,41862,26842
119,41862,26843
120,41862,26844
121,41862,26845
122,41862,26846
123,41862,26847
124,41862,26848
125,41862,26849
126,41862,26850
127,41862,26851
128,41862,26852
129,41863,26783
130,41863,26784
131,41863,26785
132,41863,26786
133,41863,26787
134,41863,26788
135,41863,26811
136,41863,26812
137,41863,26813
138,41863,26818
139,41863,26819
140,41863,26828
141,41863,26829
142,41863,26830
143,41863,26831
144,41863,26832
145,41863,26833
146,41863,26834
147,41863,26835
148,41863,26836
149,41863,26837
150,41863,26838
151,41863,26839
152,41863,26840
153,41863,26841
154,41863,26842
155,41863,26843
156,41863,26844
157,41863,26845
158,41863,26846
159,41863,26847
160,41863,26848
161,41863,26849
162,41863,26850
163,41863,26851
164,41863,26852
165,41864,26783
166,41864,26784
167,41864,26785
168,41864,26786
169,41864,26787
170,41864,26788
171,41864,26789
172,41864,26790
173,41864,26810
174,41864,26811
175,41864,26812
176,41864,26813
177,41864,26814
178,41864,26815
179,41864,26817
180,41864,26818
181,41864,26819
182,41864,26820
183,41864,26827
184,41864,26828
185,41864,26829
186,41864,26830
187,41864,26831
188,41864,26832
189,41864,26833
190,41864,26834
191,41864,26835
192,41864,26836
193,41864,26837
194,41864,26838
195,41864,26839
196,41864,26840
197,41864,26841
198,41864,26842
199,41864,26843
200,41864,26844
201,41864,26845
202,41864,26846
203,41864,26847
204,41864,26848
205,41864,26849
206,41864,26850
207,41864,26851
208,41864,26852
209,41865,26782
210,41865,26783
211,41865,26784
212,41865,26785
213,41865,26786
214,41865,26787
215,41865,26788
216,41865,26789
217,41865,26790
218,41865,26791
219,41865,26809
220,41865,26810
221,41865,26811
222,41865,26812
223,41865,26813
224,41865,26814
225,41865,26815
226,41865,26816
227,41865,26817
228,41865,26818
229,41865,26819
230,41865,26820
231,41865,26821
232,41865,26822
233,41865,26825
234,41865,26826
235,41865,26827
236,41865,26828
237,41865,26829
238,41865,26830
239,41865,26831
240,41865,26832
241,41865,26833
242,41865,26834
243,41865,26835
244,41865,26836
245,41865,26837
246,41865,26838
247,41865,26839
248,41865,26840
249,41865,26841
250,41865,26842
251,41865,26843
252,41865,26844
253,41865,26845
254,41865,26846
255,41865,26847
256,41865,26848
257,41865,26849
258,41865,26850
259,41865,26851
260,41865,26852
261,41866,26782
262,41866,26783
263,41866,26784
264,41866,26785
265,41866,26786
266,41866,26787
267,41866,26788
268,41866,26789
269,41866,26790
270,41866,26791
271,41866,26792
272,41866,26793
273,41866,26794
274,41866,26807
275,41866,26808
276,41866,26809
277,41866,26810
278,41866,26811
279,41866,26812
280,41866,26813
281,41866,26814
282,41866,26815
283,41866,26816
284,41866,26817
285,41866,26818
286,41866,26819
287,41866,26820
288,41866,26821
289,41866,26822
290,41866,26823
291,41866,26824
292,41866,26825
293,41866,26826
294,41866,26827
295,41866,26828
296,41866,26829
297,41866,26830
298,41866,26831
299,41866,26832
300,41866,26833
301,41866,26834
302,41866,26835
303,41866,26836
304,41866,26837
305,41866,26838
306,41866,26839
307,41866,26840
308,41866,26841
309,41866,26842
310,41866,26843
311,41866,26844
312,41866,26845
313,41866,26846
314,41866,26847
315,41866,26848
316,41866,26849
317,41866,26850
318,41866,26851
319,41866,26852
320,41867,26781
321,41867,26782
322,41867,26783
323,41867,26784
324,41867,26785
325,41867,26786
326,41867,26787
327,41867,26788
328,41867,26789
329,41867,26790
330,41867,26791
331,41867,26792
332,41867,26793
333,41867,26794
334,41867,26795
