,X,Y
0,41061,25719
1,41061,25720
2,41061,25721
3,41061,25722
4,41062,25718
5,41062,25719
6,41062,25720
7,41062,25721
8,41062,25722
9,41062,25723
10,41062,25724
11,41062,25725
12,41062,25726
13,41062,25727
14,41062,25728
15,41062,25729
16,41062,25730
17,41062,25731
18,41062,25732
19,41062,25733
20,41062,25734
21,41062,25735
22,41063,25718
23,41063,25719
24,41063,25720
25,41063,25721
26,41063,25722
27,41063,25723
28,41063,25724
29,41063,25725
30,41063,25726
31,41063,25727
32,41063,25728
33,41063,25729
34,41063,25730
35,41063,25731
36,41063,25732
37,41063,25733
38,41063,25734
39,41063,25735
40,41063,25736
41,41064,25717
42,41064,25718
43,41064,25719
44,41064,25720
45,41064,25721
46,41064,25722
47,41064,25723
48,41064,25724
49,41064,25725
50,41064,25726
51,41064,25727
52,41064,25728
53,41064,25729
54,41064,25730
55,41064,25731
56,41064,25732
57,41064,25733
58,41064,25734
59,41064,25735
60,41064,25736
61,41064,25737
62,41065,25717
63,41065,25718
64,41065,25719
65,41065,25720
66,41065,25721
67,41065,25722
68,41065,25723
69,41065,25724
70,41065,25725
71,41065,25726
72,41065,25727
73,41065,25728
74,41065,25729
75,41065,25730
76,41065,25731
77,41065,25732
78,41065,25733
79,41065,25734
80,41065,25735
81,41065,25736
82,41065,25737
83,41065,25738
84,41065,25739
85,41066,25717
86,41066,25718
87,41066,25719
88,41066,25720
89,41066,25721
90,41066,25722
91,41066,25723
92,41066,25724
93,41066,25725
94,41066,25726
95,41066,25727
96,41066,25728
97,41066,25729
98,41066,25730
99,41066,25731
100,41066,25732
101,41066,25733
102,41066,25734
103,41066,25735
104,41066,25736
105,41066,25737
106,41066,25738
107,41066,25739
108,41067,25716
109,41067,25717
110,41067,25718
111,41067,25719
112,41067,25720
113,41067,25721
114,41067,25722
115,41067,25723
116,41067,25724
117,41067,25725
118,41067,25726
119,41067,25727
120,41067,25728
121,41067,25729
122,41067,25730
123,41067,25731
124,41067,25732
125,41067,25733
126,41067,25734
127,41067,25735
128,41067,25736
129,41067,25737
130,41067,25738
131,41067,25739
132,41068,25716
133,41068,25717
134,41068,25718
135,41068,25719
136,41068,25720
137,41068,25721
138,41068,25722
139,41068,25723
140,41068,25724
141,41068,25725
142,41068,25726
143,41068,25727
144,41068,25728
145,41068,25729
146,41068,25730
147,41068,25731
148,41068,25732
149,41068,25733
150,41068,25734
151,41068,25735
152,41068,25736
153,41068,25737
154,41068,25738
155,41068,25739
156,41069,25716
157,41069,25717
158,41069,25718
159,41069,25719
160,41069,25720
161,41069,25721
162,41069,25722
163,41069,25723
164,41069,25724
165,41069,25725
166,41069,25726
167,41069,25727
168,41069,25728
169,41069,25729
170,41069,25730
171,41069,25731
172,41069,25732
173,41069,25733
174,41069,25734
175,41069,25735
176,41069,25736
177,41069,25737
178,41069,25738
179,41069,25739
180,41069,25740
181,41069,25741
182,41069,25742
183,41070,25715
184,41070,25716
185,41070,25717
186,41070,25718
187,41070,25719
188,41070,25720
189,41070,25721
190,41070,25722
191,41070,25723
192,41070,25724
193,41070,25725
194,41070,25726
195,41070,25727
196,41070,25728
197,41070,25729
198,41070,25730
199,41070,25731
200,41070,25732
201,41070,25733
202,41070,25734
203,41070,25735
204,41070,25736
205,41070,25737
206,41070,25738
207,41070,25739
208,41070,25740
209,41070,25741
210,41070,25742
211,41071,25715
212,41071,25716
213,41071,25717
214,41071,25718
215,41071,25719
216,41071,25720
