,X,Y
0,41295,26274
1,41295,26275
2,41296,26273
3,41296,26274
4,41296,26275
5,41296,26276
6,41296,26277
7,41297,26265
8,41297,26273
9,41297,26274
10,41297,26275
11,41297,26276
12,41297,26277
13,41297,26278
14,41298,26265
15,41298,26266
16,41298,26267
17,41298,26273
18,41298,26274
19,41298,26275
20,41298,26276
21,41298,26277
22,41298,26278
23,41298,26279
24,41299,26265
25,41299,26266
26,41299,26267
27,41299,26268
28,41299,26269
29,41299,26273
30,41299,26274
31,41299,26275
32,41299,26276
33,41299,26277
34,41299,26278
35,41299,26279
36,41299,26280
37,41299,26281
38,41300,26264
39,41300,26265
40,41300,26266
41,41300,26267
42,41300,26268
43,41300,26269
44,41300,26270
45,41300,26271
46,41300,26272
47,41300,26273
48,41300,26274
49,41300,26275
50,41300,26276
51,41300,26277
52,41300,26278
53,41300,26279
54,41300,26280
55,41300,26281
56,41300,26282
57,41300,26283
58,41301,26264
59,41301,26265
60,41301,26266
61,41301,26267
62,41301,26268
63,41301,26269
64,41301,26270
65,41301,26271
66,41301,26272
67,41301,26273
68,41301,26274
69,41301,26275
70,41301,26276
71,41301,26277
72,41301,26278
73,41301,26279
74,41301,26280
75,41301,26281
76,41301,26282
77,41301,26283
78,41301,26284
79,41302,26263
80,41302,26264
81,41302,26265
82,41302,26266
83,41302,26267
84,41302,26268
85,41302,26269
86,41302,26270
87,41302,26271
88,41302,26272
89,41302,26273
90,41302,26274
91,41302,26275
92,41302,26276
93,41302,26277
94,41302,26278
95,41302,26279
96,41302,26280
97,41302,26281
98,41302,26282
99,41302,26283
100,41302,26284
101,41302,26285
102,41303,26264
103,41303,26265
104,41303,26266
105,41303,26267
106,41303,26268
107,41303,26269
108,41303,26270
109,41303,26271
110,41303,26272
111,41303,26273
112,41303,26274
113,41303,26275
114,41303,26276
115,41303,26277
116,41303,26278
117,41303,26279
118,41303,26280
119,41303,26281
120,41303,26282
121,41303,26283
122,41303,26284
123,41303,26285
124,41304,26264
125,41304,26265
126,41304,26266
127,41304,26267
128,41304,26268
129,41304,26269
130,41304,26270
131,41304,26271
132,41304,26272
133,41304,26273
134,41304,26274
135,41304,26275
136,41304,26276
137,41304,26277
138,41304,26278
139,41304,26279
140,41304,26280
141,41304,26281
142,41304,26282
143,41304,26283
144,41304,26284
145,41304,26285
146,41304,26286
147,41305,26264
148,41305,26265
149,41305,26266
150,41305,26267
151,41305,26268
152,41305,26269
153,41305,26270
154,41305,26271
155,41305,26272
156,41305,26273
157,41305,26274
158,41305,26275
159,41305,26276
160,41305,26277
161,41305,26278
162,41305,26279
163,41305,26280
164,41305,26281
165,41305,26282
166,41305,26283
167,41305,26284
168,41305,26285
169,41305,26286
170,41305,26287
171,41305,26288
172,41306,26264
173,41306,26265
174,41306,26266
175,41306,26267
176,41306,26268
177,41306,26269
178,41306,26270
179,41306,26271
180,41306,26272
181,41306,26273
182,41306,26274
183,41306,26275
184,41306,26276
185,41306,26277
186,41306,26278
187,41306,26279
188,41306,26280
189,41306,26281
190,41306,26282
191,41306,26283
192,41306,26284
193,41306,26285
194,41306,26286
195,41306,26287
196,41306,26288
197,41307,26264
198,41307,26265
199,41307,26266
200,41307,26267
201,41307,26268
202,41307,26269
203,41307,26270
204,41307,26271
205,41307,26272
206,41307,26273
207,41307,26274
208,41307,26275
209,41307,26276
210,41307,26277
211,41307,26278
212,41307,26279
213,41307,26280
214,41307,26281
215,41307,26282
216,41307,26283
217,41307,26284
218,41307,26285
219,41307,26286
220,41307,26287
221,41307,26288
222,41308,26264
223,41308,26265
224,41308,26266
225,41308,26267
226,41308,26268
227,41308,26269
228,41308,26270
229,41308,26271
230,41308,26272
231,41308,26273
232,41308,26274
233,41308,26275
234,41308,26276
235,41308,26277
236,41308,26278
237,41308,26279
238,41308,26280
239,41308,26281
240,41308,26282
241,41308,26283
242,41308,26284
243,41308,26285
244,41308,26286
245,41308,26287
246,41308,26288
247,41308,26289
248,41308,26290
249,41309,26263
250,41309,26264
251,41309,26265
252,41309,26266
253,41309,26267
254,41309,26268
255,41309,26269
256,41309,26270
257,41309,26271
258,41309,26272
259,41309,26273
260,41309,26274
261,41309,26275
262,41309,26276
263,41309,26277
264,41309,26278
265,41309,26279
266,41309,26280
267,41309,26281
268,41309,26282
269,41309,26283
270,41309,26284
271,41309,26285
272,41309,26286
273,41309,26287
274,41309,26288
275,41309,26289
276,41309,26290
277,41309,26291
278,41309,26292
279,41310,26263
280,41310,26264
281,41310,26265
282,41310,26266
283,41310,26267
284,41310,26268
285,41310,26269
286,41310,26270
287,41310,26271
288,41310,26272
289,41310,26273
290,41310,26274
291,41310,26275
292,41310,26276
293,41310,26277
294,41310,26278
295,41310,26279
296,41310,26280
297,41310,26281
298,41310,26282
299,41310,26283
300,41310,26284
301,41310,26285
302,41310,26286
303,41310,26287
304,41310,26288
305,41310,26289
306,41310,26290
307,41310,26291
308,41310,26292
309,41311,26263
310,41311,26264
311,41311,26265
312,41311,26266
313,41311,26267
314,41311,26268
315,41311,26269
316,41311,26270
317,41311,26271
318,41311,26272
319,41311,26273
320,41311,26274
321,41311,26275
322,41311,26276
323,41311,26277
324,41311,26278
325,41311,26279
326,41311,26280
327,41311,26281
328,41311,26282
329,41311,26283
330,41311,26284
331,41311,26285
332,41311,26286
333,41311,26287
334,41311,26288
335,41311,26289
336,41311,26290
337,41311,26291
338,41311,26292
339,41311,26293
340,41312,26263
341,41312,26264
342,41312,26265
343,41312,26266
344,41312,26267
345,41312,26268
346,41312,26269
347,41312,26270
348,41312,26271
349,41312,26272
350,41312,26273
351,41312,26274
352,41312,26275
353,41312,26276
354,41312,26277
355,41312,26278
356,41312,26279
357,41312,26280
358,41312,26281
359,41312,26282
360,41312,26283
361,41312,26284
362,41312,26285
363,41312,26286
364,41312,26287
365,41312,26288
366,41312,26289
367,41312,26290
368,41312,26291
369,41312,26292
370,41312,26293
371,41313,26264
372,41313,26265
373,41313,26266
374,41313,26267
375,41313,26268
376,41313,26269
377,41313,26270
378,41313,26271
379,41313,26272
380,41313,26273
381,41313,26274
382,41313,26275
383,41313,26276
384,41313,26277
385,41313,26278
386,41313,26279
387,41313,26280
388,41313,26281
389,41313,26282
390,41313,26283
391,41313,26284
392,41313,26285
393,41313,26286
394,41313,26287
395,41313,26288
396,41313,26289
397,41313,26290
398,41313,26291
399,41313,26292
400,41313,26293
401,41313,26294
402,41314,26264
403,41314,26265
404,41314,26266
405,41314,26267
406,41314,26268
407,41314,26269
408,41314,26270
409,41314,26271
410,41314,26272
411,41314,26273
412,41314,26274
413,41314,26275
414,41314,26276
415,41314,26277
416,41314,26278
417,41314,26279
418,41314,26280
419,41314,26281
420,41314,26282
421,41314,26283
422,41314,26284
423,41314,26285
424,41314,26286
425,41314,26287
426,41314,26288
427,41314,26289
428,41314,26290
429,41314,26291
430,41314,26292
431,41314,26293
432,41314,26294
433,41314,26295
434,41315,26265
435,41315,26266
436,41315,26267
437,41315,26268
438,41315,26269
439,41315,26270
440,41315,26271
441,41315,26272
442,41315,26273
443,41315,26274
444,41315,26275
445,41315,26276
446,41315,26277
447,41315,26278
448,41315,26279
449,41315,26280
450,41315,26281
451,41315,26282
452,41315,26283
453,41315,26284
454,41315,26285
455,41315,26286
456,41315,26287
457,41315,26288
458,41315,26289
459,41315,26290
460,41315,26291
461,41315,26292
462,41315,26293
463,41315,26294
464,41315,26295
465,41316,26266
466,41316,26267
467,41316,26268
468,41316,26269
469,41316,26270
470,41316,26271
471,41316,26272
472,41316,26273
473,41316,26274
474,41316,26275
475,41316,26276
476,41316,26277
477,41316,26278
478,41316,26279
479,41316,26280
480,41316,26281
481,41316,26282
482,41316,26283
483,41316,26284
484,41316,26285
485,41316,26286
486,41316,26287
487,41316,26288
488,41316,26289
489,41316,26290
490,41316,26291
491,41316,26292
492,41316,26293
493,41316,26294
494,41316,26295
495,41316,26296
496,41317,26266
497,41317,26267
498,41317,26268
499,41317,26269
500,41317,26270
501,41317,26271
502,41317,26272
503,41317,26273
504,41317,26274
505,41317,26275
506,41317,26276
507,41317,26277
508,41317,26278
509,41317,26279
510,41317,26280
511,41317,26281
512,41317,26282
513,41317,26283
514,41317,26284
515,41317,26285
516,41317,26286
517,41317,26287
518,41317,26288
519,41317,26289
520,41317,26290
521,41317,26291
522,41317,26292
523,41317,26293
524,41317,26294
525,41317,26295
526,41317,26296
527,41318,26267
528,41318,26268
529,41318,26269
530,41318,26270
531,41318,26271
532,41318,26272
533,41318,26273
534,41318,26274
535,41318,26275
536,41318,26276
537,41318,26277
538,41318,26278
539,41318,26279
540,41318,26280
541,41318,26281
542,41318,26282
543,41318,26283
544,41318,26284
545,41318,26285
546,41318,26286
547,41318,26287
548,41318,26288
549,41318,26289
550,41318,26290
551,41318,26291
552,41318,26292
553,41318,26293
554,41318,26294
555,41318,26295
556,41318,26296
557,41318,26297
558,41319,26267
559,41319,26268
560,41319,26269
561,41319,26270
562,41319,26271
563,41319,26272
564,41319,26273
565,41319,26274
566,41319,26275
567,41319,26276
568,41319,26277
569,41319,26278
570,41319,26279
571,41319,26280
572,41319,26281
573,41319,26282
574,41319,26283
575,41319,26284
576,41319,26285
577,41319,26286
578,41319,26287
579,41319,26288
580,41319,26289
581,41319,26290
582,41319,26291
583,41319,26292
584,41319,26293
585,41319,26294
586,41319,26295
587,41319,26296
588,41319,26297
589,41319,26298
590,41319,26299
591,41320,26270
592,41320,26271
593,41320,26272
594,41320,26273
595,41320,26274
596,41320,26275
597,41320,26276
598,41320,26277
599,41320,26278
600,41320,26279
601,41320,26280
602,41320,26281
603,41320,26282
604,41320,26283
605,41320,26284
606,41320,26285
607,41320,26286
608,41320,26287
609,41320,26288
610,41320,26289
611,41320,26290
612,41320,26291
613,41320,26292
614,41320,26293
615,41320,26294
616,41320,26295
617,41320,26296
618,41320,26297
619,41320,26298
620,41320,26299
621,41321,26270
622,41321,26271
623,41321,26272
624,41321,26273
625,41321,26274
626,41321,26275
627,41321,26276
628,41321,26277
629,41321,26278
630,41321,26279
631,41321,26280
632,41321,26281
633,41321,26282
634,41321,26283
635,41321,26284
636,41321,26285
637,41321,26286
638,41321,26287
639,41321,26288
640,41321,26289
641,41321,26290
642,41321,26291
643,41321,26292
644,41321,26293
645,41321,26294
646,41321,26295
647,41321,26296
648,41321,26297
649,41321,26298
650,41321,26299
651,41321,26300
652,41322,26271
653,41322,26272
654,41322,26273
655,41322,26274
656,41322,26275
657,41322,26276
658,41322,26277
659,41322,26278
660,41322,26279
661,41322,26280
662,41322,26281
663,41322,26282
664,41322,26283
665,41322,26284
666,41322,26285
667,41322,26286
668,41322,26287
669,41322,26288
670,41322,26289
671,41322,26290
672,41322,26291
673,41322,26292
674,41322,26293
675,41322,26294
676,41322,26295
677,41322,26296
678,41322,26297
679,41322,26298
680,41322,26299
681,41323,26271
682,41323,26272
683,41323,26273
684,41323,26274
685,41323,26275
686,41323,26276
687,41323,26277
688,41323,26278
689,41323,26279
690,41323,26280
691,41323,26281
692,41323,26282
693,41323,26283
694,41323,26284
695,41323,26285
696,41323,26286
697,41323,26287
698,41323,26288
699,41323,26289
700,41323,26290
701,41323,26291
702,41323,26292
703,41323,26293
704,41323,26294
705,41323,26295
706,41323,26296
707,41323,26297
708,41323,26298
709,41323,26299
710,41324,26270
711,41324,26271
712,41324,26272
713,41324,26273
714,41324,26274
715,41324,26275
716,41324,26276
717,41324,26277
718,41324,26278
719,41324,26279
720,41324,26280
721,41324,26281
722,41324,26282
723,41324,26283
724,41324,26284
725,41324,26285
726,41324,26286
727,41324,26287
728,41324,26288
729,41324,26289
730,41324,26290
731,41324,26291
732,41324,26292
733,41324,26293
734,41324,26294
735,41324,26295
736,41324,26296
737,41324,26297
738,41324,26298
739,41324,26299
740,41324,26300
741,41324,26301
742,41325,26269
743,41325,26270
744,41325,26271
745,41325,26272
746,41325,26273
747,41325,26274
748,41325,26275
749,41325,26276
750,41325,26277
751,41325,26278
752,41325,26279
753,41325,26280
754,41325,26281
755,41325,26282
756,41325,26283
757,41325,26284
758,41325,26285
759,41325,26286
760,41325,26287
761,41325,26288
762,41325,26289
763,41325,26290
764,41325,26291
765,41325,26292
766,41325,26293
767,41325,26294
768,41325,26295
769,41325,26296
770,41325,26297
771,41325,26298
772,41325,26299
773,41325,26300
774,41325,26301
775,41326,26269
776,41326,26270
777,41326,26271
778,41326,26272
779,41326,26273
780,41326,26274
781,41326,26275
782,41326,26276
783,41326,26277
784,41326,26278
785,41326,26279
786,41326,26280
787,41326,26281
788,41326,26282
789,41326,26283
790,41326,26284
791,41326,26285
792,41326,26286
793,41326,26287
794,41326,26288
795,41326,26289
796,41326,26290
797,41326,26291
798,41326,26292
799,41326,26293
800,41326,26294
801,41326,26295
802,41326,26296
803,41326,26297
804,41326,26298
805,41326,26299
806,41326,26300
807,41326,26301
808,41326,26302
809,41326,26311
810,41326,26312
811,41326,26313
812,41327,26269
813,41327,26270
814,41327,26271
815,41327,26272
816,41327,26273
817,41327,26274
818,41327,26275
819,41327,26276
820,41327,26277
821,41327,26278
822,41327,26279
823,41327,26280
824,41327,26281
825,41327,26282
826,41327,26283
827,41327,26284
828,41327,26285
829,41327,26286
830,41327,26287
831,41327,26288
832,41327,26289
833,41327,26290
834,41327,26291
835,41327,26292
836,41327,26293
837,41327,26294
838,41327,26295
839,41327,26296
840,41327,26297
841,41327,26298
842,41327,26299
843,41327,26300
844,41327,26301
845,41327,26302
846,41327,26303
847,41327,26310
848,41327,26311
849,41327,26312
850,41327,26313
851,41328,26270
852,41328,26271
853,41328,26272
854,41328,26273
855,41328,26274
856,41328,26275
857,41328,26276
858,41328,26277
859,41328,26278
860,41328,26279
861,41328,26280
862,41328,26281
863,41328,26282
864,41328,26283
865,41328,26284
866,41328,26285
867,41328,26286
868,41328,26287
869,41328,26288
870,41328,26289
871,41328,26290
872,41328,26291
873,41328,26292
874,41328,26293
875,41328,26294
876,41328,26295
877,41328,26296
878,41328,26297
879,41328,26298
880,41328,26299
881,41328,26300
882,41328,26301
883,41328,26302
884,41328,26303
885,41328,26304
886,41328,26309
887,41328,26310
888,41328,26311
889,41328,26312
890,41328,26313
891,41329,26260
892,41329,26261
893,41329,26262
894,41329,26271
895,41329,26272
896,41329,26273
897,41329,26274
898,41329,26275
899,41329,26276
900,41329,26277
901,41329,26278
902,41329,26279
903,41329,26280
904,41329,26281
905,41329,26282
906,41329,26283
907,41329,26284
908,41329,26285
909,41329,26286
910,41329,26287
911,41329,26288
912,41329,26289
913,41329,26290
914,41329,26291
915,41329,26292
916,41329,26293
917,41329,26294
918,41329,26295
919,41329,26296
920,41329,26297
921,41329,26298
922,41329,26299
923,41329,26300
924,41329,26301
925,41329,26302
926,41329,26303
927,41329,26304
928,41329,26305
929,41329,26306
930,41329,26307
931,41329,26308
932,41329,26309
933,41329,26310
934,41329,26311
935,41329,26312
936,41329,26313
937,41330,26258
938,41330,26259
939,41330,26260
940,41330,26261
941,41330,26262
942,41330,26263
943,41330,26264
944,41330,26265
945,41330,26266
946,41330,26267
947,41330,26271
948,41330,26272
949,41330,26273
950,41330,26274
951,41330,26275
952,41330,26276
953,41330,26277
954,41330,26278
955,41330,26279
956,41330,26280
957,41330,26281
958,41330,26282
959,41330,26283
960,41330,26284
961,41330,26285
962,41330,26286
963,41330,26287
964,41330,26288
965,41330,26289
966,41330,26290
967,41330,26291
968,41330,26292
969,41330,26293
970,41330,26294
971,41330,26295
972,41330,26296
973,41330,26297
974,41330,26298
975,41330,26299
976,41330,26300
977,41330,26301
978,41330,26302
979,41330,26303
980,41330,26304
981,41330,26305
982,41330,26306
983,41330,26307
984,41330,26308
985,41330,26309
986,41330,26310
987,41330,26311
988,41330,26312
989,41330,26313
990,41330,26314
991,41331,26257
992,41331,26258
993,41331,26259
994,41331,26260
995,41331,26261
996,41331,26262
997,41331,26263
998,41331,26264
999,41331,26265
1000,41331,26266
1001,41331,26267
1002,41331,26268
1003,41331,26271
1004,41331,26272
1005,41331,26273
1006,41331,26274
1007,41331,26275
1008,41331,26276
1009,41331,26277
1010,41331,26278
1011,41331,26279
1012,41331,26280
1013,41331,26281
1014,41331,26282
1015,41331,26283
1016,41331,26284
1017,41331,26285
1018,41331,26286
1019,41331,26287
1020,41331,26288
1021,41331,26289
1022,41331,26290
1023,41331,26291
1024,41331,26292
1025,41331,26293
1026,41331,26294
1027,41331,26295
1028,41331,26296
1029,41331,26297
1030,41331,26298
1031,41331,26299
1032,41331,26300
1033,41331,26301
1034,41331,26302
1035,41331,26303
1036,41331,26304
1037,41331,26305
1038,41331,26306
1039,41331,26307
1040,41331,26308
1041,41331,26309
1042,41331,26310
1043,41331,26311
1044,41331,26312
1045,41331,26313
1046,41331,26314
1047,41332,26255
1048,41332,26256
1049,41332,26257
1050,41332,26258
1051,41332,26259
1052,41332,26260
1053,41332,26261
1054,41332,26262
1055,41332,26263
1056,41332,26264
1057,41332,26265
1058,41332,26266
1059,41332,26267
1060,41332,26268
1061,41332,26269
1062,41332,26270
1063,41332,26271
1064,41332,26272
1065,41332,26273
1066,41332,26274
1067,41332,26275
1068,41332,26276
1069,41332,26277
1070,41332,26278
1071,41332,26279
1072,41332,26280
1073,41332,26281
1074,41332,26282
1075,41332,26283
1076,41332,26284
1077,41332,26285
1078,41332,26286
1079,41332,26287
