,X,Y
0,41680,26091
1,41680,26092
2,41680,26093
3,41680,26094
4,41681,26090
5,41681,26091
6,41681,26092
7,41681,26093
8,41681,26094
9,41681,26195
10,41681,26196
11,41681,26197
12,41681,26198
13,41682,26090
14,41682,26091
15,41682,26092
16,41682,26093
17,41682,26190
18,41682,26191
19,41682,26192
20,41682,26193
21,41682,26194
22,41682,26195
23,41682,26196
24,41682,26197
25,41682,26198
26,41683,26089
27,41683,26090
28,41683,26091
29,41683,26092
30,41683,26093
31,41683,26188
32,41683,26189
33,41683,26190
34,41683,26191
35,41683,26192
36,41683,26193
37,41683,26194
38,41683,26195
39,41683,26196
40,41683,26197
41,41683,26198
42,41684,26088
43,41684,26089
44,41684,26090
45,41684,26091
46,41684,26092
47,41684,26188
48,41684,26189
49,41684,26190
50,41684,26191
51,41684,26192
52,41684,26193
53,41684,26194
54,41684,26195
55,41684,26196
56,41684,26197
57,41685,26088
58,41685,26089
59,41685,26090
60,41685,26091
61,41685,26092
62,41685,26187
63,41685,26188
64,41685,26189
65,41685,26190
66,41685,26191
67,41685,26192
68,41685,26193
69,41685,26194
70,41685,26195
71,41685,26196
72,41685,26197
73,41685,26213
74,41685,26214
75,41686,26088
76,41686,26089
77,41686,26090
78,41686,26091
79,41686,26092
80,41686,26186
81,41686,26187
82,41686,26188
83,41686,26189
84,41686,26190
85,41686,26191
86,41686,26192
87,41686,26193
88,41686,26194
89,41686,26195
90,41686,26196
91,41686,26197
92,41686,26198
93,41686,26212
94,41686,26213
95,41686,26214
96,41686,26222
97,41686,26223
98,41686,26224
99,41686,26225
100,41686,26226
101,41687,26088
102,41687,26089
103,41687,26090
104,41687,26091
105,41687,26092
106,41687,26093
107,41687,26186
108,41687,26187
109,41687,26188
110,41687,26189
111,41687,26190
112,41687,26191
113,41687,26192
114,41687,26193
115,41687,26194
116,41687,26195
117,41687,26196
118,41687,26197
119,41687,26198
120,41687,26210
121,41687,26211
122,41687,26212
123,41687,26213
124,41687,26214
125,41687,26215
126,41687,26220
127,41687,26221
128,41687,26222
129,41687,26223
130,41687,26224
131,41687,26225
132,41687,26226
133,41688,26087
134,41688,26088
135,41688,26089
136,41688,26090
137,41688,26091
138,41688,26092
139,41688,26093
140,41688,26185
141,41688,26186
142,41688,26187
143,41688,26188
144,41688,26189
145,41688,26190
146,41688,26191
147,41688,26192
148,41688,26193
149,41688,26194
150,41688,26195
151,41688,26196
