,X,Y
0,41937,25589
1,41938,25588
2,41938,25589
3,41938,25590
4,41939,25587
5,41939,25588
6,41939,25589
7,41939,25590
8,41940,25586
9,41940,25587
10,41940,25588
11,41940,25589
12,41940,25590
13,41940,25591
14,41941,25585
15,41941,25586
16,41941,25587
17,41941,25588
18,41941,25589
19,41941,25590
20,41941,25591
21,41942,25583
22,41942,25584
23,41942,25585
24,41942,25586
25,41942,25587
26,41942,25588
27,41942,25589
28,41942,25590
29,41942,25591
30,41942,25592
31,41943,25582
32,41943,25583
33,41943,25584
34,41943,25585
35,41943,25586
36,41943,25587
37,41943,25588
38,41943,25589
39,41943,25590
40,41943,25591
41,41943,25592
42,41944,25580
43,41944,25581
44,41944,25582
45,41944,25583
46,41944,25584
47,41944,25585
48,41944,25586
49,41944,25587
50,41944,25588
51,41944,25589
52,41944,25590
53,41944,25591
54,41944,25592
55,41944,25593
56,41945,25579
57,41945,25580
58,41945,25581
59,41945,25582
60,41945,25583
61,41945,25584
62,41945,25585
63,41945,25586
64,41945,25587
65,41945,25588
66,41945,25589
67,41945,25590
68,41945,25591
69,41945,25592
70,41945,25593
71,41946,25577
72,41946,25578
73,41946,25579
74,41946,25580
75,41946,25581
76,41946,25582
77,41946,25583
78,41946,25584
79,41946,25585
80,41946,25586
81,41946,25587
82,41946,25588
83,41946,25589
84,41946,25590
85,41946,25591
86,41946,25592
87,41946,25593
88,41947,25576
89,41947,25577
90,41947,25578
91,41947,25579
92,41947,25580
93,41947,25581
94,41947,25582
95,41947,25583
96,41947,25584
97,41947,25585
98,41947,25586
99,41947,25587
100,41947,25588
101,41947,25589
102,41947,25590
103,41947,25591
104,41947,25592
105,41947,25593
106,41947,25594
107,41948,25574
108,41948,25575
109,41948,25576
110,41948,25577
111,41948,25578
112,41948,25579
113,41948,25580
114,41948,25581
115,41948,25582
116,41948,25583
117,41948,25584
118,41948,25585
119,41948,25586
120,41948,25587
121,41948,25588
122,41948,25589
123,41948,25590
124,41948,25591
125,41948,25592
126,41948,25593
127,41948,25594
128,41949,25542
129,41949,25543
130,41949,25544
131,41949,25545
132,41949,25546
133,41949,25547
134,41949,25548
135,41949,25549
136,41949,25550
137,41949,25551
138,41949,25552
139,41949,25553
140,41949,25554
141,41949,25555
