,X,Y
0,42946,25460
1,42947,25433
2,42947,25434
3,42947,25435
4,42947,25436
5,42947,25437
6,42947,25438
7,42947,25439
8,42947,25440
9,42947,25445
10,42947,25446
11,42947,25447
12,42947,25448
13,42947,25449
14,42947,25450
15,42947,25451
16,42947,25452
17,42947,25453
18,42947,25454
19,42947,25455
20,42947,25456
21,42947,25457
22,42947,25458
23,42947,25459
24,42947,25460
25,42947,25461
26,42948,25433
27,42948,25434
28,42948,25435
29,42948,25436
30,42948,25437
31,42948,25438
32,42948,25439
33,42948,25440
34,42948,25441
35,42948,25442
36,42948,25443
37,42948,25444
38,42948,25445
39,42948,25446
40,42948,25447
41,42948,25448
42,42948,25449
43,42948,25450
44,42948,25451
45,42948,25452
46,42948,25453
47,42948,25454
48,42948,25455
49,42948,25456
50,42948,25457
51,42948,25458
52,42948,25459
53,42948,25460
54,42948,25461
55,42949,25432
56,42949,25433
57,42949,25434
58,42949,25435
59,42949,25436
60,42949,25437
61,42949,25438
62,42949,25439
63,42949,25440
64,42949,25441
65,42949,25442
66,42949,25443
67,42949,25444
68,42949,25445
69,42949,25446
70,42949,25447
71,42949,25448
72,42949,25449
73,42949,25450
74,42949,25451
75,42949,25452
76,42949,25453
77,42949,25454
78,42949,25455
79,42949,25456
80,42949,25457
81,42949,25458
82,42949,25459
83,42949,25460
84,42949,25461
85,42950,25432
86,42950,25433
87,42950,25434
88,42950,25435
89,42950,25436
90,42950,25437
91,42950,25438
92,42950,25439
93,42950,25440
94,42950,25441
95,42950,25442
96,42950,25443
97,42950,25444
98,42950,25445
99,42950,25446
100,42950,25447
101,42950,25448
102,42950,25449
103,42950,25450
104,42950,25451
105,42950,25452
106,42950,25453
107,42950,25454
108,42950,25455
109,42950,25456
110,42950,25457
111,42950,25458
112,42950,25459
113,42950,25460
114,42950,25461
115,42951,25432
116,42951,25433
117,42951,25434
118,42951,25435
119,42951,25436
120,42951,25437
121,42951,25438
122,42951,25439
123,42951,25440
124,42951,25441
125,42951,25442
126,42951,25443
127,42951,25444
128,42951,25445
129,42951,25446
130,42951,25447
131,42951,25448
132,42951,25449
133,42951,25450
134,42951,25451
135,42951,25452
136,42951,25453
137,42951,25454
138,42951,25455
139,42951,25456
140,42951,25457
141,42951,25458
142,42951,25459
143,42951,25460
144,42951,25461
145,42952,25431
146,42952,25432
147,42952,25433
148,42952,25434
149,42952,25435
150,42952,25436
151,42952,25437
152,42952,25438
153,42952,25439
154,42952,25440
155,42952,25441
156,42952,25442
157,42952,25443
158,42952,25444
159,42952,25445
160,42952,25446
161,42952,25447
162,42952,25448
163,42952,25449
164,42952,25450
165,42952,25451
166,42952,25452
167,42952,25453
168,42952,25454
169,42952,25455
170,42952,25456
171,42952,25457
172,42952,25458
173,42952,25459
174,42952,25460
175,42952,25461
176,42953,25431
177,42953,25432
178,42953,25433
179,42953,25434
180,42953,25435
181,42953,25436
182,42953,25437
183,42953,25438
184,42953,25439
185,42953,25440
186,42953,25441
187,42953,25442
188,42953,25443
189,42953,25444
190,42953,25445
191,42953,25446
192,42953,25447
193,42953,25448
194,42953,25449
195,42953,25450
196,42953,25451
197,42953,25452
198,42953,25453
199,42953,25454
200,42953,25455
201,42953,25456
202,42953,25457
203,42953,25458
204,42953,25459
205,42953,25460
206,42954,25430
207,42954,25431
208,42954,25432
209,42954,25433
210,42954,25434
211,42954,25435
212,42954,25436
213,42954,25437
214,42954,25438
215,42954,25439
216,42954,25440
217,42954,25441
218,42954,25442
219,42954,25443
220,42954,25444
221,42954,25445
222,42954,25446
223,42954,25447
224,42954,25448
225,42954,25449
226,42954,25450
227,42954,25451
228,42954,25452
229,42954,25453
230,42954,25454
231,42954,25455
232,42954,25456
233,42954,25457
234,42954,25458
235,42954,25459
236,42954,25460
237,42955,25430
238,42955,25431
239,42955,25432
240,42955,25433
241,42955,25434
242,42955,25435
243,42955,25436
244,42955,25437
245,42955,25438
246,42955,25439
247,42955,25440
248,42955,25441
249,42955,25442
250,42955,25443
251,42955,25444
252,42955,25445
253,42955,25446
254,42955,25447
255,42955,25448
256,42955,25449
257,42955,25450
258,42955,25451
259,42955,25452
260,42955,25453
261,42955,25454
262,42955,25455
263,42955,25456
264,42955,25457
265,42955,25458
266,42955,25459
267,42956,25430
268,42956,25431
269,42956,25432
270,42956,25433
271,42956,25434
272,42956,25435
273,42956,25436
274,42956,25437
275,42956,25438
276,42956,25439
277,42956,25440
278,42956,25441
279,42956,25442
280,42956,25443
281,42956,25444
282,42956,25445
283,42956,25446
284,42956,25447
285,42956,25448
286,42956,25449
287,42956,25450
288,42956,25451
289,42956,25452
290,42956,25453
291,42956,25454
292,42956,25455
293,42956,25456
294,42956,25457
295,42956,25458
296,42957,25429
297,42957,25430
298,42957,25431
299,42957,25432
300,42957,25433
301,42957,25434
302,42957,25435
