,X,Y
0,41639,25788
1,41639,25789
2,41639,25790
3,41639,25791
4,41639,25792
5,41639,25793
6,41640,25786
7,41640,25787
8,41640,25788
9,41640,25789
10,41640,25790
11,41640,25791
12,41640,25792
13,41640,25793
14,41640,25794
15,41640,25795
16,41641,25784
17,41641,25785
18,41641,25786
19,41641,25787
20,41641,25788
21,41641,25789
22,41641,25790
23,41641,25791
24,41641,25792
25,41641,25793
26,41641,25794
27,41641,25795
28,41642,25781
29,41642,25782
30,41642,25783
31,41642,25784
32,41642,25785
33,41642,25786
34,41642,25787
35,41642,25788
36,41642,25789
37,41642,25790
38,41642,25791
39,41642,25792
40,41642,25793
41,41642,25794
42,41643,25779
43,41643,25780
44,41643,25781
45,41643,25782
46,41643,25783
47,41643,25784
48,41643,25785
49,41643,25786
50,41643,25787
51,41643,25788
52,41643,25789
53,41643,25790
54,41643,25791
55,41643,25792
56,41643,25793
57,41643,25794
58,41644,25775
59,41644,25776
60,41644,25777
61,41644,25778
62,41644,25779
63,41644,25780
64,41644,25781
65,41644,25782
66,41644,25783
67,41644,25784
68,41644,25785
69,41644,25786
70,41644,25787
71,41644,25788
72,41644,25789
73,41644,25790
74,41644,25791
75,41644,25792
76,41644,25793
77,41644,25794
78,41645,25774
79,41645,25775
80,41645,25776
81,41645,25777
82,41645,25778
83,41645,25779
84,41645,25780
85,41645,25781
86,41645,25782
87,41645,25783
88,41645,25784
89,41645,25785
90,41645,25786
91,41645,25787
92,41645,25788
93,41645,25789
94,41645,25790
95,41645,25791
96,41645,25792
97,41645,25793
98,41646,25772
99,41646,25773
100,41646,25774
101,41646,25775
102,41646,25776
103,41646,25777
104,41646,25778
105,41646,25779
106,41646,25780
107,41646,25781
108,41646,25782
109,41646,25783
110,41646,25784
111,41646,25785
112,41646,25786
113,41646,25787
114,41646,25788
115,41646,25789
116,41646,25790
117,41646,25791
118,41646,25792
119,41646,25793
120,41647,25771
121,41647,25772
122,41647,25773
123,41647,25774
124,41647,25775
125,41647,25776
126,41647,25777
127,41647,25778
128,41647,25779
129,41647,25780
130,41647,25781
131,41647,25782
132,41647,25783
133,41647,25784
134,41647,25785
135,41647,25786
136,41647,25787
137,41647,25788
138,41647,25789
139,41647,25790
140,41647,25791
141,41647,25792
142,41647,25793
143,41648,25765
144,41648,25766
145,41648,25767
146,41648,25768
147,41648,25769
148,41648,25770
149,41648,25771
150,41648,25772
151,41648,25773
152,41648,25774
153,41648,25775
154,41648,25776
155,41648,25777
156,41648,25778
157,41648,25779
158,41648,25780
159,41648,25781
160,41648,25782
161,41648,25783
162,41648,25784
163,41648,25785
164,41648,25786
165,41648,25787
166,41648,25788
167,41648,25789
168,41648,25790
169,41648,25791
170,41648,25792
171,41648,25793
172,41649,25762
173,41649,25763
174,41649,25764
175,41649,25765
176,41649,25766
177,41649,25767
178,41649,25768
179,41649,25769
180,41649,25770
181,41649,25771
182,41649,25772
183,41649,25773
184,41649,25774
185,41649,25775
186,41649,25776
187,41649,25777
188,41649,25778
189,41649,25779
190,41649,25780
191,41649,25781
192,41649,25782
193,41649,25783
194,41649,25784
195,41649,25785
196,41649,25786
197,41649,25787
198,41649,25788
199,41649,25789
200,41649,25790
201,41649,25791
202,41649,25792
203,41649,25793
204,41649,25794
205,41650,25760
206,41650,25761
207,41650,25762
208,41650,25763
209,41650,25764
210,41650,25765
211,41650,25766
