,X,Y
0,41935,25830
1,41936,25829
2,41936,25830
3,41937,25829
4,41937,25830
5,41938,25821
6,41938,25822
7,41938,25823
8,41938,25824
9,41938,25827
10,41938,25828
11,41938,25829
12,41938,25830
13,41939,25820
14,41939,25821
15,41939,25822
16,41939,25823
17,41939,25824
18,41939,25825
19,41939,25826
20,41939,25827
21,41939,25828
22,41939,25829
23,41939,25830
24,41940,25819
25,41940,25820
26,41940,25821
27,41940,25822
28,41940,25823
29,41940,25824
30,41940,25825
31,41940,25826
32,41940,25827
33,41940,25828
34,41940,25829
35,41940,25830
36,41941,25818
37,41941,25819
38,41941,25820
39,41941,25821
40,41941,25822
41,41941,25823
42,41941,25824
43,41941,25825
44,41941,25826
45,41941,25827
46,41941,25828
47,41941,25829
48,41941,25830
49,41942,25817
50,41942,25818
51,41942,25819
52,41942,25820
53,41942,25821
54,41942,25822
55,41942,25823
56,41942,25824
57,41942,25825
58,41942,25826
59,41942,25827
60,41942,25828
61,41942,25829
62,41942,25830
63,41943,25817
64,41943,25818
65,41943,25819
66,41943,25820
67,41943,25821
68,41943,25822
69,41943,25823
70,41943,25824
71,41943,25825
72,41943,25826
73,41943,25827
74,41943,25828
75,41943,25829
76,41943,25830
77,41943,25831
78,41944,25816
79,41944,25817
80,41944,25818
81,41944,25819
82,41944,25820
83,41944,25821
84,41944,25822
85,41944,25823
86,41944,25824
87,41944,25825
88,41944,25826
89,41944,25827
90,41944,25828
91,41944,25829
92,41944,25830
93,41944,25831
94,41945,25816
95,41945,25817
96,41945,25818
97,41945,25819
98,41945,25820
99,41945,25821
100,41945,25822
101,41945,25823
102,41945,25824
103,41945,25825
104,41945,25826
105,41945,25827
106,41945,25828
107,41945,25829
108,41945,25830
109,41945,25831
110,41946,25816
111,41946,25817
112,41946,25818
113,41946,25819
114,41946,25820
115,41946,25821
116,41946,25822
117,41946,25823
118,41946,25824
119,41946,25825
120,41946,25826
121,41946,25827
122,41946,25828
123,41946,25829
124,41946,25830
125,41946,25831
126,41947,25816
127,41947,25817
128,41947,25818
129,41947,25819
130,41947,25820
131,41947,25821
132,41947,25822
133,41947,25823
134,41947,25824
135,41947,25825
136,41947,25826
137,41947,25827
138,41947,25828
139,41947,25829
140,41947,25830
141,41947,25831
142,41948,25816
143,41948,25817
144,41948,25818
145,41948,25819
146,41948,25820
147,41948,25821
148,41948,25822
149,41948,25823
150,41948,25824
151,41948,25825
152,41948,25826
153,41948,25827
154,41948,25828
155,41948,25829
156,41948,25830
157,41948,25831
158,41948,25832
159,41949,25815
160,41949,25816
161,41949,25817
162,41949,25818
163,41949,25819
164,41949,25820
165,41949,25821
166,41949,25822
167,41949,25823
168,41949,25824
169,41949,25825
170,41949,25826
171,41949,25827
172,41949,25828
173,41949,25829
174,41949,25830
175,41949,25831
176,41949,25832
177,41950,25815
178,41950,25816
179,41950,25817
180,41950,25818
181,41950,25819
182,41950,25820
183,41950,25821
184,41950,25822
185,41950,25823
186,41950,25824
187,41950,25825
188,41950,25826
189,41950,25827
190,41950,25828
191,41950,25829
192,41950,25830
193,41950,25831
194,41950,25832
195,41951,25815
196,41951,25816
197,41951,25817
198,41951,25818
199,41951,25819
200,41951,25820
201,41951,25821
202,41951,25822
203,41951,25823
204,41951,25824
205,41951,25825
206,41951,25826
207,41951,25827
208,41951,25828
209,41951,25829
210,41951,25830
211,41951,25831
212,41951,25832
213,41952,25815
214,41952,25816
215,41952,25817
216,41952,25818
217,41952,25819
218,41952,25820
219,41952,25821
220,41952,25822
221,41952,25823
222,41952,25824
223,41952,25825
224,41952,25826
225,41952,25827
226,41952,25828
227,41952,25829
228,41952,25830
229,41952,25831
230,41952,25832
231,41953,25815
232,41953,25816
233,41953,25817
234,41953,25818
235,41953,25819
236,41953,25820
237,41953,25821
238,41953,25822
239,41953,25823
240,41953,25824
241,41953,25825
242,41953,25826
243,41953,25827
244,41953,25828
245,41953,25829
246,41953,25830
247,41953,25831
248,41953,25832
249,41953,25833
250,41954,25815
251,41954,25816
252,41954,25817
253,41954,25818
254,41954,25819
255,41954,25820
256,41954,25821
257,41954,25822
258,41954,25823
259,41954,25824
260,41954,25825
261,41954,25826
262,41954,25827
263,41954,25828
264,41954,25829
265,41954,25830
266,41954,25831
267,41954,25832
268,41954,25833
269,41955,25814
270,41955,25815
271,41955,25816
272,41955,25817
273,41955,25818
274,41955,25819
275,41955,25820
276,41955,25821
277,41955,25822
278,41955,25823
279,41955,25824
280,41955,25825
281,41955,25826
282,41955,25827
283,41955,25828
284,41955,25829
285,41955,25830
286,41955,25831
287,41955,25832
288,41955,25833
289,41956,25814
290,41956,25815
291,41956,25816
292,41956,25817
293,41956,25818
294,41956,25819
295,41956,25820
296,41956,25821
297,41956,25822
298,41956,25823
299,41956,25824
300,41956,25825
301,41956,25826
302,41956,25827
303,41956,25828
304,41956,25829
305,41956,25830
306,41956,25831
307,41956,25832
308,41956,25833
309,41957,25814
310,41957,25815
311,41957,25816
312,41957,25817
313,41957,25818
314,41957,25819
315,41957,25820
316,41957,25821
317,41957,25822
318,41957,25823
319,41957,25824
320,41957,25825
321,41957,25826
322,41957,25827
323,41957,25828
324,41957,25829
325,41957,25830
326,41957,25831
327,41957,25832
328,41957,25833
329,41958,25814
330,41958,25815
331,41958,25816
332,41958,25817
333,41958,25818
334,41958,25819
335,41958,25820
336,41958,25821
337,41958,25822
338,41958,25823
339,41958,25824
340,41958,25825
341,41958,25826
342,41958,25827
343,41958,25828
344,41958,25829
345,41958,25830
346,41958,25831
347,41958,25832
348,41958,25833
349,41959,25814
350,41959,25815
351,41959,25816
352,41959,25817
353,41959,25818
354,41959,25819
355,41959,25820
356,41959,25821
357,41959,25822
358,41959,25823
359,41959,25824
360,41959,25825
