,X,Y
0,40785,24958
1,40785,24959
2,40785,24960
3,40786,24957
4,40786,24958
5,40786,24959
6,40786,24960
7,40786,24961
8,40787,24956
9,40787,24957
10,40787,24958
11,40787,24959
12,40787,24960
13,40787,24961
14,40788,24952
15,40788,24953
16,40788,24956
17,40788,24957
18,40788,24958
19,40788,24959
20,40788,24960
21,40788,24961
22,40789,24952
23,40789,24953
24,40789,24954
25,40789,24955
26,40789,24956
27,40789,24957
28,40789,24958
29,40789,24959
30,40789,24960
31,40789,24961
32,40789,24962
33,40789,24963
34,40789,24964
35,40790,24951
36,40790,24952
37,40790,24953
38,40790,24954
39,40790,24955
40,40790,24956
41,40790,24957
42,40790,24958
43,40790,24959
44,40790,24960
45,40790,24961
46,40790,24962
47,40790,24963
48,40790,24964
49,40790,24965
50,40791,24951
51,40791,24952
52,40791,24953
53,40791,24954
54,40791,24955
55,40791,24956
56,40791,24957
57,40791,24958
58,40791,24959
59,40791,24960
60,40791,24961
61,40791,24962
62,40791,24963
63,40791,24964
64,40791,24965
65,40791,24966
66,40792,24951
67,40792,24952
68,40792,24953
69,40792,24954
70,40792,24955
71,40792,24956
72,40792,24957
73,40792,24958
74,40792,24959
75,40792,24960
76,40792,24961
77,40792,24962
78,40792,24963
79,40792,24964
80,40792,24965
81,40792,24966
82,40792,24967
83,40792,24968
84,40793,24951
85,40793,24952
86,40793,24953
87,40793,24954
88,40793,24955
89,40793,24956
90,40793,24957
91,40793,24958
92,40793,24959
93,40793,24960
94,40793,24961
95,40793,24962
96,40793,24963
97,40793,24964
98,40793,24965
99,40793,24966
100,40793,24967
101,40793,24968
102,40793,24969
103,40793,24970
104,40793,24971
105,40793,24972
106,40793,24973
107,40793,24974
108,40793,24975
109,40793,24976
110,40794,24951
111,40794,24952
112,40794,24953
113,40794,24954
114,40794,24955
115,40794,24956
116,40794,24957
117,40794,24958
118,40794,24959
119,40794,24960
120,40794,24961
121,40794,24962
122,40794,24963
123,40794,24964
124,40794,24965
125,40794,24966
126,40794,24967
127,40794,24968
128,40794,24969
129,40794,24970
130,40794,24971
131,40794,24972
132,40794,24973
133,40794,24974
134,40794,24975
135,40794,24976
136,40794,24977
137,40794,24986
138,40795,24951
139,40795,24952
140,40795,24953
141,40795,24954
142,40795,24955
143,40795,24956
144,40795,24957
145,40795,24958
146,40795,24959
147,40795,24960
148,40795,24961
149,40795,24962
150,40795,24963
151,40795,24964
152,40795,24965
153,40795,24966
154,40795,24967
155,40795,24968
156,40795,24969
157,40795,24970
158,40795,24971
159,40795,24972
160,40795,24973
161,40795,24974
162,40795,24975
163,40795,24976
164,40795,24977
165,40795,24982
166,40795,24983
167,40795,24984
168,40795,24985
169,40795,24986
170,40795,24987
171,40796,24951
172,40796,24952
173,40796,24953
174,40796,24954
175,40796,24955
176,40796,24956
177,40796,24957
178,40796,24958
179,40796,24959
180,40796,24960
181,40796,24961
182,40796,24962
183,40796,24963
184,40796,24964
185,40796,24965
186,40796,24966
187,40796,24967
188,40796,24968
189,40796,24969
190,40796,24970
191,40796,24971
192,40796,24972
193,40796,24973
194,40796,24974
195,40796,24975
196,40796,24976
197,40796,24977
198,40796,24982
199,40796,24983
200,40796,24984
201,40796,24985
202,40796,24986
203,40796,24987
204,40796,24995
