,X,Y
0,41357,25556
1,41357,25557
2,41358,25556
3,41358,25557
4,41358,25558
5,41359,25556
6,41359,25557
7,41359,25558
8,41359,25559
9,41360,25555
10,41360,25556
11,41360,25557
12,41360,25558
13,41360,25559
14,41360,25560
15,41360,25561
16,41361,25554
17,41361,25555
18,41361,25556
19,41361,25557
20,41361,25558
21,41361,25559
22,41361,25560
23,41361,25561
24,41361,25562
25,41361,25563
26,41361,25564
27,41361,25565
28,41362,25552
29,41362,25553
30,41362,25554
31,41362,25555
32,41362,25556
33,41362,25557
34,41362,25558
35,41362,25559
36,41362,25560
37,41362,25561
38,41362,25562
39,41362,25563
40,41362,25564
41,41362,25565
42,41362,25566
43,41362,25567
44,41363,25551
45,41363,25552
46,41363,25553
47,41363,25554
48,41363,25555
49,41363,25556
50,41363,25557
51,41363,25558
52,41363,25559
53,41363,25560
54,41363,25561
55,41363,25562
56,41363,25563
57,41363,25564
58,41363,25565
59,41363,25566
60,41363,25567
61,41363,25568
62,41364,25550
63,41364,25551
64,41364,25552
65,41364,25553
66,41364,25554
67,41364,25555
68,41364,25556
69,41364,25557
70,41364,25558
71,41364,25559
72,41364,25560
73,41364,25561
74,41364,25562
75,41364,25563
76,41364,25564
77,41364,25565
78,41364,25566
79,41364,25567
80,41364,25568
81,41364,25569
82,41365,25549
83,41365,25550
84,41365,25551
85,41365,25552
86,41365,25553
87,41365,25554
88,41365,25555
89,41365,25556
90,41365,25557
91,41365,25558
92,41365,25559
93,41365,25560
94,41365,25561
95,41365,25562
96,41365,25563
97,41365,25564
98,41365,25565
99,41365,25566
100,41365,25567
101,41365,25568
102,41365,25569
103,41366,25548
104,41366,25549
105,41366,25550
106,41366,25551
107,41366,25552
108,41366,25553
109,41366,25554
110,41366,25555
111,41366,25556
112,41366,25557
113,41366,25558
114,41366,25559
115,41366,25560
116,41366,25561
117,41366,25562
118,41366,25563
119,41366,25564
120,41366,25565
121,41366,25566
122,41366,25567
123,41366,25568
124,41366,25569
125,41366,25570
126,41367,25547
127,41367,25548
128,41367,25549
129,41367,25550
130,41367,25551
131,41367,25552
132,41367,25553
133,41367,25554
134,41367,25555
135,41367,25556
136,41367,25557
137,41367,25558
138,41367,25559
139,41367,25560
140,41367,25561
141,41367,25562
142,41367,25563
143,41367,25564
144,41367,25565
145,41367,25566
146,41367,25567
147,41367,25568
148,41367,25569
149,41367,25570
150,41367,25571
151,41368,25546
152,41368,25547
153,41368,25548
154,41368,25549
155,41368,25550
156,41368,25551
157,41368,25552
158,41368,25553
159,41368,25554
160,41368,25555
161,41368,25556
162,41368,25557
163,41368,25558
164,41368,25559
165,41368,25560
166,41368,25561
167,41368,25562
168,41368,25563
169,41368,25564
170,41368,25565
171,41368,25566
172,41368,25567
173,41368,25568
174,41368,25569
175,41368,25570
176,41368,25571
177,41368,25572
178,41369,25543
179,41369,25544
180,41369,25545
181,41369,25546
182,41369,25547
183,41369,25548
184,41369,25549
185,41369,25550
186,41369,25551
187,41369,25552
188,41369,25553
189,41369,25554
190,41369,25555
191,41369,25556
192,41369,25557
193,41369,25558
194,41369,25559
195,41369,25560
196,41369,25561
197,41369,25562
198,41369,25563
199,41369,25564
200,41369,25565
201,41369,25566
202,41369,25567
203,41369,25568
204,41369,25569
205,41369,25570
206,41369,25571
207,41369,25572
208,41369,25573
209,41370,25541
210,41370,25542
211,41370,25543
212,41370,25544
213,41370,25545
214,41370,25546
215,41370,25547
216,41370,25548
217,41370,25549
218,41370,25550
219,41370,25551
220,41370,25552
221,41370,25553
222,41370,25554
223,41370,25555
224,41370,25556
225,41370,25557
226,41370,25558
227,41370,25559
228,41370,25560
229,41370,25561
230,41370,25562
231,41370,25563
232,41370,25564
233,41370,25565
234,41370,25566
235,41370,25567
236,41370,25568
237,41370,25569
238,41370,25570
239,41370,25571
240,41370,25572
241,41370,25573
242,41371,25540
243,41371,25541
244,41371,25542
245,41371,25543
246,41371,25544
247,41371,25545
248,41371,25546
249,41371,25547
250,41371,25548
251,41371,25549
252,41371,25550
253,41371,25551
254,41371,25552
255,41371,25553
256,41371,25554
257,41371,25555
258,41371,25556
259,41371,25557
260,41371,25558
261,41371,25559
262,41371,25560
263,41371,25561
264,41371,25562
265,41371,25563
266,41371,25564
267,41371,25565
268,41371,25566
269,41371,25567
270,41371,25568
271,41371,25569
272,41371,25570
273,41371,25571
274,41371,25572
275,41371,25573
276,41371,25574
277,41372,25539
278,41372,25540
279,41372,25541
280,41372,25542
281,41372,25543
282,41372,25544
283,41372,25545
284,41372,25546
285,41372,25547
286,41372,25548
287,41372,25549
288,41372,25550
289,41372,25551
290,41372,25552
291,41372,25553
292,41372,25554
293,41372,25555
294,41372,25556
295,41372,25557
296,41372,25558
297,41372,25559
298,41372,25560
299,41372,25561
300,41372,25562
301,41372,25563
302,41372,25564
303,41372,25565
304,41372,25566
305,41372,25567
306,41372,25568
307,41372,25569
308,41372,25570
309,41372,25571
310,41372,25572
311,41372,25573
312,41372,25574
313,41373,25538
314,41373,25539
315,41373,25540
316,41373,25541
317,41373,25542
318,41373,25543
319,41373,25544
320,41373,25545
321,41373,25546
322,41373,25547
323,41373,25548
324,41373,25549
325,41373,25550
326,41373,25551
327,41373,25552
328,41373,25553
329,41373,25554
330,41373,25555
331,41373,25556
332,41373,25557
333,41373,25558
334,41373,25559
335,41373,25560
336,41373,25561
337,41373,25562
338,41373,25563
339,41373,25564
340,41373,25565
341,41373,25566
342,41373,25567
343,41373,25568
344,41373,25569
345,41373,25570
346,41373,25571
347,41373,25572
348,41373,25573
349,41373,25574
350,41373,25575
351,41374,25538
352,41374,25539
353,41374,25540
354,41374,25541
355,41374,25542
356,41374,25543
357,41374,25544
358,41374,25545
359,41374,25546
360,41374,25547
361,41374,25548
362,41374,25549
363,41374,25550
364,41374,25551
365,41374,25552
366,41374,25553
367,41374,25554
368,41374,25555
369,41374,25556
370,41374,25557
371,41374,25558
372,41374,25559
373,41374,25560
374,41374,25561
375,41374,25562
376,41374,25563
377,41374,25564
